"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Land under cereal production (hectares)","AG.LND.CREL.HA","","3313500","3425500","3426500","3446500","3444500","3446500","3124500","3041500","3081500","3178000","3400000","3923100","3337000","3342000","3404000","3394000","3388000","3392000","3183500","3018500","2909000","2799500","2649000","2562000","2434500","2347000","2496000","2331000","2290000","2253000","2344738","2250000","2631856","2757000","2670204","2691530","2730288","2792026","2532795","2406000","2094000","2238000","3004700","2667000","3030000","2989000","3021000","2714000","3192000","2962000","2820000","3143000","3182922","3344733","2724003","2793186","",
"Angola","AGO","Land under cereal production (hectares)","AG.LND.CREL.HA","","657000","654000","645000","644000","603000","609000","632200","653000","721000","632000","649000","658000","718000","721000","721000","726000","713000","712000","709000","704000","700500","699000","695400","688800","685800","899000","956000","1006000","982000","774281","891200","1011893","1201380","955000","737218","794825","790727","868838","872348","920727","1026812","1170014","1140002","1509873","1568204","1622092","1682171","1156211","1849528","1878155","2132989","923085","2056204","2053206","2057963","1751410","",
"Albania","ALB","Land under cereal production (hectares)","AG.LND.CREL.HA","","347764","332882","298725","342158","323238","328443","332935","323150","322299","327282","312203","331220","339400","334040","328500","350500","357000","356000","365800","372500","361600","357400","350300","350400","343000","349800","345900","347000","348900","321000","215339","198934","247936","262515","227137","205526","212488","210906","177800","178200","165800","157600","153340","143900","147655","140870","132390","149100","146200","145700","147599","142800","142000","143149","142600","148084","",
"Andorra","AND","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Land under cereal production (hectares)","AG.LND.CREL.HA","","18584301","19335702","20300188","19962877","19846778","18323303","20784080","20149935","20271727","21401250","19903648","21784102","21422455","22051547","22776328","24418324","22227956","23263857","22086289","22988703","23489576","22694791","23674984","21963384","27775078","26029916","23937943","26634547","26154005","26065693","29651378","31270945","28287729","31393085","27197470","31831138","28378744","31532653","26683437","24864830","27704249","26239749","31236892","27106049","34543106","30371431","29807258","27092534","29185848","27810573","29577653","25771012","30543426","31909361","25383408","28299193","",
"United Arab Emirates","ARE","Land under cereal production (hectares)","AG.LND.CREL.HA","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","165","350","376","375","890","900","952","970","991","790","673","624","1298","1721","1555","1078","772","768","723","283","237","231","229","210","181","128","125","124","121","87","107","153","300","192","341","60","220","143","169","",
"Argentina","ARG","Land under cereal production (hectares)","AG.LND.CREL.HA","","10287500","8699220","11468110","12281330","9866080","11122075","12185670","12408430","11884800","11221810","12321590","11702050","11688950","11538000","11780050","13051770","10542300","11425900","11131900","9952900","12377000","14052800","13599000","12337485","11508250","10119555","9631373","8835955","8515784","8504919","9374145","8661890","8327985","8557865","9011225","8896900","12252838","10551285","9702535","10968267","10786923","10624301","9725016","9439752","10115019","8677568","9908567","10904474","7966743","8304862","10986263","11444040","10570463","12118136","11113044","13150982","",
"Armenia","ARM","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162767","181430","158077","133512","166633","186100","182500","164489","156883","191699","184869","194815","198015","202111","157557","172630","170141","164014","155666","156138","170172","176945","180626","190209","194717","",
"American Samoa","ASM","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","12","8","12","20","25","35","40","14","18","32","28","18","20","50","17","25","33","38","17","20","21","25","28","28","21","30","30","30","30","28","30","30","30","30","30","31","32","35","38","38","40","41","42","42","40","45","44","45","46","47","47","",
