"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.008321762","","","","","","","","","","9.008321762","","","","","","","","","","9.008321762","","","","","","","",
"Afghanistan","AFG","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1248198.625","","","","","","","","","","1248198.625","","","","","","","","","","1248198.625","","","","","","","",
"Albania","ALB","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26686.71094","","","","","","","","","","26686.71094","","","","","","","","","","26686.71094","","","","","","","",
"Andorra","AND","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13247809.6311614","","","","","","","","","","13247809.6311614","","","","","","","","","","13247809.6311614","","","","","","","",
"United Arab Emirates","ARE","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70575.10938","","","","","","","","","","70575.10938","","","","","","","","","","70575.10938","","","","","","","",
"Argentina","ARG","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2690269.5","","","","","","","","","","2690269.5","","","","","","","","","","2690269.5","","","","","","","",
"Armenia","ARM","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.64226532","","","","","","","","","","87.64226532","","","","","","","","","","87.64226532","","","","","","","",
"Antigua and Barbuda","ATG","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","167.8600616","","","","","","","","","","167.8600616","","","","","","","","","","167.8600616","","","","","","","",
"Australia","AUS","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7641564.5","","","","","","","","","","7641564.5","","","","","","","","","","7641564.5","","","","","","","",
"Austria","AUT","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burundi","BDI","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18091.89063","","","","","","","","","","18091.89063","","","","","","","","","","18091.89063","","","","","","","",
"Benin","BEN","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113916.9609","","","","","","","","","","113916.9609","","","","","","","","","","113916.9609","","","","","","","",
"Burkina Faso","BFA","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","123889.625","","","","","","","","","","123889.625","","","","","","","","","","123889.625","","","","","","","",
"Bulgaria","BGR","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103838.0078","","","","","","","","","","103838.0078","","","","","","","","","","103838.0078","","","","","","","",
"Bahrain","BHR","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","115.1443634","","","","","","","","","","115.1443634","","","","","","","","","","115.1443634","","","","","","","",
"Bahamas, The","BHS","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12245.5166","","","","","","","","","","12245.5166","","","","","","","","","","12245.5166","","","","","","","",
"Bosnia and Herzegovina","BIH","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49338.41797","","","","","","","","","","49338.41797","","","","","","","","","","49338.41797","","","","","","","",
"Belarus","BLR","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","198055.7813","","","","","","","","","","198055.7813","","","","","","","","","","198055.7813","","","","","","","",
"Belize","BLZ","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21296.04492","","","","","","","","","","21296.04492","","","","","","","","","","21296.04492","","","","","","","",
"Bermuda","BMU","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.78402901","","","","","","","","","","22.78402901","","","","","","","","","","22.78402901","","","","","","","",
"Bolivia","BOL","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brazil","BRA","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8241430","","","","","","","","","","8241430","","","","","","","","","","8241430","","","","","","","",
"Barbados","BRB","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.80739212","","","","","","","","","","14.80739212","","","","","","","","","","14.80739212","","","","","","","",
"Brunei Darussalam","BRN","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4743.62207","","","","","","","","","","4743.62207","","","","","","","","","","4743.62207","","","","","","","",
"Bhutan","BTN","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9084045","","","","","","","","","","9084045","","","","","","","","","","9084045","","","","","","","",
"Central Europe and the Baltics","CEB","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","829422.91014","","","","","","","","","","829422.91014","","","","","","","","","","829422.91014","","","","","","","",
"Switzerland","CHE","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30190.08398","","","","","","","","","","30190.08398","","","","","","","","","","30190.08398","","","","","","","",
"Channel Islands","CHI","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","709418.75","","","","","","","","","","709418.75","","","","","","","","","","709418.75","","","","","","","",
"China","CHN","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8868577","","","","","","","","","","8868577","","","","","","","","","","8868577","","","","","","","",
