"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","1115.1","1079","985.8","1082.8","1098.9","1012.3","1224.5","1287.5","1310.4","1105.1","976.2","1006.9","1279.6","1301.9","1316.4","1362.4","1224","1291.9","1323.7","1349","1338.3","1330.2","1355.6","1334.1","1331.7","1314","1359.8","1285.7","1237.6","1200.6","1160.6","1097.8","1133","1140.4","1214.2","1204.5","1348.8","1388","1285.6","806.3","1006.7","1669.8","1458","1334.8","1790.4","1551.7","1915.3","1455.4","2040.7","2011.1","1659.9","2029.6","2048.5","2017.5","2133.2","1981.7","",
"Angola","AGO","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","828","830.3","798.4","875.8","932","824.3","814.6","805.7","898.9","911.3","805.7","780.3","764","712.6","773.9","775.5","603.1","667.1","509.2","617.9","451.1","450.6","484.6","466","449.1","379.8","381.2","332.4","277.4","320.9","417.5","397.1","268","298.4","401.5","652.6","566.8","701.6","620.4","564.4","585.4","627.2","646.1","491.7","583.4","445.9","464.3","652.7","571.4","629.3","662.4","552","814.3","888.3","981.8","934.7","",
"Albania","ALB","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","845.2","941.8","982.3","1023.3","1037.3","1318.6","1464.1","1553.7","1639.8","1646.1","1753.6","1768.7","1843","1934.5","2028.9","2445.1","2550.1","2620.2","2634.8","2364","2500.6","2715.2","3046","2966.3","2900.6","2990.3","2965.6","2875","2961.7","2794.4","2071.9","2156.2","2685","2460.9","2841.5","2450.9","2833.3","2872.1","2798.1","3175.1","3030.8","3291.9","3185.7","3466.3","3462.1","3602.6","3728.4","4081.2","4315.3","4761.8","4750.7","4883.8","4949.8","4892.6","4873.8","4716.4","",
"Andorra","AND","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","795.715635250419","1106.09259262994","1040.10037401624","976.833042201282","1012.95642400998","881.717723693157","1008.4279453601","1194.5409278293","1085.3429850402","1001.91768025699","1117.82302759775","1207.27926950581","924.022245330892","1081.60218779662","1073.75583010571","1138.33741048321","904.757169764057","1067.3853760578","989.389420599359","1156.73687880956","1072.6268240474","1106.80703234941","1010.10535659496","982.475502718525","1156.06164426613","1278.7067042821","1183.27572474377","1417.62510854418","1236.15381966165","1418.08191731944","1530.81943708653","1347.95372139537","1396.90372678556","1476.31325706601","1362.46374569032","1639.57074772193","1366.90267409298","1475.63073983658","1466.19915921626","1438.92918747082","1584.72277783094","1766.17937780579","1789.4599412067","1935.52810711734","1525.49524627866","1915.93622075298","1681.1266187081","1702.76190525035","1958.14522816332","1733.45966718485","1865.40558573055","2031.43845531173","1966.65623741423","1793.9737787416","2093.41027774127","1826.33156212617","",
"United Arab Emirates","ARE","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","","","","","","","","","","","","","","","","","1166.7","1466.7","2242.9","2409.6","2018.7","2000","1417.8","1613.4","1340.2","1185.7","1106.3","808.3","1924.7","2216.5","3502.4","4412.9","4185.3","6414.5","6474","6502.1","15894","17656.2","17022.7","17355.2","17337.9","18098.9","21002.5","20511.4","20346.8","20868.8","21428.6","22265.9","22581.9","17871.4","21244.6","11577.4","16418.3","12686.5","27268.6","21487.4","",
"Argentina","ARG","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","1410.7","1604.9","1511.2","1695.4","1403.2","1557","1606.4","1313.3","1554.7","1775.3","1783.5","1609.5","2041.4","2046.2","1955.9","1907.2","2134.9","2424.3","2252.2","1874.1","2425","2442.8","2330.1","2581.5","2439.5","2582.2","2382.6","2527.9","2129.4","2250.8","2426.2","2955.5","3054.1","2769.5","2904.2","2712.8","3013.7","3818.9","3314.4","3472.5","3396","3282.3","3318.8","3649.7","4110.7","3718","4274.7","4102.1","3267.3","4848.6","4612.1","4146.2","4796.8","4611","5007.7","5096.5","",
"Armenia","ARM","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1842.8","1688.9","1439.9","1859","1877.2","1365.8","1768.4","1776.5","1383","1878.7","2204.7","1567.1","2280.8","1938.7","1323.9","2592.6","2405","2250.3","2068.2","2789","2650.5","3072.5","3181.6","3132.1","3076.1","",
"American Samoa","ASM","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","","","","","","2500","2250","2500","2250","2400","2285.7","2300","2000","2055.6","1875","1821.4","1666.7","1750","1920","1705.9","1800","1787.9","1789.5","1705.9","1900","1904.8","1920","2035.7","2142.9","2381","1833.3","1710.8","1687.6","1666.2","1607.1","1637.2","1632.8","1630.7","1631.1","1600","1614.8","1562.5","1571.4","1578.9","1598.3","1625","1602.6","1619","1591.9","1588.9","1601.7","1599.9","1598","1596.2","1594.4","1592.5","",
"Australia","AUS","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","1083.9","1217.3","1285.2","1323.7","983.5","1441.6","830.8","1338.7","1114.9","1217.6","1269.6","933.1","1318.5","1393.6","1414","1345.5","987.5","1680.2","1510.2","1052.3","1401.5","875.6","1646.2","1609.3","1453.1","1521.9","1436","1629.4","1676.4","1716.1","1603.4","1896.6","1979.5","1266.7","1871","2129.5","1953.8","1986.3","2111","1962.3","1959.6","2197.5","1020.7","2116.3","1694.6","2111.7","981.3","1332.7","1651.2","1660.9","2097.1","2231.6","1936","2137.4","2026.7","2074.3","",
"Austria","AUT","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","2520.8","2568.4","2509.9","2621.7","2330.1","2940.6","3251","3343.1","3555.7","3192.3","3656.4","3402.6","3855.5","4070.9","3752.7","4173.9","4096.2","4394.2","3729.2","4515.6","4147.1","4778.8","4755.5","5091.4","5269.4","4824.9","4962.9","5546","5289.7","5577.3","5456.5","5152.7","5088.8","5391.7","5502","5391.3","5901","5675.5","5926.9","5403.9","5856.2","5831","5255.4","6495.5","6133.1","5721.8","5844.1","6807.3","6149.5","5903.1","7056.7","6002.9","5847","7046.1","6196.3","7245.2","",
"Azerbaijan","AZE","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2113.9","1617.9","1622.7","1507","1608.4","1669.4","1581.1","2080","2335.3","2600.7","2623.2","2604.1","2588.8","2593.1","2599.3","2667.4","2741.5","2606.7","2020.6","2484.4","2659.7","2692.3","2343.6","3083.6","3004.7","",
"Burundi","BDI","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","946.2","1010.6","919.6","991.9","983.6","975.8","997.3","1045.7","1066.6","1092.3","1110.7","1024.8","1110","973.3","1104.7","1104.8","1110.1","1234.2","1100","1063.5","1080.4","1075.4","1094","1108.9","1152.5","1213.5","1228.2","1194.3","1369","1348.5","1368.9","1391.4","1393.7","1274.7","1331.9","1386","1433.6","1275.9","1309.5","1228.4","1283.5","1308.8","1284.5","1328.1","1344.3","1277","1304","1280.8","1295.9","1227.1","1145.2","1106.9","1178.5","1332.4","1204","1519.6","",
"Belgium","BEL","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8021.4","8218.1","8500.9","8530.7","9184.9","8649.5","8373.3","8637.7","8885.8","9710","9348.1","9009","8666.3","9212.5","9435.4","9842.2","6984.8","",
"Benin","BEN","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","546.1","489.9","503.5","529.3","551.5","531.8","577.5","573.8","556.8","577.1","532.7","555.8","687.7","707.9","739.3","724.6","754","741.1","720.9","718.3","653.8","649.5","599.9","799.1","855.8","836.2","725.1","834.7","853.7","847.9","878.6","913.4","919.2","956.9","1086.5","1009.6","1117","1055.9","1162.6","1102.1","1069.3","1131.1","1148.7","1146","1136.4","1190.5","1286","1158.7","1423.5","1200.6","1517.8","1373.2","1479.6","1460.3","1336.7","1455.9","",
"Burkina Faso","BFA","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","408.5","477.9","473.1","522.5","485.7","495.4","452.3","625.8","484.5","516.6","444.5","461.2","436.6","488.2","558.1","499.4","528.8","576.4","580.1","569.8","576.6","568.3","514.9","589.9","708.8","699.5","641.7","726.9","672.9","600.2","876.6","871.5","936.2","787.9","851.1","916.5","704.5","889","912.9","856.4","967.8","942.7","996.3","940.7","1127.2","1203.9","936.1","1039.9","1002","1062.7","995.1","1203","1156.5","1225.8","1195.6","1181.4","",
"Bangladesh","BGD","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","1681.1","1514","1749.4","1691.8","1670","1570.8","1681.5","1727.9","1724.7","1666.2","1583.1","1554.5","1785.2","1708.4","1831.6","1769","1923.7","1926.9","1870.9","2005.8","1937.5","1997.9","2205.6","2134.6","2148.5","2146.6","2202.1","2235.8","2500.3","2490.6","2585.8","2625.7","2647.7","2475.9","2593.2","2694.2","2682.4","2865.3","3116.4","3384.4","3311","3395","3479.3","3439.4","3681.6","3761.4","4020.9","4102.5","4176","4288.3","4351","4400.4","4512.7","4617.8","4518.1","4628.9","",
