"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Rural population","SP.RUR.TOTL","26685","27297","27693","27934","28108","28278","28462","28639","28811","28988","29163","29358","29565","29773","29923","29996","29971","29871","29750","29698","29764","30007","30402","30836","31160","31264","31084","30691","30326","30312","30876","32115","34119","36551","38981","41152","42968","44481","45789","47060","48409","49850","51322","52771","54068","55142","55951","56534","56978","57401","57891","58231","58513","58827","59121","59362","59547","59692",
"Afghanistan","AFG","Rural population","SP.RUR.TOTL","8240568","8370722","8506983","8649584","8798513","8954113","9113443","9276243","9446564","9630591","9830708","10045288","10267247","10487178","10692756","10872845","11033155","11170524","11255648","11251875","11129293","10891958","10563463","10190545","9834662","9544624","9321784","9166090","9117532","9293947","9655119","10230426","10995539","11858106","12690086","13401936","13952823","14373496","14733726","15137584","15657457","16318408","17086972","17909165","18692209","19378975","19962037","20464853","20929063","21415472","21966159","22593984","23280573","23997724","24703806","25368831","25985093","26558736",
"Angola","AGO","Rural population","SP.RUR.TOTL","5054316","5131812","5208828","5285253","5358588","5427638","5491708","5552756","5614896","5683702","5762838","5844398","5927379","6018145","6113859","6212974","6313529","6416325","6523176","6637379","6760113","6892982","7032153","7168502","7290218","7390471","7465293","7518708","7559726","7601247","7650481","7710327","7775949","7839710","7889542","7966522","8024455","8068833","8107208","8150809","8206158","8275266","8353862","8438172","8522210","8603118","8760651","8918978","9077595","9237647","9398363","9559552","9720241","9878849","10032988","10183690","10329915","10472420",
"Albania","ALB","Rural population","SP.RUR.TOTL","1114818","1146208","1180553","1214693","1248887","1282417","1315273","1348911","1386348","1424962","1457678","1489206","1522477","1554419","1585958","1618163","1649474","1681437","1711648","1740858","1769877","1798543","1829633","1861315","1893194","1924635","1954134","1985256","2014614","2060783","2089320","2067878","2037549","2007405","1977318","1947385","1917515","1887867","1858316","1828925","1799636","1761589","1723790","1684768","1645111","1604189","1561661","1517619","1473922","1432259","1393502","1358266","1324613","1291587","1258985","1226200","1195854","1167112",
"Andorra","AND","Rural population","SP.RUR.TOTL","5572","5609","5616","5601","5554","5482","5385","5264","5125","4975","4818","4657","4491","4315","4123","3914","3692","3467","3246","3044","2862","2700","2553","2416","2285","2159","2175","2337","2508","2690","2882","3100","3342","3591","3830","4047","4232","4387","4537","4721","4973","5350","5855","6435","7052","7662","8255","8840","9221","9365","9442","9442","9372","9261","9157","9093","9082","9120",
"Arab World","ARB","Rural population","SP.RUR.TOTL","63548693","64597544","65661863","66724124","67780054","68815652","69925569","71188406","72454903","73703104","74916014","76112810","77263535","78455046","79835396","81407598","83180504","85153422","87239187","89362180","91433113","93442906","95419889","97318389","99121314","100951702","102774744","104700839","106763453","108910928","111693681","113858778","115976698","118198368","120601450","123082641","125460027","127675587","129741765","131781717","133850793","135926006","138040837","140166765","142341570","144451030","146585944","149192240","151388577","153582360","155729834","158110693","160620699","163096958","165543601","167702835","169845860","171949780",
"United Arab Emirates","ARE","Rural population","SP.RUR.TOTL","24548","25893","27839","30019","31974","33496","34491","35296","37005","41172","47571","56319","67218","80229","95216","111973","130016","148830","167819","185553","201076","216524","232366","247517","263353","280937","299979","320228","342115","365327","389688","415557","443202","472076","501436","530929","552949","568676","585282","603310","623539","643421","664024","693305","741101","812323","909597","1026101","1145346","1246402","1316114","1350911","1357408","1344995","1326614","1311445","1300990","1292708",
"Argentina","ARG","Rural population","SP.RUR.TOTL","5441168","5402332","5371521","5338649","5303191","5265788","5225334","5183137","5140510","5100310","5063110","5038736","5020282","5002840","4983497","4960806","4933753","4903994","4872077","4840364","4809761","4763031","4708913","4655616","4601536","4546770","4491272","4434889","4377289","4319123","4260103","4206333","4192759","4177905","4160797","4141986","4120726","4097973","4073917","4048879","4023698","3998585","3974595","3951229","3927090","3902414","3876771","3850731","3824212","3798017","3772398","3753285","3737769","3722669","3706296","3689207","3671345","3652804",
"Armenia","ARM","Rural population","SP.RUR.TOTL","913165","929062","944095","957991","970440","981338","990460","997847","1003797","1008765","1013460","1018081","1021894","1024753","1026286","1030812","1033920","1035803","1036535","1041605","1052365","1062198","1070939","1079261","1088090","1097856","1109403","1121847","1131792","1142633","1152699","1151475","1140328","1123073","1105543","1092062","1084131","1080789","1081014","1082793","1084608","1086491","1085043","1082276","1079080","1075102","1069823","1063555","1057429","1053178","1051945","1054188","1059395","1065853","1072046","1076792","1079784","1081248",
"American Samoa","ASM","Rural population","SP.RUR.TOTL","6762","6834","6954","7113","7282","7448","7600","7745","7876","7990","8083","8156","8211","8247","8266","8275","8266","8249","8243","8276","8332","8359","8426","8523","8629","8726","8818","8898","8960","8999","8962","8763","8535","8291","8037","7782","7527","7268","7006","6738","6565","6695","6816","6918","6994","7035","7038","7006","6958","6918","6902","6914","6948","6997","7047","7088","7118","7139",
"Antigua and Barbuda","ATG","Rural population","SP.RUR.TOTL","33394","34225","35185","36249","37375","38529","39710","40919","42136","43339","44406","45074","45671","46204","46682","47107","47493","47823","48059","48133","48018","47714","47251","46666","46014","45344","44656","43975","43411","43078","43068","43437","44419","45663","47095","48617","50225","51913","53616","55244","56731","58060","59439","60700","61924","63175","64469","65792","67134","68484","69824","71116","72074","73026","73983","74942","75878","76802",
"Australia","AUS","Rural population","SP.RUR.TOTL","1898168","1893125","1909068","1915045","1921617","1928216","1941057","1946009","1960830","1982191","2001245","2049221","2066154","2076844","2108402","2112847","2112387","2114608","2117518","2118609","2122700","2134561","2175007","2206835","2236626","2271988","2314338","2354687","2398326","2444309","2485873","2522945","2574389","2622313","2673251","2729233","2789315","2844952","2899644","2958134","3019470","3086667","3100598","3115023","3127194","3144470","3166779","3161213","3199492","3240089","3264665","3283984","3319947","3355693","3384126","3410424","3437935","3467466",
"Austria","AUT","Rural population","SP.RUR.TOTL","2486372","2493385","2505220","2517777","2531075","2544011","2558257","2573835","2583601","2588892","2594215","2602592","2617008","2630789","2634510","2626772","2621379","2621628","2618751","2613535","2612783","2621498","2643375","2659070","2679016","2700321","2722325","2744348","2768641","2801639","2843876","2893427","2946774","2992756","3026042","3052457","3078548","3103950","3129454","3157687","3187562","3222225","3260666","3299328","3342824","3388796","3428840","3463449","3497858","3530644","3562894","3598756","3612504","3617832","3629979","3654565","3677700","3691588",
"Azerbaijan","AZE","Rural population","SP.RUR.TOTL","1843964","1919883","1999614","2081445","2163099","2242847","2319969","2394616","2467072","2537842","2589598","2617851","2643251","2666369","2694806","2729430","2763450","2797067","2830493","2866098","2904563","2943617","2983149","3023507","3062458","3100035","3138710","3178248","3218027","3274308","3311109","3385305","3459796","3535841","3607435","3672969","3734314","3794654","3855372","3896779","3912746","3926875","3939942","3953356","3971421","3995444","4022610","4051232","4119674","4188204","4218775","4252916","4286937","4318074","4345898","4369801","4388966","4404265",
"Burundi","BDI","Rural population","SP.RUR.TOTL","2728239","2779607","2831339","2885234","2943627","3007270","3077215","3153140","3229646","3299294","3357294","3401281","3434146","3462690","3496385","3542074","3602114","3674537","3757022","3845634","3938188","4033025","4130844","4232965","4341219","4456571","4579297","4707425","4836530","4960741","5075814","5184309","5285409","5377616","5459772","5532134","5593345","5646477","5701961","5774364","5872904","6001140","6156266","6333730","6526047","6727356","6937201","7156414","7381347","7608209","7833953","8056409","8276462","8497893","8726933","8967402","9220389","9483834",
"Belgium","BEL","Rural population","SP.RUR.TOTL","690173","683837","675039","665612","657593","649491","639888","629663","618582","607025","594492","582711","572373","561805","551360","540999","530184","510589","491485","473116","455398","440204","430030","420141","410476","401233","392205","383459","375867","368490","361118","354059","347362","340654","333815","326709","319832","313175","306498","300145","294313","289464","285082","280571","276160","272130","268551","265111","261859","258792","255937","254319","251053","247252","242900","239464","235807","231876",
"Benin","BEN","Rural population","SP.RUR.TOTL","2206089","2222831","2240843","2260144","2280795","2302811","2326102","2350477","2375559","2400941","2426241","2451296","2476003","2500624","2525227","2549963","2574679","2599354","2623501","2653248","2700929","2750110","2800774","2852850","2906198","2960894","3016338","3072822","3131512","3194225","3261662","3334455","3421578","3526419","3631558","3734793","3835056","3933248","4031040","4130741","4234026","4341576","4447564","4547228","4646980","4745992","4843942","4941149","5038210","5136050","5235022","5335135","5436168","5538264","5640616","5743271","5846143","5949044",
"Burkina Faso","BFA","Rural population","SP.RUR.TOTL","4602311","4659836","4717617","4776782","4839102","4905880","4977618","5053908","5134082","5216827","5301410","5387934","5476828","5568724","5664230","5763916","5855684","5941347","6030036","6123379","6222092","6326599","6435915","6548381","6661835","6774747","6913027","7076003","7243579","7416142","7593790","7776737","7964837","8158483","8357843","8563179","8774616","8972391","9157788","9345913","9536621","9730061","9925695","10124203","10325814","10531249","10739877","10974626","11232646","11495274","11761184","12029907","12301311","12574743","12849370","13124769","13400446","13676628",
"Bangladesh","BGD","Rural population","SP.RUR.TOTL","45724690","46975294","48224500","49523885","50900840","52366186","53943278","55606409","57263368","58790461","60108693","61176525","62040282","62816028","63571061","64292272","65187498","66212014","67305242","68380545","69371623","70492470","72063822","73646709","75253421","76893617","78565281","80253465","81932385","83573500","85151610","86702516","88299097","89857816","91402913","92955789","94512711","96064136","97595068","99092222","100541228","101792699","102783806","103667859","104406451","104978657","105367090","105591498","105699746","105756119","105801443","105852920","105905297","105947785","105948719","105896086","105783264","105622472",
"Bulgaria","BGR","Rural population","SP.RUR.TOTL","4948578","4862618","4768184","4666744","4561889","4450351","4357529","4279849","4204219","4129877","4049527","3981375","3909118","3838830","3773605","3700908","3632541","3572033","3496879","3423053","3358522","3325011","3290185","3253796","3216973","3172930","3135449","3108935","3081354","3015064","2931350","2873111","2813472","2767905","2739354","2708267","2675519","2640661","2604686","2571814","2541005","2469539","2388453","2342006","2297078","2252963","2209465","2167172","2126239","2087198","2048433","2010650","1974416","1938841","1903435","1866995","1829783","1792419",
"Bahrain","BHR","Rural population","SP.RUR.TOTL","28717","29655","30551","31403","32208","32800","33061","33293","33559","33944","34495","35204","36058","37117","38439","40048","41978","44160","46389","48396","50021","51191","51984","52562","53143","53876","54805","55866","56969","57976","58817","59495","60689","62228","63796","65457","67212","69119","71318","73992","77281","81132","85476","90463","96271","102948","110678","119252","127843","135342","141036","144508","146118","146866","148140","150918","155486","161408",
"Bahamas, The","BHS","Rural population","SP.RUR.TOTL","44127","45521","46989","48481","49947","51340","52633","53825","54860","55692","56286","56629","56752","56737","56675","56632","56623","56638","56667","56692","56664","56341","56014","55655","55234","54743","54170","53529","52848","52173","51682","52048","52447","52828","53137","53338","53409","53388","53339","53360","53599","54416","55364","56411","57487","58547","59576","60585","61566","62508","63409","64237","64988","65655","66238","66745","67167","67508",
"Bosnia and Herzegovina","BIH","Rural population","SP.RUR.TOTL","2611501","2641208","2667927","2692741","2713477","2728913","2738323","2742338","2742365","2740404","2737626","2736228","2739131","2741095","2740988","2738244","2732430","2724085","2714104","2703890","2694209","2690500","2703908","2716993","2729615","2741172","2753605","2765485","2768713","2752889","2711573","2641410","2548283","2444787","2349309","2274824","2225509","2197349","2184470","2177695","2170225","2161021","2151681","2141699","2130831","2118980","2105844","2090758","2072990","2051654","2026377","1996488","1962768","1927990","1895687","1867942","1845695","1827998",
"Belarus","BLR","Rural population","SP.RUR.TOTL","5541766","5498539","5456899","5414847","5370261","5327265","5281469","5234313","5183803","5128878","5061496","4981753","4897996","4809523","4714698","4625987","4533373","4443919","4357973","4274272","4194898","4118594","4041007","3963186","3884720","3807158","3730271","3653104","3561979","3500006","3466196","3427834","3395185","3363000","3319582","3269624","3219907","3167936","3114946","3059960","2996577","2933092","2867027","2800401","2735436","2671686","2611003","2555356","2503383","2455407","2403775","2350483","2300156","2253002","2208224","2165435","2122548","2078992",
"Belize","BLZ","Rural population","SP.RUR.TOTL","42324","43829","45371","46976","48659","50427","52301","54250","56233","58154","59914","61392","62754","64016","65221","66402","67557","68695","69906","71307","72980","74989","77277","79779","82402","85068","87789","90582","93370","96037","98530","100779","102873","105037","107619","110880","114928","119661","124830","130073","135039","139270","143259","147088","150938","154916","159050","163291","167589","171892","176151","180305","184357","188329","192254","196150","200008","203823",
"Bermuda","BMU","Rural population","SP.RUR.TOTL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"Bolivia","BOL","Rural population","SP.RUR.TOTL","2335663","2369611","2404299","2439767","2476047","2513304","2551441","2590493","2630501","2671546","2713560","2756582","2800574","2845708","2892083","2939733","2988754","3012190","3026035","3038481","3049057","3058047","3065104","3070214","3072932","3073537","3071660","3067580","3061492","3054213","3045749","3036223","3028051","3049260","3070296","3091003","3111519","3131656","3151188","3169655","3186778","3202624","3220515","3238006","3254304","3269634","3283701","3296763","3308590","3319536","3329554","3338552","3346618","3359389","3374927","3389758","3403770","3417155",
"Brazil","BRA","Rural population","SP.RUR.TOTL","38891711","39315725","39742281","40154044","40536437","40883136","41188409","41456121","41683417","41876543","42030536","42127046","42181485","42208301","42210567","42195781","42162015","42112130","42041377","41951277","41838889","41711594","41560028","41377910","41154932","40890118","40576188","40221975","39827946","39402933","38948052","38465272","37954804","37427434","36887092","36338211","35782889","35104063","34406802","33694963","32968089","32789666","32643365","32476348","32290435","32086234","31861822","31618729","31361022","31097605","30828136","30536157","30238579","29938261","29627241","29308408","28984187","28653658",
"Barbados","BRB","Rural population","SP.RUR.TOTL","146007","146307","146711","147171","147605","147954","148203","148392","148581","148855","149161","149280","149524","149841","150167","150437","150649","150810","150904","150932","151059","152283","153437","154543","155650","156789","157985","159219","160486","161762","163072","164588","166112","167632","169170","170724","172304","173899","175499","177080","178566","179656","180720","181776","182870","184022","185250","186537","187867","189184","190470","191650","192736","193719","194606","195402","196097","196692",
"Brunei Darussalam","BRN","Rural population","SP.RUR.TOTL","46267","46883","47381","47799","48165","48524","48862","49160","49400","49575","49663","49659","51521","53647","55776","57890","59980","62051","64080","66059","67981","69832","71632","73401","75184","77014","78886","80806","82766","84785","86853","88975","90194","91276","92283","93188","93975","94654","95224","95704","96093","96416","96963","97461","97812","97997","98009","97869","97650","97447","97317","97282","97315","97384","97442","97442","97377","97263",
"Bhutan","BTN","Rural population","SP.RUR.TOTL","215259","220237","225320","230624","236329","242537","249289","256531","264178","272080","280137","288298","296564","304969","313577","322417","331498","340781","350052","359086","367715","375626","382841","389952","397767","406720","417382","429175","440049","447298","449231","445081","436052","424818","415015","409137","407865","410308","415415","421597","427665","433474","439215","444583","449254","453311","459051","463910","467982","471471","474473","477000","479105","480786","482034","482841","483222","483217",
"Botswana","BWA","Rural population","SP.RUR.TOTL","508501","520610","533577","547426","561528","574264","587343","600711","614247","627765","641104","653976","670817","688733","707649","727697","748865","770874","793187","815135","836177","856138","866209","871645","873382","871335","865110","854664","840102","821886","800112","775065","779700","787912","794925","800536","804757","807731","809351","809610","808535","806182","808633","811429","814271","817614","821528","805432","789362","773401","757348","741251","736107","732802","729334","725611","721591","717290",
"Central African Republic","CAF","Rural population","SP.RUR.TOTL","1201303","1211897","1223255","1235309","1247902","1261044","1274752","1288952","1302202","1314683","1325960","1335873","1344702","1353213","1362221","1372398","1390577","1416180","1443928","1474332","1507554","1544145","1583569","1623928","1662692","1698237","1729628","1757680","1784509","1817135","1857206","1902047","1950761","2002007","2053763","2104498","2153847","2202046","2249265","2295722","2341647","2386696","2430457","2473251","2515501","2556456","2596981","2636501","2672152","2700057","2717871","2724411","2721731","2714956","2711087","2715067","2728378","2749789",
"Canada","CAN","Rural population","SP.RUR.TOTL","5540868","5541960","5492247","5441341","5390322","5334312","5284252","5275481","5256115","5223145","5191541","5175447","5284850","5401988","5527043","5660443","5761204","5819788","5868870","5918004","5985198","6047712","6080235","6100530","6118361","6134245","6157416","6233409","6309029","6417090","6508096","6586539","6591734","6587858","6575215","6553280","6542357","6495228","6435543","6373418","6314558","6275436","6307525","6345653","6384602","6422979","6444726","6447349","6456994","6470810","6482425","6492159","6554995","6616379","6674249","6715371","6781481","6846057",
"Central Europe and the Baltics","CEB","Rural population","SP.RUR.TOTL","50720637","50539793","50352155","50175481","50005251","49746715","49511646","49426465","49294848","49088427","48793002","48398368","48028189","47662999","47318576","47014049","46703977","46324875","45873947","45434958","45073316","44849921","44666156","44465519","44247585","44023343","43797090","43556553","43288562","43009591","42757162","42329535","42128705","42203359","42206885","42201099","42080474","42075869","42004957","42002315","41758536","41519078","41183523","41004247","40841775","40671435","40501920","40267628","40036336","39894573","39707802","39519532","39410425","39310807","39210929","39092678","38947848","38782261",
"Switzerland","CHE","Rural population","SP.RUR.TOTL","1549119","1562740","1586363","1603842","1613632","1615391","1615259","1618201","1621354","1622399","1616732","1615981","1624969","1633603","1639000","1634860","1622138","1613257","1610009","1609847","1612903","1622449","1635792","1646672","1656461","1667607","1680210","1694724","1711247","1729128","1751004","1776902","1800314","1820462","1838809","1854939","1866968","1875299","1884719","1897587","1912232","1924949","1937671","1950193","1961798","1972472","1982943","1998781","2022351","2045843","2065228","2086420","2106933","2129601","2153942","2176779","2198922","2221398",
"Channel Islands","CHI","Rural population","SP.RUR.TOTL","67074","67966","68912","69911","70942","72004","73079","74168","75268","76367","77459","78585","79862","81085","82215","83203","84031","84720","85361","86066","86916","87824","88529","89355","90265","91214","92209","93367","94517","95582","96512","97311","98050","98701","99357","100080","100801","101394","102036","102718","103416","104114","104790","105485","106176","106859","107537","108202","108843","109449","110025","110597","111242","111860","112457","113055","113648","114209",
"Chile","CHL","Rural population","SP.RUR.TOTL","2481975","2472775","2465720","2457730","2448737","2438977","2428116","2416142","2402509","2387044","2369256","2350247","2329023","2306095","2281545","2255536","2228294","2200118","2171291","2142250","2113206","2084441","2064599","2081203","2098449","2116575","2135639","2155488","2175741","2195759","2215276","2234172","2246971","2235665","2223198","2209542","2194826","2178950","2162149","2144244","2125644","2106230","2092630","2106869","2120519","2134157","2147358","2160411","2172884","2184966","2196561","2207294","2217552","2227229","2236424","2245203","2252689","2258646",
