"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Technical cooperation grants (BoP, current US$)","BX.GRT.TECH.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","1770000","3710000","4360000","1950000","2210000","10000","3010000","260000","120000","160000","130000","310000","600000","20000","150000","-110000","480000","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Technical cooperation grants (BoP, current US$)","BX.GRT.TECH.CD.WD","1510000","1620000","1870000","1990000","2150000","2760000","20270000","18150000","13750000","19220000","20140000","23290000","23500000","22970000","20630000","22460000","17420000","25990000","28740000","35440000","21300000","14600000","13870000","14940000","12230000","14960000","12640000","29260000","46200000","64430000","52490000","90370000","102250000","93540000","52820000","46150000","43450000","30410000","26970000","24820000","15590000","15510000","221390000","401810000","452790000","1062410000","843810000","526320000","710960000","957300000","893130000","849840000","896900000","823980000","655640000","467490000","488510000","",
"Angola","AGO","Technical cooperation grants (BoP, current US$)","BX.GRT.TECH.CD.WD","-50000","80000","","20000","","","","10000","10000","10000","90000","70000","60000","80000","90000","200000","5560000","18550000","10460000","14410000","15500000","17300000","18760000","24050000","21950000","24300000","27490000","33340000","41680000","46010000","33860000","55400000","87560000","67810000","67670000","71070000","99620000","56870000","52000000","57600000","47310000","56940000","61020000","79860000","70250000","80670000","72810000","46330000","67750000","64060000","43730000","33580000","34220000","25680000","34670000","24460000","30380000","",
"Albania","ALB","Technical cooperation grants (BoP, current US$)","BX.GRT.TECH.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5560000","8710000","9170000","3800000","11440000","23280000","25630000","31240000","53050000","34250000","33620000","68920000","54420000","61480000","81380000","145240000","92110000","90450000","99710000","86250000","109250000","95930000","102880000","98220000","95710000","57100000","75080000","182200000","75600000","",
"Andorra","AND","Technical cooperation grants (BoP, current US$)","BX.GRT.TECH.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Technical cooperation grants (BoP, current US$)","BX.GRT.TECH.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Technical cooperation grants (BoP, current US$)","BX.GRT.TECH.CD.WD","","","","","250000","","","50000","10000","20000","10000","20000","250000","250000","590000","550000","1040000","1130000","1690000","2510000","4010000","4190000","4190000","4030000","3130000","3320000","4720000","4650000","4850000","4250000","3650000","3530000","4280000","3180000","5510000","6340000","6700000","1050000","3010000","3330000","3030000","2090000","3470000","4510000","4410000","","","","","","","","","","","","","",
"Argentina","ARG","Technical cooperation grants (BoP, current US$)","BX.GRT.TECH.CD.WD","","840000","1470000","1140000","1600000","2000000","6830000","6970000","4430000","7480000","12350000","10110000","10730000","12740000","12070000","12860000","16090000","17580000","19610000","29230000","33740000","29900000","26780000","27840000","28140000","31730000","62830000","73940000","81330000","78900000","69360000","75530000","83310000","80560000","79360000","83480000","80930000","74760000","66290000","68290000","53440000","60120000","55950000","64730000","62280000","60830000","55340000","52530000","63830000","71880000","76480000","56560000","56800000","53140000","52320000","35720000","34770000","",
"Armenia","ARM","Technical cooperation grants (BoP, current US$)","BX.GRT.TECH.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10000","3070000","12650000","14780000","38350000","83690000","14620000","25420000","55850000","94200000","87660000","122840000","94090000","97280000","83780000","104150000","42160000","36880000","40800000","36980000","28030000","25010000","33420000","37380000","27190000","29760000","",
"American Samoa","ASM","Technical cooperation grants (BoP, current US$)","BX.GRT.TECH.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Technical cooperation grants (BoP, current US$)","BX.GRT.TECH.CD.WD","","","","","","","","","","","","","","","720000","940000","700000","560000","750000","650000","1270000","1090000","870000","750000","700000","1260000","840000","1020000","1530000","1420000","1720000","1470000","1620000","2070000","1860000","800000","650000","1670000","3060000","2080000","1860000","2880000","2520000","1400000","410000","620000","440000","610000","1420000","2720000","740000","1030000","1230000","520000","520000","490000","360000","",
"Australia","AUS","Technical cooperation grants (BoP, current US$)","BX.GRT.TECH.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Technical cooperation grants (BoP, current US$)","BX.GRT.TECH.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Technical cooperation grants (BoP, current US$)","BX.GRT.TECH.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1050000","11290000","4630000","27550000","17780000","15630000","31890000","22190000","30080000","42100000","74580000","69000000","69150000","73410000","97200000","39610000","46940000","44610000","56010000","48910000","37260000","39920000","35640000","29850000","32230000","",
"Burundi","BDI","Technical cooperation grants (BoP, current US$)","BX.GRT.TECH.CD.WD","30000","490000","1010000","470000","2340000","1280000","5820000","7210000","6930000","9690000","10350000","11430000","13580000","15640000","17050000","22490000","22240000","24980000","29820000","34920000","43680000","42890000","45610000","41470000","40560000","43480000","51900000","53360000","53280000","50660000","58190000","70090000","77590000","55830000","48110000","43540000","29450000","18690000","12670000","21060000","15080000","10900000","24070000","30700000","26810000","39300000","50220000","39760000","63210000","60970000","73440000","67060000","75940000","92940000","105740000","57220000","58170000","",
"Belgium","BEL","Technical cooperation grants (BoP, current US$)","BX.GRT.TECH.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
