"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Net official development assistance received (current US$)","DT.ODA.ODAT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","12040000","40430000","20910000","19290000","24330000","29980000","24970000","29980000","24860000","18260000","25800000","19530000","25070000","11260000","-7380000","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Net official development assistance received (current US$)","DT.ODA.ODAT.CD","17180000","34670000","16930000","36670000","46170000","53930000","50360000","40600000","29240000","27250000","27610000","44440000","55180000","55950000","49180000","69450000","71430000","85610000","82520000","105470000","33010000","23910000","9330000","13280000","6500000","16320000","1910000","45280000","72360000","148320000","121720000","507530000","204900000","223800000","226420000","212530000","169630000","230750000","164200000","142860000","136010000","410360000","1309770000","1593670000","2310640000","2837950000","2962000000","5076880000","4874840000","6234870000","6470360000","6865790000","6666770000","5152540000","4942970000","4237290000","4064330000","",
"Angola","AGO","Net official development assistance received (current US$)","DT.ODA.ODAT.CD","-50000","23550000","","30000","","1110000","2860000","18180000","10000","-110000","-30000","0","90000","160000","370000","4760000","17480000","47500000","46870000","47060000","52440000","60220000","59070000","73880000","93410000","90490000","130250000","134430000","157030000","167060000","265770000","277080000","343590000","289390000","447070000","416420000","459310000","354660000","335270000","387540000","302210000","282730000","414030000","493500000","1144570000","414680000","163520000","259980000","369040000","238940000","235170000","192940000","243610000","285540000","235390000","380060000","206780000","",
"Albania","ALB","Net official development assistance received (current US$)","DT.ODA.ODAT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5560000","10340000","11050000","331950000","409640000","270680000","163100000","180600000","226640000","168230000","268740000","488180000","317850000","268530000","307360000","349310000","300940000","315080000","324040000","308630000","364840000","357150000","365070000","379480000","349160000","269980000","281170000","333580000","168530000","",
"Andorra","AND","Net official development assistance received (current US$)","DT.ODA.ODAT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Net official development assistance received (current US$)","DT.ODA.ODAT.CD","881990000","973930000","929090000","858610000","831420000","666060000","688240000","454270000","499770000","492900000","713500000","730710000","875480000","2169270000","3869830000","5702300000","5924510000","6996860000","6880980000","8042800000","9272630000","8876640000","7479720000","6480010000","6031930000","6729440000","6399710000","6784450000","5300050000","5128570000","12762750000","11533450000","8300330000","7335300000","7671250000","6020100000","6339910000","5880490000","6469100000","5494710000","5060030000","5458000000","5285760000","9061280000","11649550000","29295580000","17562190000","19061670000","22708200000","14318330000","12318010000","13655590000","15120070000","22498560000","22269970000","20308790000","26957180000","",
"United Arab Emirates","ARE","Net official development assistance received (current US$)","DT.ODA.ODAT.CD","410000","540000","430000","390000","580000","20000","1300000","1570000","1130000","870000","5290000","5610000","4680000","760000","590000","4050000","1040000","34860000","1690000","7030000","4080000","330000","4690000","4310000","3320000","4050000","34180000","114680000","-11970000","-5930000","3540000","-7660000","-9730000","-10170000","-8030000","5410000","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Net official development assistance received (current US$)","DT.ODA.ODAT.CD","28580000","29180000","39800000","37800000","17220000","-62200000","-9690000","21690000","40720000","25480000","9340000","27710000","23320000","45660000","35920000","26310000","30570000","27920000","28160000","42980000","19480000","43560000","29740000","47000000","48490000","39020000","85860000","99330000","152600000","210700000","168740000","273680000","264440000","226800000","146780000","143120000","131540000","102330000","85540000","84900000","60370000","153240000","88190000","107710000","92080000","94120000","110430000","85810000","120000000","113670000","128530000","95180000","177760000","34730000","48790000","-18870000","2600000","",
"Armenia","ARM","Net official development assistance received (current US$)","DT.ODA.ODAT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2720000","22450000","109460000","191270000","217710000","292280000","166270000","194260000","209240000","215890000","211470000","295220000","250400000","256120000","172620000","215390000","351900000","304430000","525610000","342580000","395500000","270560000","280360000","267430000","347480000","326760000","",
"American Samoa","ASM","Net official development assistance received (current US$)","DT.ODA.ODAT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Net official development assistance received (current US$)","DT.ODA.ODAT.CD","","","","","","","","","","","","","","10000","3000000","2060000","3110000","5380000","3600000","3280000","5500000","9040000","4950000","3370000","2360000","2950000","5050000","5560000","8450000","4340000","4610000","7230000","4670000","3000000","4160000","2270000","3870000","4350000","9980000","10840000","9880000","8580000","13510000","5630000","1900000","8060000","3280000","4990000","6070000","4260000","19660000","15420000","2090000","1590000","2550000","1490000","80000","",
"Australia","AUS","Net official development assistance received (current US$)","DT.ODA.ODAT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Net official development assistance received (current US$)","DT.ODA.ODAT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Net official development assistance received (current US$)","DT.ODA.ODAT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300000","7430000","23870000","149040000","119540000","96360000","184060000","120360000","171000000","140610000","230910000","350810000","302030000","175830000","210900000","207900000","226380000","234640000","233330000","161560000","287470000","286790000","-70830000","216740000","69620000","77500000","",
"Burundi","BDI","Net official development assistance received (current US$)","DT.ODA.ODAT.CD","7530000","7190000","11070000","6160000","8090000","4860000","8930000","10410000","12970000","14930000","17670000","21680000","25760000","26860000","37350000","47470000","43800000","47640000","73910000","94340000","115950000","120650000","125400000","137610000","137670000","137160000","191310000","196620000","200500000","206240000","262550000","256400000","309280000","216950000","311110000","286950000","110520000","56400000","68750000","75100000","93310000","139250000","171910000","227600000","358820000","365580000","432020000","504550000","520430000","575750000","627610000","572240000","524170000","558830000","515400000","366540000","742130000","",
"Belgium","BEL","Net official development assistance received (current US$)","DT.ODA.ODAT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
