"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","480446.927374302","458100.558659218","1564245.81005587","3391061.45251397","4217877.09497207","4547486.03351955","6771959.27880357","10347511.9994435","9832402.23463687","11955307.2625698","13184357.5418994","14748603.3519553","10558659.2178771","9720670.39106145","8645172.62569832","10903194.972067","13810224.5810056","16327503.3519553","",
"Afghanistan","AFG","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","276922","94761.12","27577849.86","47084262.04","10738034.5335198","10944020.3116408","107890.10906887","242475.541833949","36802.95","180660.399927953",
"Angola","AGO","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","290000","1170000","1660000","5630000","430000","","","2495000","3378446.38","1366548.48","1173129.46","470000","20000","6378100","3185000","224315044.600047","212220137.27","252852819.11","264702200","212229720","",
"Albania","ALB","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8358857.12","4942627.61","4204267.36202606","6768509.00807782","11850000","12517321.1510754","14478668.9394081","12142401.2151706","12695213.1371316","23369955.6366449","22607673.5142878","21875569.2389951","24570725.8565263","23157888.5730665","13126155.6481811",
"Andorra","AND","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","22702105.810987","28737501.5975307","36049633.6548443","31260717.8831877","32085875.0973955","37093976.8608406","26485775.7963853","15419081.4442301","13137491.9966205","13995057.6784789","12820700.8245249","16468463.0198058","21597085.5876159","44407963.1465493","51716893.2480532","62048627.9217175","61495810.2049798","68243385.7993208","78748999.7879265","609512999.112863","224169818.359078","176057689.862944","491829384.014848","566753377.636297","532460827.801471","423152345.967249","402587709.238495","220064041.934977","210484830.340776","164739257.323495","289649778.388442","264755627.288143","513265852.821225","385879185.751437","392258199.623047","435296352.405628","422359090.708996","590060804.173167","611303175.035737","570672134.606589","633919667.448579","523088446.488925","409046265.071435",
"United Arab Emirates","ARE","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","39000000","54000000","71000000","69000000","101000000","254000000","363000000","524000000","446000000","420000000","420000000","280000000","288000000","403000000","409000000","420000000","284000000","319800000","376700000","392000000","482004066.218091","544377042.635738","590352559.088508","582160100.056829","580337544.850569","564137635.39202","351280000","402950000","520630000","650640000","894824121.747904","1174682409.95912","1531726727.27288","1526895360.76094","1712212409.7066","2079139111.3222","2216992899.83386","2329270062.45138","2098996165.63338","2178066123.6149","2057489640.60248","2340790300.24796",
"Armenia","ARM","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","133333.333333333","","311111.111111111","260000","288888.888888889","474814.814814815","509629.62962963","511081.481481481","528748.148148148","578800","769324.444444444","806277.777777778","1886308.88888889","1190460.37037037","1200365.55555556","1094687.03703704","1147304.44444444","1181754.44444444","3228269.25925926","3204458.15555555","3425505.98147914","",
"Australia","AUS","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","808156157.10927","825954292.249382","806995923.309744","843695450.800255","798613711.680487","969759324.050812","1001161631.08382","1146884407.75145","1196946820.89075","1114256382.08339","1267126378.18412","1160197303.08146","1001186253.55015","1184791215.67903","1502670171.6454","1743966465.64385","1972287332.09256","2151687683.12054","2809284034.80361","3012858777.31232","2832316674.62371","3423557728.63804","4110573493.48566","4165820497.25686","3913990516.53594","3973566695.16273","3526073728.88977","3317538642.76277","3313271833.37113",
"Austria","AUT","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1333839904.15368","1597628650.18298","1801161326.08179","2093126153.85007","1711140628.94261","1611217212.93098","1863759113.16549","1955938061.43975","1754400256.3823","1776460604.53231","1458092191.11355","1372180841.81409","1658878447.41721",
"Azerbaijan","AZE","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2050000","144000","","46000","1281000","4697000","4827000","19229000","16531000","18423000","28180000","","","","","",
