"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","112720000","127140000","131945000","127170000","136430000","154950000","175435000","220304999","215915000","255345000","224545000","201350001","250969999","248935000","235455000","321360614.52514","374002932.960894","336945700","339224000","324813400","401389600","455457100","691873900","686970110","708713690","689775980","768622300","653170670","680351000","815800560","922550890","",
"Afghanistan","AFG","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","45547800","44619680","45434560","47114050","38528800","45589800","41373600","49488930","67614026.9490591","81289660.8667313","126230158.218425","201456356.929145","217260903.825979","256505577.344226","431038896.524611","605029119.75129","934779039.414711","940035968.528784","657880757.48599","698660805.64221","582311039.774343","526217137.222427","610761731.107206","635742142.31282","746832947.388954","657015441.573253","630659707.861329","637925667.368511","576118920.253472","","","","","","","","","","","","","","","","","3042274495.93876","4265888672.74832","5162440197.79369","6344642495.25739","7152304411.66686","7288702808.98632","7528550402.40523","6976966101.37327","7281910391.02785","8097280955.90196",
"Angola","AGO","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212833268.875582","551619183.828982","396431041.719761","203453699.520865","496103867.963957","1198212373.92884","731866868.535283","375545950.830607","634199422.648887","1374045539.67759","3196850749.33725","8598584120.55047","11196800894.8434","17869411575.2953","13664098011.0068","19749472846.5552","28786209252.5627","33414773293.0924","32780375986.0401","28130311504.4249","23790543293.0423","23741474273.8514","17325945565.8421",
"Albania","ALB","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","166509702.571381","223594867.344851","265298057.978901","323376838.736448","342425753.038369","417921459.755932","523112386.275861","646306095.365499","770580796.406694","866478465.554789","1038294373.28276","1387913182.80593","1439592137.1131","1812802475.32173","2161936606.24698","2363791839.38867","2368942415.05249","2540673566.73796","2471402947.64316","2599863603.96571","2773278168.00598","2665216202.71336","3138517907.70069","3108606804.36865","3588583656.8278",
"Andorra","AND","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","91723795.1680123","452878020.575418","987879902.290253","1979903725.58128","894066095.315775","942089886.92439","1727429507.68922","2354590963.61751","3471503445.10964","2588863919.62548","2384157753.81783","2538886189.44221","3471498477.32865","3689328862.79941","5120925342.79505","4768739333.46745","4776310581.99332","4890564527.19409","5646813747.1307","5977160986.47751","6415331634.69035","6963509619.13104","7778376180.61089","8350159118.50623","8603051271.14355","9305872473.75644","10790300757.9812","13631621329.2876","14256128966.546","15355432201.3629","15087812433.1312","18529924694.4449","21010295842.2662","27617445187.4473","77238765601.0493","31694454057.0513","26104201251.3529","32785288697.5566","37269321629.3273","47035150517.8105","68202651336.22","78424385724.3758","93929133736.8705","85390831785.3546","95377648625.516",
"Argentina","ARG","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","527233600","386407550","114741240","269807440","153293600","236095840","216174480","727208400","780833300","538310000","681788410","304314527.124964","572449755.175402","1597255505.79734","1889579481.31192","848224746.10848","1983316224.28095","3843942355.42708","5933322541.78131","11626505760.127","9296756057.32018","5006226776.17427","4503960609.47172","2840273965.03204","2590505132.02895","4702644000","4427405700","3733969300","5157480786.56928","3216875257.73386","6222040362.99099","7462543636.08691","11447031156.7334","15499431243.972","16003265704.6277","15979453701.6387","19719017345.3261","22424600099.0314","24855741233.4198","26350163675.3936","25152121061.9673","14555552706.0021","10492425074.9269","14157285635.1056","19659594527.6289","28081718501.5579","32022294209.3513","46149458458.068","46385377923.3158","48006987572.796","52207540131.5731","46265809101.0066","43223271090.5489","30533921358.1328","31410823483.4143","25520564393.8036","38414514878.8474","55314409205.2189",
"Armenia","ARM","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1293750.05156269","13586867.7923464","36108082.6992169","111182285.173205","168201670.485293","239225950.906013","293162999.841657","303511867.010076","314200445.095618","329632728.621916","430974407.257226","501977090.040661","547758906.741323","669480407.701409","1071917880.47058","1659090483.37385","1406800809.97001","2003623366.08697","1865824193.73549","1932472153.71926","1799374401.18715","2251610256.38005","1489443392.39267","1775293492.5618","2204113986.69968","2313843410.66113",
"American Samoa","ASM","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","","","","11232962.9630432","7816666.66671753","7336296.2963562","8520000","9930000","15440000","16580000","28260000","25600000","28030000","28070000","27500000","32540000","50520000","37806867.7923464","45808258.3582337","59438706.3419391","47738676.6210258","50698392.3406857","59367608.1806578","69730255.847596","63558884.5747938","79718830.9958277","87648341.4889337","113767366.75807","120139161.972118","127320746.176333","142632588.637309","143848808.574711","138022502.46426","127860392.855884","136600153.666677","147868735.633422","162045102.053393","202580587.01907","297046138.248293","355728253.28841","330090978.88417","313645370.808951",
"Australia","AUS","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","742550000","1158000000","1168180000","1634000000","1680020000","1317030000","1569256000","1365680000","1493121700","1262842800","1708729730","3357977441.39118","6339772676.22443","6213814800.04454","5329033239.41445","3989818897.21656","3862096210.08846","3319307782.79878","3822366656.88824","5486014814.34888","6366460013.12232","4824242557.36492","9995391402.50795","11987781859.6967","9886483620.48084","8361034036.62566","10346341271.7329","12583630026.5048","16852981546.3693","16961258792.9022","19318743724.0756","19339711736.4717","13852416773.1173","14188550691.4828","14313163769.7474","14951886130.3736","17402141294.2766","17588261233.5863","15377553438.4314","21955817052.0444","18821552988.1806","18663973030.8299","21567017930.6743","33258079541.5478","36925543414.4989","43257063108.6614","55078712682.9823","26907896018.8003","32923502686.5597","41742188613.4042","42267779109.093","46714035204.1131","49138172510.564","52837031644.0728","53910346084.4978","45712032748.8278","53555785690.2853","66597718118.1818",
"Austria","AUT","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","720945600.01876","847058100.01887","1081957340.02638","1229910840.03738","1319442160.07238","1314046080.07233","1336543420.10211","1488335600.11635","1650819000.15964","1541024000.16624","1805764300.19479","2455021251.70296","3280220048.61509","4335902626.19018","6428287967.073","6510895769.23949","6374077148.29675","6813640726.05985","9804525357.23644","14883522738.0883","17725433544.0942","13676529640.2529","14949075030.3479","12575296676.6522","10759891540.7682","11678513739.8946","14426653335.3039","17768883013.4546","16043317040.0277","16881871851.2892","17227717542.1462","17414573769.7864","19025543787.0186","21878103248.0458","23852061084.2527","23368742794.5262","26833509061.8923","22021086595.5209","25207674101.3039","18923061046.264","17649561828.343","15598202082.8432","13182010518.9994","12729303797.8008","12188422762.928","11827977057.728","12911207698.6882","18193957067.9114","16741446800.3327","17903947898.1003","22241612907.9189","24769009817.2969","27211429933.8336","23316759301.1","25001505276.7679","22239730383.4995","23255489171.1885","21565331649.2621",
"Azerbaijan","AZE","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","590075.584692729","2034228.47663728","120884190.931729","213661231.132944","467319243.544981","448540667.462663","672589601.583546","679605538.559758","724979341.372391","720471774.401126","802839776.033902","1075084337.86674","1177743664.23387","2500372863.16043","4273114914.58732","6467239203.37626","5363850274.37805","6409059000.90041","10273926427.1848","11277345766.0608","15175667852.4118","15816417366.0159","7319394023.49246","6573862632.67133","6680532216.7134",
"Burundi","BDI","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","5050000","2950265.9","7453827.2","15395912.57","17727076.9039864","18549238.238545","21591190.3087651","14367912.0433159","30847714.159055","49159844.2330086","95905709.7833384","83359466.469142","96725113.6573312","104654105.620465","68145841.3928337","37357560.7551026","33509004.7163326","25040939.7998759","35103931.4340949","75804855.8449158","69068852.0226958","76449554.6181655","106526906.432413","111668438.445462","147473748.750129","179911767.284509","169711841.577049","211303503.595981","216108467.542699","145960526.454633","118039205.719021","70480624.03646","52981485.0922341","37646905.1921525","17974675.6816217","59105714.0667018","67366292.2761531","66173620.0856952","100575245.808507","131138489.53897","177130965.89709","266537166.697816","323088605.87703","332084673.44819","295447545.38225","308757022.96656","329308252.88","317139664.96812","136134359.26714","95158427.87625","97402357.427552",
"Belgium","BEL","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","1526945820.6512","1819222318.06273","1756067570.17978","1973351171.22797","2227003946.86288","2339311318.48834","2357973398.05541","2597706014.12066","2486675901.88747","2395121264.64342","2946532105.66514","3721848718.73862","5028350688.4736","8052357419.36886","11403306216.9486","9983533481.2829","9173446261.19913","10958484438.8751","13591056962.6926","22959057237.077","27973532283.2125","18539741073.8592","19545394587.8802","17754310163.1005","15102823617.199","16026466437.3861","18899783761.008","25898989384.3385","23145049665.9574","22886849283.0949","23788895634.1247","22868663721.0973","22146931620.7312","21197694511.7278","23474024382.9011","24120462999.8407","22609776047.6335","20635950095.9458","21012750384.4337","13346244176.5122","12271755626.6772","13560288475.4688","14697931753.7557","14448831831.7642","13990820347.1696","11996383512.5918","13436674096.7987","16485314672.0453","15680640812.9105","23861671596.4723","26779037381.316","29114293149.0739","30768940132.8315","26946180324.04","25444420303.4322","24101847947.8291","23480913946.4421","26151437584.4711",
"Benin","BEN","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","143195868.268889","138200000","148263262.412567","288917105.667086","241498645.519865","321264479.580148","413645589.087291","331184644.40916","159682645.465368","208528928.652138","545881210.093418","408085833.850912","356198543.655536","434858727.396683","876251489.007675","1076508569.83226","532096252.28796","659565596.029364","1307945065.4143","1853480850.25527","2446571611.35799","3174800836.48379","2376175210.15567","1869479670.66985","1610776837.43672","1935771266.69056","1634375950.72193","1515788659.93906","1305630674.19997","1721734798.46017","2624623711.24584","3221759637.72732","2825004863.68236","3877163409.03432","5277479285.10927","5787356015.26229","10341543632.8091","11174826633.5206","9174751649.12065","12754226945.4343","18087689731.85","22319791707.9921","27493077462.3217","32283836599.7213","33431482893.1712",
"Bulgaria","BGR","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","670207829.90459","1241109201.35232","1052450306.21187","1396927157.10468","1635187896.10957","864262293.160718","2485359968.38498","3056953869.20293","3264673776.9608","3507199554.66166","3646131629.40196","4846430057.34749","6825720285.49886","9337108332.09455","8697081081.81402","11756001560.7859","17544560189.7185","17930378165.9202","18522120690.4971","17223201500.342","17215734344.322","20507099766.2662","19883353585.1","20129701290.2676","22153050115.7332","25176064567.1215","28375830876.2926",
"Bahrain","BHR","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","22700000","21545600","28342400","51630300","67942400","71656690","96340310","98895593.4723569","90619113.4453415","175720924.294449","310517289.762801","456619581.369459","528660973.356273","527347411.354709","690672790.518466","1041823487.37737","1603748400.16345","1603323223.25702","1483581781.69414","1348689378.04276","1708764499.12127","1548021883.66176","1221128525.51462","1313227478.60344","1110178756.53797","1292613497.46056","1567656863.35093","1448449006.73065","1360774758.84121","1227157595.68338","1337941165.96901","1373829387.60883","1333801423.8138","1122372723.8185","1412574649.83736","1605307145.08606","1725453131.75489","1777160076.64333","1840974152.99572","2006203529.29202","2051923931.62393","2895642826.45324","4342188137.31452","4050918527.28729","4008298940.6211","5299462793.16513","4774195661.08347","5454261328.96492","5527718607.2","6229407001.85407","3546207816.07445","2611988960.40417","",
"Bahamas, The","BHS","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","44400000","26070000","21680000","29500000","37060000","43150000","49791749.3585898","53283293.0695293","47419157.5627205","68502133.002373","61011359.6371956","86298283.6251967","92269277.8802252","100205503.194829","113488532.440932","121973941.278934","161141024.7222","182475237.258348","231498467.823811","170115271.744528","172036083.486967","146838360.448918","158165375.368113","181313537.598879","155332535.372008","172283366.874487","176619982.222559","179199375.081757","171391392.271403","227046333.659578","346518165.294376","410499723.987428","349644626.12865","319252803.750063","380645852.763238","491108571.980504","674401973.101831","586297936.226167","461331270.309303","464482926.944897","567909042.880907","1009823756.52663","1044153229.31487","1070217927.41368","846941350.48868","807408441.84","874337365.33223","895475101.35357","1001933816.08353","",
"Bosnia and Herzegovina","BIH","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80406088.8621221","174530374.884558","452403168.02044","496626530.961444","1233132896.3107","1336266933.79624","1813519798.42182","2427266572.65512","2547614646.93943","3671010358.97278","5041780929.5371","4479825859.11475","4575111865.09732","4411161779.29703","4247540641.34962","4389987070.72662","4984005031.73568","4860208944.67435","4790984889.73685","5136418166.08722","6473729518.60968",
"Belarus","BLR","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100987552.591992","377020387.881762","469150024.05121","393699160.773818","702756649.078103","294270277.861898","350495842.38292","390676491.413467","687361275.937681","636538852.40336","836974642.870492","1341819426.53213","1386410520.32308","4178575862.56064","3063153360.12106","5640214003.44149","5025438862.85265","7863287454.61976","8094992816.94032","6654217248.4","5067717213.84858","4172797045.51947","4907607349.04434","7315236708.5196",
"Belize","BLZ","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","5490665.587099","8020500","13978000","10463000","12675500","10334500","9837496.64180636","9305511.47698691","6072200.27825425","14812996.7294923","26897012.7342972","36414762.3033381","51657192.8785779","59880053.3550609","69781501.8992474","53016557.6678253","52942515.7781842","38746495.1016734","34521492.3217617","37608482.6699034","58401982.7115371","59415503.3131987","44084979.0269303","71305521.1832913","122899025.113261","112041463.37802","114506539.353583","84684014.0300054","48253512.1519928","71357473.8645495","113721625.105308","108512566.927112","166162850.580827","213683318.81089","217999641.8866","237114351.91606","288924771.46528","402752316.385","486876895.2176","437151643.91662","376735046.53482","312140148.194318",
"Bermuda","BMU","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","6715418.4","7404270.65","4005989.98","10404576.44","22546124.32","36572986.48","41219613.49","37943132.8","41648875.1","42066867.2","46379966.09","56353201.3390203","70587990.7668283","100471229.424338","252272315.662618","196963507.555758","206830669.181962","310364752.964208","315441347.098242","527840704","553358366","429267402.056925","562569850.172806","508816422.275502","533100460.182791","492491229.182777","513310580.538569","530316463.410677","472580567.91584","563347083","510931171.639826","422359443.149443","479572082.597048","572438127.381549","793388691.374783","1005482847.42788","1301661210.07215","1359051284.08965","1218866922.35703","1248580167.68436","1184108473.28086","1146023506.66763","892729271.690345","1096941449.29092","1271423095.58776","1794984952.8082","3193982397.64168","5313632164.29892","7719766154.35308","8574579115.19856","9730683154.62655","11994673840.6272","13924289462.3238","14429068857.365","15129278397.2712","13049620584.5946","10053627176.1476","10245969449.6731",
"Brazil","BRA","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","432848800","471156150","336000900","355042320","245487600","484251120","425796620","200149600","266422900","656773200","1189904670","1753865277.94277","4218805676.74583","6508867084.0128","5463238279.69263","4166486431.37877","6666854181.77382","7441920872.37625","12190033177.1808","9838705354.82902","6875231542.0342","7479607844.25765","3997356017.94856","4561475256.47813","11960814096.9956","11617955161.6872","8184181031.96702","8134599725.9388","9114472122.65344","9678276000","9997591007.59699","9391631540.11071","23750647504.125","32247610989.3312","38810777748.0989","51842389630.8018","60152476087.5694","52208520617.439","44487193726.1719","36342324457.263","33015297297.4936","35866445477.0233","37832147465.4028","49297286969.7161","52934865198.5543","53799284976.6775","85842861064.7557","180333622542.44","193783363534.518","238539463013.264","287588984359.637","352010241721.417","373160978076.306","358816426346.517","363570247226.591","356464978111.395","364984031618.166","373955518686.487",
