"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19202168208.0175","21252007733.2421","22134851020.6294","25406550418.3726","27761871367.4836","32316545463.8146","34181087567.1196","41684373490.0272","45732340266.1703","49888820621.1393","58374063905.6029","61579304418.296","64014397930.1323","65573681035.508","68140183751.909","71050265760.6393",
"Angola","AGO","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24100232508.8006","28164234770.094","11420826460.907","11847264760.1632","9565804429.2079","22095823307.3075","22969134787.8869","28473549380.1503","29143044335.1032","27602540706.7007","30548627728.153","32935156925.3232","40031765196.4335","43137470671.069","48582068984.5112","59513803412.1249","72559312017.4662","94146665046.0428","104602128019.141","117298693156.579","121803378448.678","129828008402.427","139319739635.695","153292218132.889","165055684497.883","174116754095.028","175348960593.07","180460498541.229",
"Albania","ALB","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8938800139.77001","6385281510.63739","5927609833.88252","6864795993.05548","7687021223.07445","9028200836.05795","10063435475.8868","9123322090.09911","10325998889.8513","11728114847.0433","12811632389.5263","14065584344.9061","14862377847.2658","15969882459.3732","17111639146.9918","18254799261.5056","20424212267.7075","22256276513.9624","24373910573.7303","25390798025.1325","27793320160.9902","29663229076.2407","30302902932.7462","31131241234.964","32827676355.2593","33039219274.3033","33784487568.2081","34815320843.7715",
"Andorra","AND","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1558309673917.5","1604538171125.62","1720353652336.5","1821633318088.91","1899296550899.27","1996216133574.83","2108918868108.39","2233899937003.87","2413351395517.31","2493867701310.71","2661255565005.65","2778163322515.82","2799072310361.04","2976588144150.79","3343682551302.27","3648934470014.76","4017593484016.04","4344898815351.78","4678452926857.34","4731274627024.24","4970708616647.09","5221748191031.57","5671929832930.31","5898526571447.24","6199832018246.52","6518896526261.87","6825992874410.66","7045327299020.89",
"United Arab Emirates","ARE","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","279228068000.823","279164313064.7","307077343805.462","347513100269.535","380298972294.659","432810738222.205","463476299657.32","478013214643.452","455603090179.488","463767107413.715","506666150859.09","539353078158.061","577752714049.89","612107318785.99","651745477605.438","665080750359.502","699509974941.48",
"Argentina","ARG","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","218759633009.263","258136517828.273","299295164749.653","326379402093.412","352284452481.358","348075314891.159","373209846851.091","409961396554.712","428808147190.214","419961807851.945","426027857759.807","415584811228.832","359183623079.468","403352108932.317","453888625711.513","520423058066.789","582600188768.878","656547284620.024","697524133570.434","657150616161.992","729947520649.598","794545309061.107","804832959886.585","839366658948.401","833761491687.03","852324806206.234","844707263287.913","897239263277.056",
"Armenia","ARM","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8243622077.32556","7799721806.9342","3883786430.49208","3983285124.42318","4669797052.24733","5091768590.1826","5649575324.42393","6122803147.4995","6464125812.4275","6765668294.54572","7312962664.13328","8216359860.09029","9503884952.94383","11017601206.143","12461664771.2174","14816824931.3305","17375047780.6536","20420228115.3273","22368198058.2348","19024006136.8475","19831190099.8922","20909528812.773","22923478928.5206","24560784435.8414","25540611009.0006","26526222994.0203","26383467429.6048","29491077420.9252",
"American Samoa","ASM","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
