"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","210","250","270","330","360","460","500","560","670","680","650","600","580","570",
"Angola","AGO","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","560","640","630","630","830","760","1350","1140","","320","430","310","420","390","330","360","390","540","610","800","1090","1490","2150","2760","3190","3240","3390","3800","4340","4440","4030","3450","3330",
"Albania","ALB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","720","760","760","790","680","420","300","320","400","660","920","830","900","1010","1170","1330","1410","1690","2150","2670","3090","3480","3950","4230","4360","4410","4360","4540","4540","4390","4320","4320",
"Andorra","AND","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2105.71189611938","2147.38225561798","2241.5266621594","2309.82480004758","2310.56194921238","2287.84273251399","2409.8237073572","2496.29734473856","2475.85585497375","2682.13738317471","3061.37835982921","3499.53991272581","4014.13778063252","4617.47448228871","5419.93000398576","5491.08920998481","5752.67006882017","6022.47874047442","6953.27801287086","7394.37255963442","7483.87658486112","7032.04809400795","6561.17370343044","6152.02263238255",
"United Arab Emirates","ARE","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31750","30690","32520","35990","37570","39810","40400","41040","36140","34530","36160","40310","43920","45070","43360","40000","39130",
"Argentina","ARG","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","2070","1320","1230","2110","2460","2220","2150","2170","2600","2940","2810","2570","2800","2820","2650","3010","3600","3900","2910","3170","3950","6280","7070","7540","7330","7700","8110","7990","7540","7440","6960","3930","3550","3560","4600","5450","6470","7610","7730","9170","10610","11790","12770","12260","12300","11940","13040",
"Armenia","ARM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","310","330","400","460","520","560","590","610","660","710","800","960","1170","1540","2020","2760","3600","3330","3470","3530","3880","4120","4150","4030","3770","4000",
"American Samoa","ASM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
