"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.0264129638672","","","","","","","","","","99.1384124755859","","","","","","","",
"Afghanistan","AFG","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","30.0663509368896","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.9900512695313","","","","","","",
"Angola","AGO","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.1944885253906","","","","","","","","","","","","","77.4311294555664","","","",
"Albania","ALB","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.4351501464844","","","","","","","98.8312072753906","","","98.7911911010742","99.2313995361328","","","","","",
"Andorra","AND","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","",
"Arab World","ARB","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","62.01336","62.43227","63.00533","63.73589","64.441","65.22419","66.41365","67.59594","68.96229","69.84421","70.96455","71.98983","73.08461","74.56175","75.49942","75.23815","76.04739","76.91028","77.93968","78.72458","79.37666","80.06881","80.61563","81.56403","82.5614","83.49282","84.16476","84.63714","83.15084","83.92297","84.59842","81.85808","82.26961","82.62586","83.70435","84.41675","84.64643","84.79429","84.9456","",
"United Arab Emirates","ARE","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","63.0476112365723","","","","","","","","","","82.4726409912109","","","","","","","","","","","","","","","","","","","","95.0064468383789","","","","","","","","","","","","",
"Argentina","ARG","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","96.8825378417969","","","","","","","","","","","98.3046417236328","","","","","","","","","","98.9166564941406","","","","","","","","","","","","","","99.3000030517578","","",
"Armenia","ARM","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9099578857422","","","","","","","","","","","","99.8072814941406","","","","","","","","","","99.8473968505859","","","","","","",
"American Samoa","ASM","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
