"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.5373992919922","","","","","","","","","","96.9405288696289","","","","","","","",
"Afghanistan","AFG","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","30.3077507019043","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.4170989990234","","","","","","",
"Angola","AGO","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.9198684692383","","","","","","","","","","","","","79.9741516113281","","","",
"Albania","ALB","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.1876068115234","","","","","","","97.3061981201172","","","98.0081634521484","98.3526077270508","","","","","",
"Andorra","AND","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","",
"Arab World","ARB","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","60.2949","60.64819","61.10123","61.57178","62.07459","62.00597","62.7109","63.48105","64.27246","64.72476","65.58355","66.31056","67.10404","68.07179","68.72493","69.83685","70.35145","71.18083","72.21095","72.87947","73.84942","74.60969","75.03295","76.24353","77.08168","80.00241","80.5662","80.89191","77.643","78.26312","78.72596","77.56362","78.14771","79.49859","80.38914","80.70831","81.04234","81.33483","81.58286","",
"United Arab Emirates","ARE","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","58.3861083984375","","","","","","","","","","72.2742767333984","","","","","","","","","","","","","","","","","","","","89.4821014404297","","","","","","","","","","","","",
"Argentina","ARG","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","94.2633895874023","","","","","","","","","","","96.2212677001953","","","","","","","","","","97.1931991577148","","","","","","","","","","","","","","98.0400009155273","","",
"Armenia","ARM","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.4038467407227","","","","","","","","","","","","99.672233581543","","","","","","","","","","99.8060836791992","","","","","","",
"American Samoa","ASM","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.4000015258789","","","","","","","","","","","","","","","","",
"Australia","AUS","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.4724197387695","","","","","","","","99.8239974975586","","99.8426666259766","99.8544387817383","99.8566589355469","99.8528518676758","99.8659210205078","99.8620071411133","99.8626327514648","99.8640518188477","",
"Burundi","BDI","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","34.2627105712891","","","","","","","","","","","48.2362518310547","","","","","","","","","","67.3069305419922","","","","","","","","53.1283912658691","","","","","","69.692512512207","","","",
"Belgium","BEL","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","25.1900596618652","","","","","","","","","","","","","39.9033393859863","","","","","","","","","","47.8659591674805","","","","40.6161689758301","","","","","","44.9602584838867","","","","","",
