"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.45829963684082","9.43078994750977","9.51299953460693","9.30688953399658","10.275839805603","9.62697982788086","10.5949001312256","9.83452033996582","9.28746032714844","8.40287017822266","8.26317024230957","8.2985897064209","","","9.01364040374756","8.31367969512939","","","",
"Afghanistan","AFG","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","","","","27.0781707763672","","","31.1176795959473","29.8720207214355","","14.8786001205444","4.22975015640259","9.78713989257813","","5.13297986984253","5.12460994720459","","","","","","","","8.94355010986328","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.3978099822998","10.6004695892334","10.1626195907593","8.62112045288086","","","","","","",
"Albania","ALB","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.77505016326904","","","","4.56711006164551","4.62233018875122","","3.20619010925293","2.66337990760803","","","1.74873995780945","1.43748998641968","1.62405002117157","1.10975003242493","1.00542998313904","0.912559986114502","0.857089996337891","0.846660017967224","0.9826700091362","0.89300000667572","",
"Andorra","AND","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","3.29482007026672","3.41483998298645","2.94117999076843","2.51766991615295","2.24618005752563","2.74222993850708","2.51045989990234","1.9534900188446","1.41102004051208","1.46667003631592","",
"Arab World","ARB","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","12.4072704315186","12.5111503601074","12.9328804016113","11.5479898452759","11.5250701904297","11.9402198791504","12.0844602584839","12.0546998977661","11.879340171814","12.12024974823","12.2486295700073","12.6066904067993","11.9113397598267","11.9113798141479","11.8839597702026","10.645899772644","10.3008699417114","10.8045797348022","10.4039096832275","10.1112804412842","10.2374696731567","10.3110904693604","10.3500003814697","10.2999801635742","10.0411100387573","9.94165992736816","9.73873043060303","10.0515203475952","9.99575042724609","9.8838996887207","10.2277002334595","9.5068302154541","8.97367000579834","8.54086971282959","8.04127025604248","7.5935001373291","7.90241003036499","8.1670503616333","7.89767980575562","8.11225032806396","7.76524019241333","7.49138021469116","7.18345022201538","7.47766017913818","7.37479019165039","6.99641990661621","7.0417799949646","",
"United Arab Emirates","ARE","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","","","","20.5932693481445","19.1849899291992","13.6604404449463","12.056960105896","9.58216953277588","9.88926982879639","8.52721977233887","7.6673698425293","7.04893016815186","6.08582019805908","6.00297021865845","6.90840005874634","6.10908985137939","6.65315008163452","5.95951986312866","5.26064014434814","4.84386014938354","4.59286022186279","4.53133010864258","4.3277702331543","5.58187007904053","5.62830018997192","5.36346006393433","5.12249994277954","5.28314018249512","4.43040990829468","4.14589977264404","3.61546993255615","3.17729997634888","3.16447997093201","2.64672994613647","2.18159008026123","2.25377011299133","2.04393005371094","","2.13525009155273","2.09409999847412","0","0","0","0.270520001649857","0.188449993729591","","",
"Argentina","ARG","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","12.7217597961426","11.659930229187","","","","9.62205028533936","9.07728958129883","","","","","","","","","","","","","","","","","","","","6.36244010925293","6.17873001098633","6.37853002548218","6.97725009918213","7.22917985916138","7.49334001541138","7.17627000808716","7.48821020126343","7.66214990615845","7.5727801322937","7.70111989974976","7.28417015075684","6.8200101852417","6.10616016387939","5.51249980926514","5.00150012969971","4.45471000671387","3.38953995704651","2.5007700920105","2.34223008155823","","",
"Armenia","ARM","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.145600005984306","0.117459997534752","0.135140001773834","0.16193999350071","0.143529996275902","0.170819997787476","0.0909299999475479","0.236469998955727","0.153259992599487","0.126120001077652","0.155719995498657","","0.196579992771149","0.296999990940094","0.621460020542145","",
"American Samoa","ASM","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","","","","","1.45238995552063","2.04011988639832","","","","","","","","","","","","","","","","3.23466992378235","","","","","","","","","","","","","","","2.41921997070313","7.00786018371582","5.38962984085083","8.21664047241211","5.47534990310669","5.5237398147583","","3.01307988166809","3.77940988540649","","",
"Australia","AUS","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","6.91466999053955","6.44865989685059","5.90826988220215","","","","","","","","","","","","","","","","","","","","","","","","","1.63906002044678","1.7671400308609","","","1.39560997486115","","1.40703999996185","","","","","","","2.76284003257751","2.76688003540039","2.87589001655579","2.95762991905212","3.08272004127502","3.15410995483398","",
"Azerbaijan","AZE","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.187059998512268","0.319020003080368","0.345880001783371","0.428310006856918","0.463010013103485","0.43274998664856","0.44174000620842","0.448249995708466","0.396439999341965","0.293449997901917","0.381139993667603","0.276259988546371","0.287999987602234","0.292760014533997","0.324019998311996","0.323579996824265","0.286749988794327","0.28847000002861","0.282229989767075","0.245250001549721","0.219999998807907","0.146349996328354","0.143560007214546","0.137419998645782","",
"Burundi","BDI","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","22.4508895874023","","22.2269306182861","25.9934501647949","25.6196594238281","26.5084495544434","24.566219329834","26.3105792999268","27.4826602935791","28.8755397796631","30.046760559082","28.7682704925537","18.3598098754883","14.0192699432373","15.4069499969482","17.7917995452881","18.3108196258545","18.9805507659912","25.486270904541","22.6347503662109","22.3210697174072","23.432710647583","24.0437793731689","","","","","","","24.5333099365234","24.1423397064209","25.6323299407959","26.1743907928467","27.8136100769043","30.4066600799561","29.2037296295166","31.5021591186523","33.4895401000977","32.2850303649902","33.5185394287109","35.9812507629395","32.7948913574219","28.8687705993652","24.5764999389648","22.9897994995117","23.0062408447266","",
"Belgium","BEL","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","","","","24.3311405181885","24.3575496673584","24.9368896484375","24.3033790588379","23.9003791809082","24.1589298248291","23.6683006286621","20.8492298126221","20.5313892364502","21.8934898376465","19.7147598266602","19.1061992645264","17.9744205474854","17.4450302124023","17.6336994171143","","","17.3618602752686","","","","","","","","","","","","","","","3.29904007911682","3.261549949646","3.50013995170593","3.39187002182007","3.34827995300293","3.21411991119385","3.01852989196777","2.68211007118225","2.56490993499756","2.58448004722595","","",
"Benin","BEN","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","18.4461097717285","16.9043598175049","18.33717918396","20.090950012207","16.7835006713867","20.2847595214844","20.9528198242188","20.0244693756104","18.1110496520996","23.0498695373535","18.6256904602051","17.1368007659912","21.2491207122803","27.7880802154541","25.2253494262695","26.3460903167725","25.8315505981445","25.9594497680664","25.9318504333496","24.5484600067139","21.1690692901611","22.7481594085693","23.5813903808594","24.5207500457764","24.2799301147461","24.9101696014404","25.1391506195068","23.7591495513916","","19.9692707061768","19.9007396697998","20.9219608306885","19.8945198059082","23.0091400146484","16.6886901855469","","","14.279390335083","","13.4499597549438","10.9005899429321","11.6528196334839","11.261549949646","11.0125398635864","11.0378999710083","","",
"Burkina Faso","BFA","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","15.6141395568848","16.7510604858398","17.2011203765869","16.6730403900146","16.4633903503418","16.7420291900635","17.9258003234863","18.3101196289063","17.4443092346191","17.429759979248","16.5285892486572","15.963080406189","16.1426696777344","17.0488300323486","13.7037000656128","","15.2785701751709","16.2483501434326","16.6062202453613","17.0407009124756","17.5874099731445","16.4118309020996","16.4610996246338","15.7905197143555","15.9194898605347","15.6279802322388","","","17.5293407440186","16.9163398742676","17.516170501709","17.477710723877","15.0094003677368","13.1907796859741","12.0754499435425","12.0855503082275","11.7838497161865","10.5674495697021","10.544340133667","10.1186199188232","","8.13407039642334","7.25869989395142","6.75048017501831","5.54234981536865","5.67524003982544","",
"Bangladesh","BGD","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","","","","","","18.4651107788086","","","","","17.614330291748","","","","","","","","","","","","","","","","","","","","","","","","10.4032802581787","11.1755104064941","","13.3755502700806","13.817910194397","12.6457195281982","9.65482997894287","","7.068039894104","","5.35920000076294","5.81307983398438","",
"Bulgaria","BGR","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","2.97129988670349","2.6587700843811","2.94697999954224","3.77765011787415","4.5907998085022","6.73991012573242","6.26934003829956","6.57497978210449","5.92945003509521","4.71888017654419","4.21611022949219","3.99462008476257","3.81750988960266","3.74981999397278","3.72814011573792","2.7537899017334","2.98036003112793","2.61798000335693","2.65829992294312","2.66912007331848","2.64879989624023","2.51308989524841","2.14352989196777","1.92678999900818","0.732079982757568","0.256060004234314","0.184709995985031","0.151710003614426","0.121160000562668","0.125630006194115","0.0805300027132034","",
"Bahrain","BHR","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","12.0938596725464","12.7329196929932","11.7663898468018","7.85764980316162","8.39822959899902","8.05753040313721","8.83712005615234","8.51895999908447","","5.24742984771729","4.48778009414673","4.62167978286743","5.18091011047363","5.81298017501831","6.32635021209717","","5.63659000396729","4.57740020751953","4.96273994445801","4.58697986602783","4.3689398765564","","3.59189009666443","3.29837989807129","3.00933003425598","","","","","1.22835004329681","1.11693000793457","0.847679972648621","0.747439980506897","0.656549990177155","0.469550013542175","",
"Bahamas, The","BHS","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","0","0","0","0","0","4.36431980133057","","","","","","4.15712022781372","",
"Bosnia and Herzegovina","BIH","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.101729996502399","0.0789100006222725","0.09706000238657","0.0786300003528595","0.0969699993729591","0.112549997866154","0.15225000679493","0.162980005145073","0.169459998607635","",
"Belarus","BLR","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.23457002639771","1.168869972229","1.18073999881744","1.06383001804352","0.948880016803741","1.05787003040314","0.522050023078918","0.558279991149902","0.370429992675781","0.317959994077683","0.247820004820824","0.102430000901222","0.0680800005793571","0.0544600002467632","0.0502399988472462","0.0434300005435944","","","0.0627100020647049","0.0299100000411272","0.0378200002014637","0.0306700002402067","0.0291799996048212","0.0351000018417835","",
"Belize","BLZ","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.62045001983643","","","11.8974199295044","11.348349571228","","","10.8021402359009","10.6101102828979","11.4457302093506","","11.0444202423096","12.4562397003174","12.9815998077393","11.7240104675293","10.8893699645996","9.42471027374268","9.53369045257568","8.79654026031494","9.79213047027588","8.8742504119873","8.42263984680176","8.25603008270264","8.35982036590576","8.08403015136719","",
"Bermuda","BMU","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","","","","","8.75485992431641","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.4871301651001","6.98850011825562","6.50481986999512","4.82387018203735","2.31756997108459","2.63311004638672","",
"Brazil","BRA","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","16.9133605957031","18.9550399780273","19.2454490661621","18.8389797210693","","","","","","","","","","","","","","","","","","","","","","","","","24.0441207885742","","","","","","","","","","","","","","","","","","",
"Barbados","BRB","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","","8.75349998474121","9.96897983551025","10.551830291748","9.02122020721436","9.02147960662842","10.4503498077393","11.5964803695679","18.0303592681885","14.8656301498413","15.8835601806641","15.310079574585","11.100079536438","11.7172698974609","","10.6138801574707","","","","","","","","","","","","","","","","","","3.63477993011475","3.04381990432739","2.22360992431641","2.82270002365112","1.13970005512238","0.767570018768311","0.192479997873306","0.190320000052452","0.0906400009989738","0.0739099979400635","0.284449994564056","0.235489994287491","","",
"Bhutan","BTN","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","","","","","","","","3.06497001647949","13.3038396835327","","","","","","","","","","","","","","19.2777690887451","19.5316791534424","","","","13.8359804153442","12.4761896133423","13.7341299057007","13.5215702056885","","","","","7.58695983886719","","7.23526000976563","7.44721984863281","7.12167978286743","6.56692981719971","6.1214599609375","6.6816201210022","7.17286014556885","","6.96266984939575","",
"Botswana","BWA","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","0.297829985618591","0.765550017356873","0.815699994564056","","","","","","","2.55194997787476","","4.54422998428345","5.51321983337402","6.36873006820679","5.82192993164063","5.70835018157959","4.62474012374878","5.26973009109497","4.99259996414185","4.94131994247437","5.09338998794556","4.76848983764648","3.65366005897522","3.00627994537354","3.1549699306488","4.105140209198","3.89587998390198","","3.68323993682861","3.87975001335144","4.1356201171875","3.96548008918762","3.93074011802673","5.81471014022827","5.66985988616943","5.78060007095337","5.72457981109619","5.93025016784668","5.49031019210815","5.47805023193359","","","5.75754976272583","5.48458003997803","6.25473022460938","","","",
"Central African Republic","CAF","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","27.4464492797852","27.2136707305908","25.9349308013916","31.5312805175781","30.3713493347168","35.8498115539551","","28.6443691253662","","","34.2074203491211","34.3741798400879","34.3871307373047","","","29.9054508209229","35.1077194213867","35.1467895507813","33.9511413574219","30.697229385376","31.8010101318359","37.666259765625","","","","","","","","","","","","30.3150005340576","29.4344005584717","28.1749801635742","","25.3269901275635","23.8423004150391","20.5555191040039","21.9623203277588","22.5921897888184","","","","22.479549407959","",
"Canada","CAN","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","","","","","0","","0","0","0","0","","","","","","",
"Central Europe and the Baltics","CEB","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.25656008720398","2.96141004562378","2.83240008354187","2.5931499004364","2.63944005966187","2.45852994918823","2.41067004203796","2.42270994186401","2.1016800403595","1.83170998096466","1.77778995037079","1.68209004402161","1.62897002696991","1.6468700170517","1.5471099615097","1.37613999843597","1.66609001159668","1.55806005001068","1.37416005134583","1.34299004077911","1.24797999858856","1.21782004833221","1.13087999820709","1.03100001811981","1.10204994678497","",
"Switzerland","CHE","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","","","","","","","2.75627994537354","2.54199004173279","2.47736001014709","2.27256989479065","2.17609000205994","2.59910988807678","2.5254499912262","2.48731994628906","2.33605003356934","2.27579998970032","2.25104999542236","2.20994997024536","2.07530999183655","2.04017996788025","1.88657999038696","1.95729994773865","1.79621994495392","1.82664000988007","","1.7180700302124","","","1.93141996860504","1.80994999408722","1.81926000118256","1.82852005958557","1.75522994995117","","1.78327000141144","1.54644000530243","1.57652997970581","1.58050000667572","1.53831005096436","1.51506996154785","1.45117998123169","1.3887699842453","1.34223997592926","1.35459005832672","1.1757800579071","1.29236996173859","",
"Channel Islands","CHI","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","12.6115598678589","9.82355976104736","9.71533012390137","13.586350440979","14.3575496673584","14.8051996231079","14.8617401123047","13.7922897338867","","","","","","9.20862007141113","","","","","","","","","","","","","","4.89483022689819","","","","","","","","","","","","","","6.06360006332397","5.7849497795105","5.4172101020813","5.01452016830444","4.50064992904663","4.18440008163452","",
"China","CHN","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.38423991203308","1.79433000087738","","","","","0.351090013980865","0.361149996519089","","","0.296609997749329","0.271340012550354","0.312319993972778","0.307610005140305","0.303279995918274","0.279980003833771","0.194470003247261","0.168400004506111","0.0875800028443336","0.0205300003290176","0.0143400002270937","",
"Cote d'Ivoire","CIV","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","","","25.628360748291","26.5939903259277","","21.0774803161621","19.2710800170898","18.0090293884277","18.4281005859375","19.0490798950195","19.7097606658936","","24.5614204406738","25.9504108428955","29.1831798553467","28.6015491485596","27.47340965271","26.1158790588379","26.63623046875","26.6032695770264","24.0624809265137","26.7792091369629","26.8524398803711","25.7535495758057","26.7452392578125","23.4954700469971","24.635440826416","25.6949501037598","22.7639999389648","23.428430557251","22.4403305053711","24.2273597717285","17.481050491333","","","23.3954105377197","22.3122100830078","","18.8730907440186","","","20.011079788208","20.663480758667","15.3202104568481","15.5442895889282","13.1410703659058","",
"Cameroon","CMR","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","","","26.3580703735352","27.4779891967773","26.8342990875244","25.5385303497314","26.4404106140137","18.9071807861328","27.7661304473877","29.7389106750488","30.387149810791","30.6842708587646","30.3264999389648","30.0261192321777","29.5235805511475","29.9685497283936","30.0957508087158","29.7514801025391","","29.7047805786133","30.2463207244873","","","","","","","","26.7958793640137","26.8011207580566","","25.8525390625","26.4005393981934","25.5996894836426","26.1274299621582","26.756519317627","20.7679405212402","17.4501399993896","15.1630201339722","13.5356702804565","12.891300201416","12.7206201553345","","13.1978302001953","12.5646495819092","12.1379804611206","",
"Congo, Dem. Rep.","COD","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","22.6014404296875","22.8368396759033","","","","20.7174797058105","20.3452091217041","19.6080207824707","","18.4542598724365","18.5848808288574","18.6767692565918","18.81715965271","18.9645805358887","","","","20.5519104003906","","","17.3638706207275","11.8608198165894","7.73079013824463","21.0327796936035","","","","","18.7989902496338","","","15.9882898330688","","","","","15.5578603744507","15.1596298217773","15.156120300293","13.9931898117065","12.1329898834229","11.021050453186","10.7025699615479","","9.76424980163574","","",
"Congo, Rep.","COG","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","32.2392387390137","32.4516181945801","30.7703895568848","30.9221591949463","29.6863594055176","26.6606502532959","25.0351791381836","24.8635997772217","24.8664207458496","25.1324195861816","26.161340713501","28.4565391540527","31.712869644165","32.3573913574219","34.3191299438477","30.601490020752","31.7390804290771","31.98703956604","35.3359107971191","38.9070892333984","","33.773868560791","34.1097793579102","36.5556716918945","","34.7191314697266","","","39.9658317565918","27.6810398101807","25.7313899993896","25.0996398925781","28.4135608673096","25.1326293945313","24.7108402252197","21.4705696105957","21.4783401489258","23.2166004180908","20.5125694274902","19.701099395752","19.4055805206299","24.7756309509277","","","","","",
"Colombia","COL","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","17.260009765625","16.7814292907715","16.6849193572998","16.5334892272949","16.5483207702637","","","","","","","","13.9225702285767","13.4310703277588","13.0680198669434","17.1554393768311","17.1559104919434","13.0679397583008","13.0679397583008","13.0679397583008","14.6500997543335","12.0568704605103","16.5326309204102","7.74761009216309","9.59352970123291","9.69414043426514","7.81641006469727","","5.03045988082886","5.75149011611938","5.93476009368896","7.31690979003906","7.32181978225708","","4.73486995697021","4.5968599319458","4.36856985092163","4.18240976333618","3.9639298915863","2.26488995552063","2.22350001335144","2.95574998855591","2.76455998420715","1.75927996635437","1.8668999671936","2.73240995407104","2.34328007698059","",
"Comoros","COM","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","32.2173194885254","36.8806114196777","","","","","39.23291015625","","","","","","","27.3585090637207","26.5795497894287","","29.3407306671143","29.3441696166992","28.1836605072021","","","26.950719833374","24.4576797485352","","","","","21.9624195098877","18.3857402801514","","","",
"Cabo Verde","CPV","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","","","","","","","","","27.2657299041748","26.4083595275879","28.7784595489502","29.5707492828369","29.1132297515869","30.4214401245117","29.4093208312988","29.2719593048096","28.5005493164063","25.6304607391357","","20.0561904907227","","","","18.1840991973877","","","","10.2686595916748","","12.8100900650024","13.4508495330811","15.2247400283813","15.5080995559692","14.9909696578979","18.1217594146729","16.4461708068848","15.2589797973633","13.9300699234009","12.3068895339966","11.6071195602417","12.7174196243286","12.1120796203613","12.164529800415","11.1556901931763","10.3711204528809","10.8478002548218","",
"Costa Rica","CRI","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","11.5062198638916","12.332200050354","6.57896995544434","2.43341994285584","3.17093992233276","7.56920003890991","8.74715042114258","8.46407985687256","8.67230987548828","8.77929019927979","8.61098957061768","8.51451015472412","8.20586013793945","","","11.8216896057129","10.9949398040771","11.5570602416992","12.0370798110962","12.2412900924683","","11.7714500427246","10.7140598297119","9.21772003173828","9.85690975189209","10.6327600479126","12.8324098587036","","","10.11559009552","9.04069995880127","9.47334003448486","8.52665042877197","","8.00119018554688","8.31363964080811","8.40550994873047","8.82985019683838","8.17905044555664","5.88355016708374","6.55925989151001","6.40163993835449","6.12615013122559","5.85426998138428","4.83773994445801","3.62157988548279","3.85234999656677","",
