"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51","83","133","232","325","316","150","98","78","55","94","","","","","25","","","",
"Afghanistan","AFG","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","878476","","","","","","","","","","","","","","","","","","","1055708","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","339353","377143","","","","","","","","","","","","","","","562734","","","","","","","","","","583484","628038","665077","720643","","","","","","",
"Albania","ALB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5501","6353","7519","","9937","9917","","","","13050","17940","16046","14037","9978","5643","3535","4219","3861","",
"Andorra","AND","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","5962825","6123022","6128022","6148307","6234899","6168023","6113657","6133529","6181994","6024924","5945925","5980626","5998447","5994959","5930176","5958328","5905941","5831955","5819061","5965777","5765702","5835193","6598619","6621872","6205643","6561916","6094286","6078141","5961001","5684714","5425963","5087547","4813368","4526116","4372867","4372553","4307976","3976702","3773751","3691552","3473763","3653403","3505540","3814056","4072604","4067084","4133928","",
"United Arab Emirates","ARE","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","7194","","10639","13896","13069","17728","19633","21550","22550","15677","13991","10158","6285","5697","10267","12833","15330","15535","19378","24905","24585","","","","","","","","","8441","","16837","11484","13470","7827","7956","6799","6544","7541","",
"Argentina","ARG","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","63661","","","","49843","53942","","","","","","","","","","","","","","","","83608","","","","","","","","4292","","","","14099","28809","22803","17505","13007","17187","17769","33900","31944","31562","24730","11312","9213","","",
"Armenia","ARM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9730","10537","","6449","3807","845","","","","","","","","4685","5429","",
"American Samoa","ASM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","959","903","1022","1291","1314","1331","","1353","1083","","",
"Australia","AUS","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","27193","","34924","39165","20895","14428","","","","","2231","10154","18807","31157","28339","22216","17538","12499","11962","15941","20606","22604","26068","28319","45760","41121","43284","40697","41246","39473","40418","40123","34009","31375","28125","27681","22228","21913","22797","21940","16993","18869","21079","24582","24902","29483","",
"Austria","AUT","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8780","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11600","10477","14909","46304","24923","9526","39833","44900","27548","42620","51837","53444","62179","52689","53963","53323","43150","40596","36907","38153","33050","27846","18916","13797","16946","15120","",
"Burundi","BDI","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","250881","","","","","261849","","261611","258372","255688","244240","236610","230246","228807","219344","215557","","","","","260913","","","","","","","369752","328344","337493","317275","300911","282361","168737","123067","53143","57307","20399","","","","","","","",
"Belgium","BEL","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","15363","","8580","6271","9903","10193","20181","21920","22787","17518","11608","6853","","","7219","12757","7103","9591","9818","8279","","","2770","2296","2499","3373","7160","12273","13625","12729","8967","6816","7202","7963","7522","6643","6605","7346","6164","","",
"Benin","BEN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","222597","227773","238281","","255703","262661","296299","","290085","285448","284325","281208","276360","266790","","","","","","","","","142666","","114582","","","78008","","","","","","",
"Burkina Faso","BFA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","393490","399425","","","","","442517","452711","462512","469949","475804","481336","488702","499721","507583","513775","524553","540386","556506","","579038","592707","603560","613006","618482","","","633806","644300","649066","654131","676953","673131","668033","636175","611605","568163","509508","483694","545535","493970","487194","484339","480995","469933","390999","",
"Bangladesh","BGD","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","3097767","","","2601280","","","","2587488","2640196","","","2609787","","3079750","2991469","3215343","3366882","3528131","2653321","2682785","2424942","","","","","","","","","","","","","","","166699","87980","","504308","199325","1364","","","","","","","",
"Bulgaria","BGR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15220","11956","8049","6357","6898","6430","7013","5880","4488","5841","4545","840","272","314","308","304","2621","4477","5061","6910","9450","",
"Bahrain","BHR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","5982","5319","5033","5119","4639","5239","5468","5768","5392","4786","4802","5249","4501","3466","2111","1027","1012","557","328","","","610","370","315","22","","","","62","67","909","1365","1660","1977","3208","2183","","","","","3338","3129","2829","1872","797","676","",
"Bahamas, The","BHS","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1939","1788","","","","","","1633","","","","","848","60","265","","59","166","","","","","","","1301","",
"Bosnia and Herzegovina","BIH","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45687","","","","","","","","","","","","","","14005","14606","15319","9806","10449","11712","8475","6747","",
"Belize","BLZ","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","202","794","1327","","1127","821","1074","874","927","899","708","432","688","45","313","346","287","312","",
"Bermuda","BMU","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","591","644","","","","","182","139","","","","","","","","","","","","","","","","","","","","","","","","","","277","438","","","","","",
"Bolivia","BOL","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33043","31465","26627","24287","23096","18781","18716","19177","19565","21855","34261","14980","31081","46217","70508","75619","77786","73455","65735","",
"Brazil","BRA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","450481","188412","","428212","138568","158529","","281299","145720","455495","347245","326234","","",
"Barbados","BRB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","2736","2408","2035","","","282","","","","","741","1062","1005","","","","","","26","410","","1332","","","","","","","367","531","662","979","1014","1181","1113","913","481","323","590","458","663","","","827","716","616","",
"Brunei Darussalam","BRN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","1444","1446","2792","2931","3420","3754","3650","3603","","3213","","","","","1860","1414","793","848","334","","","","","","","","","","","","","","591","","","725","442","742","883","656","",
"Bhutan","BTN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","26890","27050","","","","","","","","","","","","","","","","","","","27742","27317","25535","23545","","","","15889","13540","","10014","7465","6171","5753","4925","5647","","7062","8026","",
"Botswana","BWA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","36955","39907","39561","39077","36635","31778","28572","25489","25433","24684","21268","17035","","14927","15670","14617","14917","14668","14538","14953","15764","13429","15270","16630","16737","29019","27388","","21537","22621","20919","18714","18875","18804","19984","19173","18344","19470","20157","19497","","","9849","9122","16185","","","",
"Central African Republic","CAF","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","90397","90068","89040","","","","100329","103683","","","105147","106914","111677","","","106589","128886","136076","139321","127046","137627","","","","","","","","","","","","","","193564","196568","179259","154380","157118","151357","157034","147241","","","","","",
"Canada","CAN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","48751","53526","60214","60400","56173","56436","56668","61154","49176","27388","30521","53957","65378","75240","65078","","19044","2642","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","229002","131739","149785","144606","142664","149391","147924","150035","154025","146587","126456","113929","108843","100024","105056","105163","118275","126780","132459","135500","",
"Switzerland","CHE","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","69294","66882","","","59507","57544","55853","54902","53545","51311","47379","42835","38497","34879","33415","33983","35956","38408","26737","22220","","","750","746","601","539","465","2165","4242","5206","4744","2807","1714","1591","1104","891","251","278","324","422","",
