"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","School enrollment, secondary (% net)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.8152084350586","76.8317489624023","72.4127426147461","76.807502746582","72.3600692749023","73.4449081420898","75.1247100830078","","80.5276184082031","74.4824905395508","77.7243194580078","","76.9463424682617","","","","","","",
"Afghanistan","AFG","School enrollment, secondary (% net)","SE.SEC.NENR","","","","","","","","","","","","","","","8.43881988525391","","","","","","","","","","","","","","","","","","","15.2979402542114","","","","","","","","","","","","","","27.3754596710205","","","","","","47.504451751709","47.3128204345703","47.3732109069824","","49.5558815002441",
"Angola","AGO","School enrollment, secondary (% net)","SE.SEC.NENR","","","","","","","","","","","","","3.97480988502502","","","","","","","","","","6.56522989273071","","","","","","","","","","","","","","","","","","","","","","","","","","9.24374961853027","9.72161960601807","11.3897304534912","","","","","","","",
"Albania","ALB","School enrollment, secondary (% net)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.0214080810547","68.757682800293","","","","","","","","","","","","83.9782409667969","85.1919403076172","85.9042663574219","85.8180618286133","",
"Andorra","AND","School enrollment, secondary (% net)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","School enrollment, secondary (% net)","SE.SEC.NENR","","","","","","","","","","","21.1355800628662","21.0642395019531","21.5397701263428","22.8359298706055","23.3066596984863","24.5769596099854","26.0337200164795","27.8883895874023","29.6831398010254","31.0930309295654","32.1903114318848","32.6473197937012","34.1114082336426","35.2330093383789","36.4682006835938","37.8881683349609","39.6552886962891","40.7603302001953","41.2472114562988","41.9158592224121","44.3769798278809","44.5233917236328","43.5754890441895","44.1819190979004","45.9707908630371","46.1063194274902","46.2451591491699","47.4921607971191","48.9237594604492","50.3916816711426","51.6724586486816","52.8647689819336","53.646068572998","55.3499412536621","57.1455001831055","57.2528915405273","57.1705589294434","57.0786590576172","58.2998313903809","60.5385398864746","61.0162582397461","62.7745704650879","62.9125900268555","61.242431640625","61.5722198486328","61.9062995910645","62.3063583374023","",
"United Arab Emirates","ARE","School enrollment, secondary (% net)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","26.2026500701904","","36.5418891906738","","","","","","","","","","","56.8327102661133","59.2649192810059","63.1063995361328","68.220100402832","71.7823333740234","","69.4775619506836","69.1815872192383","","","","","","","","","","","","","","","","","","87.4894180297852","",
"Argentina","ARG","School enrollment, secondary (% net)","SE.SEC.NENR","","","","","","","","","","","","","","","40.2371482849121","41.7266387939453","","","","","","","","","","","","","","","","","","","","","","","74.56640625","76.6034927368164","78.9679336547852","79.4539337158203","79.3617935180664","79.1676635742188","79.3592987060547","78.9812316894531","79.1094207763672","79.2007827758789","80.3495864868164","82.4092864990234","83.9965286254883","85.2245483398438","87.3211669921875","88.1616973876953","88.2463607788086","88.5467910766602","","",
"Armenia","ARM","School enrollment, secondary (% net)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.5327987670898","88.9270629882813","91.6313018798828","86.1051788330078","92.3204803466797","","","","","","","","",
"American Samoa","ASM","School enrollment, secondary (% net)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
