"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Progression to secondary school, female (%)","SE.SEC.PROG.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","98.8669281005859","100","100","","","","","97.2705535888672","","","","","","","","","",
"Afghanistan","AFG","Progression to secondary school, female (%)","SE.SEC.PROG.FE.ZS","","","","","","","","","","","","","","66.8109664916992","","","100","93.1511764526367","","","","","","","84.2431793212891","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Progression to secondary school, female (%)","SE.SEC.PROG.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.3557510375977","","","","","","","","","",
"Albania","ALB","Progression to secondary school, female (%)","SE.SEC.PROG.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","97.5952529907227","","","","","","97.791862487793","98.3614501953125","100","98.3345489501953","99.2768630981445","99.472900390625","99.4829330444336","99.8371429443359","99.111442565918","97.8263168334961","","",
"Andorra","AND","Progression to secondary school, female (%)","SE.SEC.PROG.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Progression to secondary school, female (%)","SE.SEC.PROG.FE.ZS","","","","","","","","","","","","","","74.0167388916016","75.7744216918945","78.996208190918","76.5073318481445","78.7293701171875","72.4968414306641","77.9373474121094","79.2442932128906","80.2378768920898","82.3154296875","82.9245834350586","81.3270492553711","83.5617904663086","83.4328308105469","83.5378875732422","83.6698532104492","85.2819671630859","84.1393127441406","86.712028503418","87.1220474243164","87.681037902832","87.8947296142578","88.0372085571289","88.7043380737305","88.9203109741211","89.1317901611328","90.2709579467773","90.3956069946289","91.0035781860352","91.3940734863281","91.5592422485352","91.0086135864258","90.1532363891602","90.1679229736328","90.0106201171875","89.8359985351563","89.7334671020508","89.3036422729492","88.7611389160156","85.6268615722656","85.8523788452148","86.302490234375","85.8897933959961","","",
"United Arab Emirates","ARE","Progression to secondary school, female (%)","SE.SEC.PROG.FE.ZS","","","","","","","","","","","","","","100","95.7974090576172","99.5578536987305","98.3606567382813","94.8609085083008","","95.4098434448242","","","97.2237167358398","95.9377593994141","95.5154266357422","97.5682983398438","96.0417861938477","98.1525497436523","98.9819717407227","98.4207229614258","98.9500885009766","95.1320114135742","97.8947372436523","100","99.7262878417969","","98.4475631713867","","","98.9561309814453","99.8873977661133","100","99.5038223266602","97.344596862793","99.4208221435547","99.7430572509766","99.2380905151367","","","100","100","99.9823303222656","98.7034683227539","99.8593368530273","","","","",
"Argentina","ARG","Progression to secondary school, female (%)","SE.SEC.PROG.FE.ZS","","","","","","","","","","","33.9758682250977","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.0041809082031","99.9661865234375","100","99.5631713867188","98.9736709594727","100","100","100","100","100","100","100","100","100","100","100","100","","","",
"Armenia","ARM","Progression to secondary school, female (%)","SE.SEC.PROG.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.2041625976563","97.258186340332","100","98.9747695922852","100","98.4236373901367","","","","97.865592956543","","97.1536331176758","99.7943267822266","98.8184814453125","","",
"American Samoa","ASM","Progression to secondary school, female (%)","SE.SEC.PROG.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
