"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.5910301208496","13.0628204345703","12.1941299438477","13.7849397659302","","11.4137401580811","12.2112998962402","","","","","","","17.9988708496094","17.270149230957","16.52121925354","","","",
"Afghanistan","AFG","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.72953987121582","10.0882902145386","7.11967992782593","9.30506038665771","9.87240982055664","8.29423046112061","","",
"Angola","AGO","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.9817199707031","","",
"Andorra","AND","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.78159999847412","","7.97077989578247","7.43948984146118","9.72858047485352","9.91763973236084","","15.706919670105","17.0841102600098","17.8004608154297","","15.5636100769043","13.0227403640747","13.4570903778076","12.8240900039673","",
"Arab World","ARB","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.48461008071899","6.09673976898193","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.0050897598267","12.4855003356934","12.3609600067139","13.8027296066284","10.7655096054077","10.499400138855","9.88177967071533","10.4218502044678","11.5965003967285","12.7118101119995","13.7351598739624","14.8021802902222","13.6881198883057","14.2368898391724","14.622540473938","14.4376602172852","14.465539932251","15.9774303436279","","",
"Armenia","ARM","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.7776403427124","10.9654502868652","","10.961669921875","11.1999397277832","",
"American Samoa","ASM","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.69338035583496","","","","","","","","",
"Australia","AUS","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.6362400054932","","","","","16.7369499206543","","","","","17.9110698699951","17.6962795257568","17.2726192474365","17.6277408599854","19.9335899353027","22.3994102478027","20.0569095611572","18.230619430542","18.7547206878662","18.3283004760742","","","",
"Austria","AUT","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.5156192779541","24.354419708252","22.4759292602539","22.4457702636719","22.8631591796875","22.6062297821045","22.0171909332275","22.612340927124","22.5859508514404","22.1688899993896","23.1576690673828","25.1291198730469","24.9017105102539","24.5821094512939","21.8884391784668","23.4361591339111","23.1781005859375","","","",
"Azerbaijan","AZE","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burundi","BDI","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.9839000701904","9.07707977294922","10.1646404266357","10.627329826355","","14.0692195892334","13.4052696228027","","","13.7779302597046","16.4289398193359","","13.11256980896","12.0490102767944","11.6486701965332","","","","",
"Belgium","BEL","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.7547798156738","17.9258804321289","19.2408008575439","19.2426490783691","19.3158798217773","19.8260192871094","19.9446201324463","21.8436794281006","21.5398998260498","22.4377002716064","22.3422393798828","","22.6850605010986","22.2086391448975","","","",
"Benin","BEN","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.9277801513672","12.0069704055786","10.0823802947998","10.0067195892334","10.5472097396851","10.1073703765869","11.2851696014404","","11.5331497192383","12.377010345459","13.6695203781128","","10.7691602706909","10.5291700363159","9.60848999023438","9.15594005584717","","",
"Burkina Faso","BFA","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.3232498168945","29.6138000488281","19.5628299713135","","","18.1139602661133","16.9350204467773","16.3653202056885","18.1788902282715","20.1982402801514","15.9679298400879","","",
"Bangladesh","BGD","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.82219982147217","8.92625045776367","8.42292976379395","7.68670988082886","","8.29806995391846","","","","","9.30803966522217","",
"Bulgaria","BGR","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.5262699127197","","","15.1017799377441","15.2951898574829","17.7486896514893","11.1220798492432","22.0614490509033","21.4510593414307","20.3928604125977","22.610050201416","22.5443992614746","20.966609954834","18.3742809295654","18.2675590515137","22.3601608276367","","","","",
"Bahrain","BHR","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.4805898666382","10.3231897354126","11.163649559021","","",
"Bahamas, The","BHS","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belize","BLZ","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.8761501312256","15.6772003173828","","","","12.4135704040527","13.6945495605469","14.0979099273682","","15.4490900039673","16.0617904663086","18.1808300018311","","14.9874000549316","15.9469003677368","16.2205104827881","14.9169301986694","","",
"Bermuda","BMU","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.4073600769043","10.9219598770142","","","","","11.9679899215698","","","","8.46154022216797","8.18712997436523","","",
"Bolivia","BOL","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.4510202407837","14.2606401443481","12.6403999328613","","15.7689599990845","16.5964508056641","","","13.6284503936768","","18.4102592468262","21.7358303070068","20.7914600372314","17.1480598449707","23.3655796051025","16.2775001525879","23.4822006225586","","","",
"Brazil","BRA","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.6530199050903","10.5762901306152","10.3933696746826","9.83248996734619","","12.7403202056885","15.2608995437622","","17.0012702941895","18.2203598022461","19.7558708190918","20.6138000488281","20.2488098144531","20.793399810791","19.7973899841309","19.5898303985596","","","",
"Barbados","BRB","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.4975204467773","14.0395202636719","19.3449802398682","17.7126998901367","19.3174896240234","19.6866703033447","19.0257396697998","","","22.6557006835938","","","","","","","","20.6711692810059","",
"Brunei Darussalam","BRN","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.01712989807129","","","","","","8.92988967895508","",
"Bhutan","BTN","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.24470043182373","10.3921098709106","","","7.37272977828979","9.11013031005859","7.90754985809326","9.66590023040771","","8.30552005767822","13.8391599655151","","","",
"Botswana","BWA","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.8477802276611","","13.9044599533081","","10.2114295959473","","","","","","","","",
"Central African Republic","CAF","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.44687986373901","5.43966007232666","","4.57441997528076","4.48149013519287","","","","","","","",
"Canada","CAN","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
