"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","42.3062976","42.7869478","43.2866131","43.7245901","44.130957","44.4819076","131.6337457","135.0553194","358.990001","409.505485","424.783771","519.001013","564.023574","530.385687","571.038292","642.147964","435.85886","616.928696","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","14306.6163","14391.7782","13040.848","13535.7541","14945.9682","14574.164","14746.851","15247.281","15112.318","14923.075","15691.266","15810.335","15615.333","15322.53","14278.7921","13545.7369","12269.4624","12400.5073","12959.2948","12348.957","12528.0165","12307.0638","11370.4531","11390.8748","11290.6882","11635.6594","12505.9308","13343.25","13793.367","14812.366","13530.953","12585.402","13842.7381","14709.884","14654.374","14770.2643","14849.1594","15272.633","15288.7756","15554.4294997907","17791.3299018728","17981.3072867677","18168.86","","","","","",
"Angola","AGO","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","60648.60108","39162.17143","42205.6507","44252.66912","40179.2335","44429.30003","38448.02409","43563.41218","46235.11458","56644.65197","48001.86616","41894.79496","45243.80208","44852.06032","35878.30078","36714.19083","35982.41365","46721.25774","35736.7658","39342.98618","50806.5426914","43761.081269","64997.83986","39775.10719","44657.243349","48230.298638","47136.215785","33091.22462","35275.1251","36119.4252","34780.6811","34371.8411","34490.369","35858.015","36860.2334","35855.7384","36375.822","36690.534","37396.294","38309.4651264052","40029.3921005695","40878.6519582578","41657.1648460299","","","","","",
"Albania","ALB","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","6960.8682","6950.0361","7613.2661","7348.4921","7632.6643","7873.037","8470.9784","8948.9809","9996.0562","11248.3583","11433.5842","10520.3625","10730.5261","11567.5737","12215.2375","11821.5831","12079.105","12175.4832","12603.8867","12552.7369","11112.72956","8273.6324","6227.1532","6067.1799","6793.7963","6421.5713","6187.3841","5500.607","5246.1311","6493.4872","8389.2767","6820.6244","7503.05976","7834.0157","7401.10155","8308.3856","8027.14955","9879.3935","8136.785","8108.81238694848","8506.99603431525","8712.29636455369","8898.64091140274","","","","","",
"Andorra","AND","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","552362.062026","576946.152269","625015.943839","699280.217253","679448.005841","683966.235399","775863.729505","799971.0408","827155.739","883707.02879","927714.23694","838921.40287","888519.74506","902705.57708","888825.86564","740597.16293","769537.09992","774812.32342","803738.85509","841210.94186","803898.9680917","844941.021556","842557.509374","888560.00532","920110.69303","1229230.39782","1258068.56858","1268677.80157","1743814.20998","1790897.01402","1850378.15901","1787026.04210762","1927544.1554865","1963193.01545","1660586.94882","1767878.64478","1731288.79166","2355481.34745","2364088.66275","2387502.01095604","1924244.97278668","2483349.10406116","1908696.04241466","","","","","",
"United Arab Emirates","ARE","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","32962.18941","41377.84513","44905.46275","56875.50782","57411.52655","57798.60342","70352.6192","69646.4002","78630.0426","57226.4289","60172.9218","53924.8253","52758.6888","50999.3789","66620.7794","67746.709","64880.31","62290.0822","64750.9019","71801.913","72498.5763","80008.30573","78759.69917","81325.7913","88014.56243","93904.01287","103034.6521","101901.38443","104993.2009","107207.9329","115420.5144","115018.8197","126800.2057","134091.6856","139999.4635","143367.6627","151837.32","167986.4324","181388.5363","182422.169198051","193127.157628676","199342.522558574","204888.718962496","","","","","",
"Argentina","ARG","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","221957.023","213551.78842","223912.27884","226956.0333","229456.38","233416.77","247051.66","247370.86","248238.32","255920.06","253870.99","245776.76","243613.02","248681.79","243111.57","238145.75","250785.28","256953.81","266245.22","265608.3","266555.03","267188.7341","272139.1851","276522.7527","270948.3575","275096.4092","288246.2679","299708.76","311514.7","333886.59","331450.87","326483.81","311051.93","344797.06","369944.11","358385.64","373600.56","384547.75","411503.63","373409.065636756","364684.253845885","372873.14375805","380295.320368897","","","","","",
"Armenia","ARM","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","6245.9877","6383.672","6750.8237","7371.7577","7983.8753","11627.038","11929.3886","12413.3746","12915.3444","13468.8879","14508.3336","15064.5702","15764.9062","15928.7094","15993.2273","16261.8193","16485.7384","16465.0412","17613.5979","17459.8322","24729.9166","25425.6997","14512.5941","8362.9081","6107.5421","6710.3697","5992.235","6719.5874","6737.042","6389.0077","6867.7102","6896.4518","6460.2393","6973.88104","7633.471","8401.8162","8743.5088","9323.71758","12469.983","11235.0892664869","11393.0393525219","12417.7361164488","12319.3896093062","","","","","",
"American Samoa","ASM","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","13.0733582","13.2473257","13.448115","13.6753294","13.9088347","14.192873","14.3835222","14.6498031","14.7537624","14.9500365","15.4709087","16.5597081","16.0547171","16.7070476","17.3836372","18.0264089","18.6707899","19.3524242","20.0081174","20.7495349","20.3813783","20.9670057","21.5104445","21.9988903","22.4541277","22.8843444","23.263078","23.6153334","23.9290422","31.135678","47.656033","50.883203","51.34821","51.838339","52.320385","52.801179","53.30204","53.913983","54.616323","54.9893494063012","56.6374866017899","57.7435092847854","58.7655192902151","","","","","",
