"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","1.8261976","1.8269478","1.8448131","1.8220901","1.821157","1.8296076","2.6258457","2.7775194","5.303201","6.067785","6.170271","7.047013","7.624574","7.290487","7.828492","8.650364","6.47466","8.943996","11.000443","11.871481","11.823462","11.862274","12.133462","12.684115","13.239976","13.292831","8.335714","38.4276","6.535978","5.815693","5.468121","5.173776","5.335968","5.007275","5.0127","5.168971","5.765411","5.727219","5.884513","6.123027","6.361541","6.42515641","6.48877182","","","","","",
"Afghanistan","AFG","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","3042.2563","3006.1382","2530.158","2674.4041","2937.3182","3153.723","3265.633","3268.981","3272.918","3214.545","3275.026","3256.705","3327.323","3188.66","3062.1521","2862.5369","2516.9024","2677.1073","2772.0448","2771.307","2748.1965","2755.8938","2719.0131","2766.6508","2594.4272","2735.1424","2948.8068","3177.996","3332.996","3600.557","3316.566","3058.894","3374.66","3337.088","3352.371","3411.736","3426.12","3470.357","3497.234","3341.149","3356.556","3390.12156","3423.68712","","","","","",
"Angola","AGO","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","28392.652","15844.224","16758.848","17638.938","14997.738","17645.913","14751.908","16804.108","17304.324","23134.711","17712.687","14191.366","16174.529","15584.475","10110.247","9936.771","9368.448","15491.723","8688.463","10695.651","17723.258","13369.556","25484.356","10787.504","14052.827","14652.46","11602.215","2731.9742","2858.6061","2824.6952","2996.2771","3065.8411","3152.7","3232.06","3063.0604","3047.5914","3409.907","3150.716","3283.396","3478.789","3569.867","3605.56567","3641.26434","","","","","",
"Albania","ALB","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","741.8982","756.0311","756.8061","803.6471","819.4943","818.462","925.2384","1007.1559","1207.7662","1229.9033","1239.9442","1287.8175","1254.6661","1481.1087","1463.5875","1467.6981","1542.715","1487.7582","1544.5967","1694.6119","1560.1153","1006.2941","1012.3639","933.5929","1069.5713","982.3063","900.8941","848.842","930.3255","925.8429","1263.4267","927.0054","989.2038","954.862","1029.1597","1026.2116","1075.7496","1070.3835","1109.7473","1139.56","1123.5733","1134.809033","1146.044766","","","","","",
"Andorra","AND","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","0.023777","0.023372791","0.022968582","0.022564373","0.022160164","0.021755955","0.021351746","0.020947537","0.020543328","0.020139119","0.01973491","0.019330701","0.018926492","0.018522283","0.018118074","0.017713865","0.017309656","0.016905447","0.016501238","0.016097029","0.01569282","0.01569282","0.01569282","0.01569282","0.01569282","0.01569282","0.01569282","0.01569282","0.01569282","0.01569282","0.01569282","0.01569282","0.01569282","0.01569282","0.01569282","0.01569282","0.01569282","0.01569282","0.01569282","0.01569282","0.01569282","0.01569282","0.01569282","","","","","",
"Arab World","ARB","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","53859.364226","54223.315169","55425.760839","57593.559653","52106.468141","55904.235299","57842.976105","63031.6831","60426.4369","65268.32039","77900.41894","74347.20297","82507.25516","81393.39788","82006.79054","80549.90183","82842.42282","85197.96402","85476.84219","88559.34796","96302.95142","87142.83086","97856.16085","100016.82644","101413.8402","107105.15314","104679.91898","105426.96969","106313.14003","110649.90332","109651.98666","106760.39253","110307.91349","107604.26554","110461.41774","116129.85051","138022.22566","194049.22161","162242.69864","162169.81485","158165.28197","159818.7955642","161472.3091584","","","","","",
"United Arab Emirates","ARE","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","183.08941","220.04513","238.86275","295.15782","306.12655","303.45342","338.6192","347.9502","400.0426","350.9789","439.8218","445.9753","472.5888","498.2289","804.6794","824.259","883.81","937.6322","978.2019","1081.063","1052.6763","1134.9224","1178.2325","1270.1413","1278.6291","1428.7962","1416.0521","1477.4011","1437.9009","1499.0329","1507.9144","1161.2197","1260.6057","1347.1856","1370.4635","1392.2627","1404.92","1448.3324","1414.1363","1845.0642","2365.672","2389.32872","2412.98544","","","","","",
"Argentina","ARG","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","32317.19","30727.634","32740.34","32966.95","33176.2","34420.23","36270","35827.01","36047.42","36583.72","36149.72","35149.97","35116.49","35544.91","35504.3","35305.28","35461.83","36097.33","36817.15","35704.56","38519.05","37821.55","38948.71","39008.85","37955.16","38514.71","39843.37","39285.06","40126.4","41908.59","42109.47","44782.91","44284.43","49056.26","47979.01","50032.14","51185.96","53085.95","54092.83","44661.7","52060.16","52580.7616","53101.3632","","","","","",
"Armenia","ARM","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","527.8277","558.372","581.0237","604.7077","629.8053","666.128","664.0386","681.5846","694.7844","706.8279","729.2936","734.2102","744.3162","774.9194","789.2073","807.5593","812.7084","821.6612","807.5779","780.1522","805.0886","780.0437","649.7631","558.9951","489.6481","468.1837","485.398","472.3594","470.2142","448.7622","461.6861","467.8923","477.9983","472.0897","587.884","583.4603","627.7748","662.439","731.3489","844.7128","985.8341","1004.32176108158","1022.80942216316","","","","","",
"American Samoa","ASM","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","0.7691782","0.7553057","0.750665","0.7584894","0.7549647","0.816013","0.8220022","0.8559131","0.8382524","0.8894365","1.0833787","1.7253081","0.8330971","0.8797676","0.9167072","0.9433889","0.9756599","1.0024842","1.0262674","1.0874149","0.9076583","0.9137157","0.9296745","0.9312803","0.9419877","0.9598344","0.962178","0.9731334","0.9813422","6.954478","20.870533","23.216303","23.21931","23.221139","23.216985","23.216179","23.21714","23.218783","23.220023","23.221418","23.22365","23.4558865","23.688123","","","","","",
