"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","10.7","","","","","","","","","","","","26.11","","","","","","","","","","","","","20.28","","","","","","","","","","","","","","","","","",
"Angola","AGO","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.48","","","","","","","","","","","","","0.6404","","","","","0.7057","","","","","","","","","","","","",
"Albania","ALB","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2","","","","","","","","","","1.838","","","","","","1.311","","","","","","","","","","","",
"Andorra","AND","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","0.9","","","","","","","","","","","","","","","1.723","","","","","2.334","","","","","2.8","","","","","","","","","","","","",
"Argentina","ARG","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","27.6","","","","","","","","","","","","","","","","","","","28.58","","","","","","","","","","","","","","","","37.69","","","","","","",
"Armenia","ARM","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.925","","","","","","","1.733","","","","","2.858","","","","","2.941","","","3.272","","",
"American Samoa","ASM","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0017","","","","","","","","","","","","","","","0.0051","","","","","","","0.0044","","","","","",
"Australia","AUS","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.03","","","","","21.5","","","","18.51","","","","","","","15.45","","","16.76","","",
"Austria","AUT","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","3.34","","","","","3.578","","","","","3.805","","","","","","","3.642","","","","","3.666","","","","","","","","3.492","","","","","","","",
"Azerbaijan","AZE","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.51","","","","","10.07","","","12.21","","","","","","","11.97","","","","","",
"Burundi","BDI","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","","","","","","","","","","","","","0.288","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","9.03","","","","","","","","","","","","","","","","","7.69","","","","","6.735","","","","","6.214","","6.002","","","","","","","","",
"Benin","BEN","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","0.11","","","","","","","","","","","","","","","","0.13","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","0.29","","","","","","","0.376","","","","","","","","","0.7157","","","","0.818","","","","","","","","","","","","",
