"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Grants, excluding technical cooperation (BoP, current US$)","BX.GRT.EXTA.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","9940000","9800000","7340000","15310000","13890000","25100000","28920000","25310000","20900000","28900000","27760000","32080000","18140000","40000","19950000","5370000","16860000","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Grants, excluding technical cooperation (BoP, current US$)","BX.GRT.EXTA.CD.WD","14350000","32730000","16080000","34470000","39890000","36900000","16030000","6710000","9980000","4940000","6210000","6320000","22890000","14040000","23150000","21740000","14630000","20150000","27630000","38910000","6120000","-1440000","2330000","7540000","2360000","4700000","5590000","27580000","36790000","95610000","81680000","428420000","105210000","125660000","173660000","166440000","126240000","200370000","137370000","116370000","120420000","394850000","1037270000","1126570000","1683040000","1660610000","2014760000","4327230000","4038970000","5152990000","5597150000","5952440000","5720170000","4332480000","4339970000","3820440000","3640540000","",
"Angola","AGO","Grants, excluding technical cooperation (BoP, current US$)","BX.GRT.EXTA.CD.WD","0","1870000","","10000","","","","0","0","20000","20000","10000","30000","80000","280000","4560000","11920000","12990000","34900000","29210000","32020000","37560000","31780000","33050000","53640000","44330000","57460000","65370000","97200000","103470000","192090000","188780000","185730000","169810000","300660000","327800000","275510000","242020000","216040000","261120000","206040000","213430000","335560000","412470000","364870000","303260000","294650000","314280000","279980000","173630000","201610000","168930000","177070000","186800000","166820000","139770000","167980000","",
"Albania","ALB","Grants, excluding technical cooperation (BoP, current US$)","BX.GRT.EXTA.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","39999.9999999991","1880000","328150000","353660000","189610000","68450000","77070000","113670000","77750000","127440000","280640000","161500000","137320000","106090000","112470000","111310000","150230000","150360000","147830000","193080000","172980000","161950000","166440000","148470000","144240000","168370000","113400000","137270000","",
"Andorra","AND","Grants, excluding technical cooperation (BoP, current US$)","BX.GRT.EXTA.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Grants, excluding technical cooperation (BoP, current US$)","BX.GRT.EXTA.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Grants, excluding technical cooperation (BoP, current US$)","BX.GRT.EXTA.CD.WD","","","","","330000","","","1520000","1120000","850000","5450000","5770000","4430000","510000","0","1000000","0","32800000","0","20000","0","130000","0","0","40000","1030000","30000.0000000002","1440000","0","0","30000.0000000002","3770000","120000","0","80000.0000000001","170000","9999.99999999979","690000","450000","0","170000","280000","360000","450000","950000","","","","","","","","","","","","","",
"Argentina","ARG","Grants, excluding technical cooperation (BoP, current US$)","BX.GRT.EXTA.CD.WD","1060000","1020000","2020000","5480000","4990000","7360000","2780000","3060000","15510000","-910000","-2930000","40000.0000000009","49999.9999999989","150000","19999.9999999996","0","129999.999999999","770000.000000003","1780000","-1450000","1950000","610000.000000003","1580000","2280000","5290000","5610000","3120000","4940000","20830000","53550000","20690000","42340000","27430000","32650000","16850000","36680000","27730000","37030000","44790000","31330000","38190000","33170000","60600000","41550000","32890000","25230000","42980000","61550000","65650000","62290000","36520000","68830000","40230000","33880000","31190000","32150000","35200000","",
"Armenia","ARM","Grants, excluding technical cooperation (BoP, current US$)","BX.GRT.EXTA.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2710000","18690000","96810000","171030000","90860000","56610000","34620000","53570000","47250000","61390000","43490000","72190000","55840000","65620000","66100000","58260000","128710000","134090000","137160000","159090000","240400000","133290000","128170000","116140000","150110000","173430000","",
"American Samoa","ASM","Grants, excluding technical cooperation (BoP, current US$)","BX.GRT.EXTA.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
