"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","969197000","2012885000","2133805000","2469925000","2425336000","2617442000","2719003000","2576828000","2580265000","2487497000","2403867000","",
"Angola","AGO","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7288778000","8591892000","9000343000","10059205000","10571380000","11292746000","11502046000","10545818000","9948271000","10784070000","10673235000","9763470000","8776913000","9109540000","9099853000","9786023000","12223964000","9890494000","11931682000","15501573000","17014272000","16949092000","19298252000","21106468000","25003929000","28902789000","27991041000","35364607000","",
"Albania","ALB","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","511485000","632621000","786034000","883115000","458860000","491993000","516477000","623593000","773092000","1122377000","1154928000","1181526000","1552159000","1606136000","2101163000","2465359000","2897759000","4238095000","4587526000","5372210000","6330295000","7176164000","8821558000","8488153000","8350309000","8437141000","",
"Andorra","AND","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","5893188000","6353923000","6893777000","7374659000","7798535000","7901570000","9501618000","11675730000","13507656000","21176832000","27322462000","35809459000","43787000000","46108325000","49060797000","51156729000","52688153000","58722661000","59015257000","65538427000","62477598000","65672389000","68605634000","64681396000","75094059000","98773126000","111145506000","128251440000","141504496000","151913802000","150062927000","152649934000","148320196000","163442689000","167999631000","130788489000","118921237000","120818040000","129752181000","133695117000","126641210000","139509123000","136543043000","146568611000","145471849000","173456948000","190489683000","",
"Armenia","ARM","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","133923000","214330000","370657000","520544000","638485000","804243000","1022596000","1009643000","1401649000","1711690000","1994268000","2106357000","1968027000","2136305000","3078652000","3609420000","4932728000","6304799000","7408641000","7638570000","8679111000","8553131000","8928447000","9953091000","",
"American Samoa","ASM","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35540000","112815000","320987000","438310000","508060000","706603000","1289063000","1585213000","1515369000","1691664000","1941119000","2169228000","2247015000","2798139000","3904857000","4496965000","4569023000","7159486000","7288789000","10330561000","10065089000","11787756000","13216189000","14085341000","",
"Burundi","BDI","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","14970000","13628000","6895000","7780000","9438000","19380000","22364000","47222000","74680000","136188000","165720000","178613000","227433000","307725000","348005000","455098000","570431000","769580000","800692000","888847000","906937000","963470000","1026584000","1065650000","1127405000","1161955000","1130743000","1068958000","1121832000","1153730000","1125866000","1093541000","1232211000","1348343000","1357933000","1287890000","1371906000","1409727000","1390284000","607228000","620920000","604411000","667316000","683609000","690170000","625980000","632780000","",
"Belgium","BEL","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","43207000","51047000","47314000","90483000","108806000","119207000","141218000","212373000","283897000","453817000","474870000","543225000","758278000","798440000","762602000","902876000","1038614000","1244497000","1170206000","1070155000","1119737000","1149708000","1198998000","1270599000","1382105000","1396512000","1377637000","1411354000","1433928000","1488491000","1399689000","1470317000","1608561000","1485973000","1612808000","1551744000","648365000","883286000","974330000","1317169000","1599164000","1868559000","2059616000","2013609000","2049873000","2189758000","2323370000","",
"Burkina Faso","BFA","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","20787000","23601000","20019000","31067000","47356000","62533000","85306000","164289000","262706000","295034000","330414000","328159000","351832000","397716000","409964000","511098000","639698000","827504000","845242000","717255000","833673000","967441000","1039802000","1118916000","1135034000","1274253000","1301459000","1304481000","1462915000","1599935000","1437931000","1507802000","1554668000","1745967000","1931701000","2000596000","1131708000","1465190000","1583206000","1916662000","2148426000","2290315000","2519207000","2564597000","2542893000","2622005000","2824879000","",
"Bangladesh","BGD","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","0","0","146504000","497821000","1257485000","1680487000","1993988000","2331731000","2820090000","2967070000","3802227000","4209316000","4940332000","5346290000","5541813000","6530064000","7913830000","9737966000","10275896000","10701054000","12291773000","12997668000","13427958000","14125217000","15490544000","15734746000","15169074000","14257777000","15509849000","16452032000","15602838000","14981002000","16689962000","18442975000","19716789000","18505584000","20162643000","21574985000","23407581000","25437537000","26880728000","27276717000","28558969000","33994737000","35662409000","38688480000","41125641000","",
"Bulgaria","BGR","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","772738000","1313091000","1738593000","2583927000","3851537000","5866002000","8265581000","8943894000","10137085000","10889630000","11741677000","11838555000","12177639000","9828535000","10378825000","10368413000","11099447000","11404630000","11794855000","12008619000","11274812000","12313482000","14259736000","16620264000","18507345000","28007277000","43822452000","53065077000","55670272000","50634696000","47642116000","51299197000","51473305000","48083185000","40115311000","39656828000","",
"Bahrain","BHR","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2408827000","2791206000","2666169000","3166669000","4484509000","5517177000","7007650000","8616903000","11568598000","13108606000","15094224000","14032317000","14126330000","14556921000","15193561000","14107884000","12867426000","10957714000","",
"Belarus","BLR","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","968283000","1296123000","1693748000","1958927000","2082344000","2386479000","2703258000","2620197000","2798732000","3399006000","3779551000","4601439000","5300177000","6562104000","12526108000","15152844000","22078687000","28412148000","33932546000","33755736000","39573469000","40013831000","37934720000","37515486000","",
"Belize","BLZ","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","4085000","4339000","5070000","4826000","5274000","4827000","9166000","20670000","33313000","71829000","63043000","60228000","69804000","100640000","98759000","118126000","121871000","137195000","132277000","137218000","142753000","161782000","180961000","194553000","198666000","255158000","281537000","450096000","333460000","416579000","629902000","721981000","849529000","1061730000","964609000","1021919000","1053036000","1074411000","1274805000","1290299000","1303110000","1274029000","1195808000","1248229000","1286020000","1330547000","1344359000","",
