"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40172000","98770000","131082000","352753000","355230000","372555000","387634000","375643000","334840000","300161000","276984000","",
"Angola","AGO","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","374707000","355706000","343098000","371161000","405683000","423985000","390203000","410714000","431422000","420507000","787057000","1302262000","1605921000","1739653000","1478598000","914031000","532051000","395881000","",
"Albania","ALB","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13321000","29662000","54197000","64519000","54212000","54974000","64446000","144308000","148426000","141638000","144218000","159415000","169101000","158243000","162459000","163479000","152027000","144309000","129371000","117241000","107036000","96755000","150857000","243584000","387084000","",
"Andorra","AND","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","0","0","188912000","209914000","78362000","292780000","529318000","418468000","0","0","0","0","0","1173220000","1098430000","2312290000","2740980000","3853415000","3677793000","3099863000","3083196000","2483115000","2313851000","3519668000","4211220000","6130863000","6292571000","5868262000","5442163000","4914920000","5470438000","14376331000","14772335000","15995776000","14584968000","9967871000","478956000","503104000","490376000","3166796000","3110922000","3101307000","3104640000","3110862000","2926654000","2799230000","2715600000","",
"Armenia","ARM","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24635000","70237000","116475000","132058000","190440000","321997000","290095000","283191000","314425000","345389000","354277000","302159000","296043000","296949000","270294000","724647000","876270000","962546000","911324000","720312000","569572000","536257000","527767000","",
"American Samoa","ASM","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100873000","174971000","266787000","321228000","618052000","535896000","488207000","487640000","487460000","446885000","383128000","365276000","345671000","315790000","302558000","282351000","264679000","251858000","242453000","224367000","212815000","206457000","",
"Burundi","BDI","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","7670000","5798000","0","0","0","1405000","1406000","3952000","10259000","30473000","35690000","32712000","30871000","23778000","16037000","14542000","22117000","20546000","32468000","40133000","42625000","48863000","62414000","58243000","55668000","47798000","37641000","27523000","19667000","30902000","24850000","19644000","31706000","48958000","62271000","77748000","103348000","119858000","138003000","206685000","223366000","240747000","248682000","254214000","238349000","217600000","193649000","",
"Belgium","BEL","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","7019000","7098000","16140000","14787000","14014000","13065000","11175000","11339000","9530000","7465000","3978000","10202000","17882000","22386000","21519000","42992000","71232000","84138000","99133000","94906000","93533000","105059000","96164000","88646000","86048000","87100000","79901000","66245000","16803000","19041000","36934000","131588000","145621000","177479000","209607000","225417000","220269000","202341000","186959000","",
"Burkina Faso","BFA","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","5554000","10805000","14705000","13477000","12773000","12123000","10734000","10177000","8238000","5965000","2555000","585000","70000","9040000","8690000","20823000","47941000","75097000","81271000","92443000","112116000","133599000","124398000","128328000","139287000","138635000","129296000","116984000","49087000","52353000","68799000","200603000","217416000","232852000","301228000","303918000","282948000","282958000","286055000","",
"Bangladesh","BGD","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","0","0","67856000","75399000","164690000","202238000","275319000","253779000","299212000","344567000","424168000","464339000","547384000","565334000","462281000","519867000","538776000","840798000","839549000","718557000","625539000","726999000","732446000","682316000","669150000","621530000","516488000","372300000","421608000","382496000","277107000","207826000","134672000","143575000","303802000","375756000","547378000","574976000","758159000","1474663000","1402905000","1270812000","1212875000","1496420000","1470003000","1612750000","1546470000","",
"Bulgaria","BGR","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","413716000","589737000","631700000","940745000","716668000","585608000","941803000","1115533000","2088438000","2117878000","1877395000","1879709000","2095263000","2132017000","1533190000","1259948000","965336000","940913000","957664000","940767000","937859000","938867000","940748000","885043000","846509000","821219000","",
"Bahrain","BHR","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28212000","29984000","48263000","44610000","40882000","76794000","122018000","131478000","136784000","167058000","164352000","140554000","91232000","51121000","34735000","31549000","538527000","768608000","766232000","887905000","848018000","892126000","799975000","770391000","",
"Belarus","BLR","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","96287000","102335000","282730000","273500000","256627000","242557000","684039000","594476000","544040000","556771000","573835000","581580000","526891000","554589000","582551000","567813000","3449281000","4062846000","4050288000","3587946000","1931909000","613404000","510841000","495579000","",
"Belize","BLZ","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","3770000","4710000","10480000","11670000","11385000","7788000","3313000","421000","0","0","0","0","0","0","0","0","24560000","23315000","22488000","24328000","26590000","27790000","25576000","26920000","28277000","27562000","35421000","34796000","34689000","32017000","28463000","25925000","24796000","24055000","",
"Bermuda","BMU","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","6080000","7166000","8555000","21776000","17533000","16308000","0","0","39522000","39963000","126339000","113288000","125987000","127107000","96096000","82212000","192347000","185706000","209009000","251791000","257044000","244797000","249077000","220510000","263553000","267763000","276121000","248141000","264183000","283651000","254674000","240714000","231620000","318334000","348460000","281991000","54705000","42197000","41130000","257307000","252767000","251986000","252256000","252762000","237795000","227441000","220646000","",
"Brazil","BRA","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","550200000","2644300000","4185370000","4619300000","4501170000","3976342000","3333055000","2422470000","1820550000","1237527000","799424000","303586000","186131000","141554000","67607000","31448000","4825009000","9318883000","2235038000","8787814000","21314976000","28850329000","25586391000","512636000","539583000","566788000","552449000","4526043000","4446186000","4432444000","4437208000","4446100000","4182827000","4000711000","3881186000","",
"Barbados","BRB","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8221000","7804000","7527000","8143000","8900000","9302000","8561000","9011000","9465000","9225000","9390000","9224000","9195000","9205000","9224000","8677000","8299000","8051000","",
"Botswana","BWA","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5983000","5679000","5478000","5926000","6477000","6770000","6230000","6558000","6888000","6714000","90036000","88447000","88174000","88269000","88445000","83208000","79585000","77208000","",
