"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)","DT.DOD.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)","DT.DOD.DPPG.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","910884000","1893471000","1985367000","2096969000","1966409000","2023326000","2070650000","2097091000","1999058000","1958130000","1921469000","",
"Angola","AGO","External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)","DT.DOD.DPPG.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6676170000","7603459000","7702669000","8130426000","8691064000","9122074000","9544239000","9377297000","8681583000","9099551000","8713040000","8084842000","6982716000","7530851000","7620030000","8166054000","9518005000","7347620000","9230632000","12690426000","13634685000","15466127000","17524622000","19202848000","23349470000","27826452000","27303742000","34814732000","",
"Albania","ALB","External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)","DT.DOD.DPPG.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","86200000","126853000","178988000","247575000","332006000","406192000","413720000","506241000","583745000","921285000","970671000","995917000","1233548000","1401789000","1374639000","1577809000","1788735000","2298124000","2879096000","3214798000","3369575000","3552499000","3759276000","3665257000","3660443000","3572310000","",
"Andorra","AND","External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)","DT.DOD.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)","DT.DOD.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)","DT.DOD.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)","DT.DOD.DPPG.CD","","","","","","","","","","","1963188000","2256923000","2498865000","2938745000","3421173000","3302790000","4654300000","5266262000","6977656000","8827032000","10346062000","10722124000","16039000000","25628668000","26904137000","37538032000","41196293000","49483250000","47819544000","52113891000","47154010000","47843455000","47871498000","46139582000","50588758000","55221014000","62287156000","66984539000","77240800000","90264209000","90357824000","86641611000","90234102000","96673901000","103055437000","59419257000","63381281000","71086104000","70923517000","75796981000","69182999000","68162873000","67243059000","66229926000","73508488000","69093066000","101631467000","",
"Armenia","ARM","External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)","DT.DOD.DPPG.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","133903000","188628000","298280000","402669000","484427000","568633000","651399000","675129000","715606000","818495000","877229000","960650000","922508000","1037262000","1282416000","1445834000","2376420000","2557191000","2737780000","2957501000","3313642000","3377776000","3995404000","4469211000","",
"American Samoa","ASM","External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)","DT.DOD.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
