"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","External debt stocks, short-term (DOD, current US$)","DT.DOD.DSTC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","External debt stocks, short-term (DOD, current US$)","DT.DOD.DSTC.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18141000","20644000","17356000","20203000","103697000","221561000","260719000","104094000","246367000","229206000","205414000","",
"Angola","AGO","External debt stocks, short-term (DOD, current US$)","DT.DOD.DSTC.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","612608000","988433000","1297674000","1928779000","1880316000","2170672000","1957807000","1168521000","1266688000","1684519000","1585488000","1322922000","1451099000","1207528000","1074140000","1195984000","2315756000","2132160000","2269628000","2390640000","2592530000","180703000","167709000","163967000","175861000","162306000","155248000","153994000","",
"Albania","ALB","External debt stocks, short-term (DOD, current US$)","DT.DOD.DSTC.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","425285000","492447000","577384000","581343000","62335000","31589000","47783000","34906000","29039000","36666000","30619000","29046000","149434000","1227000","155038000","386475000","510667000","1149654000","680539000","743172000","1091790000","1469894000","2003193000","1875191000","1792800000","1892557000","",
"Andorra","AND","External debt stocks, short-term (DOD, current US$)","DT.DOD.DSTC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","External debt stocks, short-term (DOD, current US$)","DT.DOD.DSTC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","External debt stocks, short-term (DOD, current US$)","DT.DOD.DSTC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","External debt stocks, short-term (DOD, current US$)","DT.DOD.DSTC.CD","","","","","","","","","","","639000000","687000000","745000000","794000000","839000000","849000000","1020000000","2724000000","3428000000","6911000000","10383400000","12921335000","16521000000","8913437000","10718230000","6731407000","4409880000","3532996000","5717920000","8524673000","10440392000","13545819000","16176285000","8652721000","7170909000","21354822000","23497458000","31988008000","30956044000","29415210000","28325319000","20003922000","14834759000","22386270000","26548725000","35040537000","28250478000","19200770000","19439500000","19285821000","16413013000","25745592000","25251918000","36691599000","28333565000","59434245000","47340727000","",
"Armenia","ARM","External debt stocks, short-term (DOD, current US$)","DT.DOD.DSTC.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20000","1067000","2140000","1400000","22000000","45170000","49200000","44419000","41972000","220000000","404000000","410000000","297850000","306860000","500637000","520782000","529168000","655743000","903691000","842033000","1149875000","908221000","663652000","1071620000","",
"American Samoa","ASM","External debt stocks, short-term (DOD, current US$)","DT.DOD.DSTC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","External debt stocks, short-term (DOD, current US$)","DT.DOD.DSTC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","External debt stocks, short-term (DOD, current US$)","DT.DOD.DSTC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","External debt stocks, short-term (DOD, current US$)","DT.DOD.DSTC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","External debt stocks, short-term (DOD, current US$)","DT.DOD.DSTC.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40000","9615000","14032000","15481000","4000000","1480000","29000000","156210000","102860000","82380000","103000000","138000000","186000000","520000000","1132000000","1136000000","595000000","999000000","91000000","1631115000","1604885000","2020737000","1650716000","1461724000","",
"Burundi","BDI","External debt stocks, short-term (DOD, current US$)","DT.DOD.DSTC.CD","","","","","","","","","","","0","0","0","0","0","0","0","5000000","5000000","13000000","12000000","10000000","16000000","10000000","12028000","31587000","24067000","37320000","12675000","16442000","13362000","13365000","12961000","5189000","5621000","14899000","8213000","15807000","20095000","69691000","65000000","88395000","96340000","47558000","22560000","34059000","37617000","13800000","17988000","7000000","15739000","423000","7265000","31265000","48265000","265000","265000","",
"Belgium","BEL","External debt stocks, short-term (DOD, current US$)","DT.DOD.DSTC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","External debt stocks, short-term (DOD, current US$)","DT.DOD.DSTC.CD","","","","","","","","","","","879000","1223000","2014000","2916000","4072000","5280000","4982000","32438000","62160000","97806000","73409000","84468000","78293000","83296000","88556000","145829000","171315000","210013000","151426000","70791000","55533000","61864000","27529000","33102000","30943000","47004000","46883000","136149000","85947000","122059000","66301000","80095000","75055000","35051000","25445000","40884000","40907000","116910000","89346000","213172000","340608000","496730000","541798000","189350000","58558000","78311000","62003000","",
"Burkina Faso","BFA","External debt stocks, short-term (DOD, current US$)","DT.DOD.DSTC.CD","","","","","","","","","","","0","0","0","0","0","0","0","30002000","78007000","38000000","35000000","35000000","32030000","27512000","29973000","44758000","54743000","77421000","75323000","68521000","84038000","75765000","52253000","29876000","40783000","55835000","53363000","65848000","59424000","103404000","84312000","63472000","11235000","14139000","24096000","22222000","89063000","155016000","8530000","0","0","0","0","0","0","0","0","",
"Bangladesh","BGD","External debt stocks, short-term (DOD, current US$)","DT.DOD.DSTC.CD","","","","","","","","","","","0","0","0","530000","46000","2025000","3212000","27046000","72402000","111150000","212043000","228044000","209044000","170045000","133040000","135053000","125061000","74033000","49795000","67532000","155935000","218573000","232693000","152838000","194536000","199197000","163065000","175000000","149720000","254290000","334000000","360743000","572094000","617000000","712000000","688428000","1178000000","1369670000","1894336000","1934216000","2949210000","2105312000","1959209000","3734855000","4153031000","6632731000","7836438000","",
"Bulgaria","BGR","External debt stocks, short-term (DOD, current US$)","DT.DOD.DSTC.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50000000","60000000","351000000","629000000","854000000","1055521000","1566860000","1594106000","1852605000","435911000","512274000","1146803000","1997050000","1762616000","1288301000","1450772000","1228985000","1843112000","2662500000","3267474000","4442460000","8040120000","14036473000","18334200000","17797030000","15143258000","12847627000","13779930000","13323751000","12343378000","8772782000","8609323000","",
"Bahrain","BHR","External debt stocks, short-term (DOD, current US$)","DT.DOD.DSTC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
