"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Short-term debt (% of total reserves)","DT.DOD.DSTC.IR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Short-term debt (% of total reserves)","DT.DOD.DSTC.IR.ZS","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","0.570494214876703","0.473594168761655","2.008681864137","3.49209589296192","3.64524473503553","1.42815536218134","3.27243608439269","3.2851815053951","2.8208806339212","",
"Angola","AGO","Short-term debt (% of total reserves)","DT.DOD.DSTC.IR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","919.878273891707","211.834728424216","319.522909836972","827.961842899419","319.587913415581","110.407973476542","198.27362904187","321.539347536372","169.369438324872","87.0410743650192","72.4386648479003","24.7966405876541","20.2703256163576","13.3783923993619","18.9732977464861","0.914976320654144","0.582601892901441","0.490702117179696","0.536482559183862","0.576979035495107","0.652561810328238","0.648628632846138","",
"Albania","ALB","Short-term debt (% of total reserves)","DT.DOD.DSTC.IR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","346.756970364824","259.998365303884","23.4962142108697","9.76847943823986","13.954265873994","8.35228705900512","5.55119717327557","5.67316326782662","3.97349637348606","3.35218948360158","14.3922575182158","0.0884061060303056","10.7695781327972","21.3192008098626","23.6208128640041","48.6360085030722","28.727545071412","29.2509832718958","44.1769320151204","56.5373505655409","72.2319536175601","70.3579318665006","57.1225034466483","60.881195953773","",
"Andorra","AND","Short-term debt (% of total reserves)","DT.DOD.DSTC.IR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Short-term debt (% of total reserves)","DT.DOD.DSTC.IR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Short-term debt (% of total reserves)","DT.DOD.DSTC.IR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Short-term debt (% of total reserves)","DT.DOD.DSTC.IR.ZS","","","","","","","","","","","93.7240924937401","225.753271291544","130.142426171835","49.7102684647589","44.4014135577662","100.091397226393","51.4290150764939","70.8647463496458","57.7753859808006","59.441763007603","111.688420519803","258.105267254282","366.810490421624","313.823142053814","413.750579664176","143.140901161134","99.604154188987","94.6177034717452","110.866530320194","264.998556580812","167.79691854942","181.517451160968","141.314239286269","55.8260549293717","44.8090354328515","133.639249493304","119.161404386966","142.646949594351","124.542831812145","111.63198210973","112.616025225924","137.431552095931","141.385417518489","158.125438569164","135.042078119614","124.780600582034","88.2212805094713","41.6056236444163","41.9086808608897","40.1729455962128","31.4380125143534","55.6471236540849","58.4220429478821","120.16667813362","90.203190677127","232.887659077127","123.23656083984","",
"Armenia","ARM","Short-term debt (% of total reserves)","DT.DOD.DSTC.IR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.14720096129342","2.95501704947391","1.9247670585887","0.832334183103378","9.19632670146365","15.4078106802008","16.2102393177156","14.1371537479784","12.7329589435706","51.047114699944","80.481760625226","74.8504487930894","44.4897261478699","28.6271929585955","30.1753885648194","37.0188868466106","26.4105524499573","35.1449510731857","46.7634681441978","46.795875246667","51.069007024718","60.9772083073944","37.3826639246185","48.6190826094519","",
"American Samoa","ASM","Short-term debt (% of total reserves)","DT.DOD.DSTC.IR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
