"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","IBRD loans and IDA credits (DOD, current US$)","DT.DOD.MWBG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","IBRD loans and IDA credits (DOD, current US$)","DT.DOD.MWBG.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","343427000","399183000","437607000","465822000","405910000","412513000","422308000","425760000","394587000","369722000","351221000","",
"Angola","AGO","IBRD loans and IDA credits (DOD, current US$)","DT.DOD.MWBG.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5607000","15202000","49604000","80576000","115121000","136047000","178689000","213777000","226426000","228393000","264763000","291456000","318373000","319346000","347333000","365087000","368888000","385211000","377702000","383663000","420275000","468408000","477956000","929183000","940247000","",
"Albania","ALB","IBRD loans and IDA credits (DOD, current US$)","DT.DOD.MWBG.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2037000","27637000","64738000","108992000","137216000","148150000","220080000","296335000","345747000","366122000","475754000","583261000","676602000","655409000","728673000","808726000","834503000","873711000","875442000","909437000","933487000","937993000","1085882000","1019530000","990929000","",
"Andorra","AND","IBRD loans and IDA credits (DOD, current US$)","DT.DOD.MWBG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","IBRD loans and IDA credits (DOD, current US$)","DT.DOD.MWBG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","IBRD loans and IDA credits (DOD, current US$)","DT.DOD.MWBG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","IBRD loans and IDA credits (DOD, current US$)","DT.DOD.MWBG.CD","","","","","","","","","","","181339000","218681000","256136000","302166000","339918000","341219000","342488000","342849000","351725000","366976000","403667000","477355000","503629000","533427000","503033000","699646000","1140204000","2146470000","2265241000","2281167000","2608870000","2789870000","2505366000","3739414000","4109378000","4913253000","5372447000","5494472000","7188440000","8313982000","8789137000","9440018000","8512828000","7508015000","7446990000","6880617000","6205632000","5674043000","5069214000","5304855000","5349319000","5554746000","5624989000","6121408000","6007304000","5851771000","6047721000","",
"Armenia","ARM","IBRD loans and IDA credits (DOD, current US$)","DT.DOD.MWBG.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","503000","7136000","95758000","183812000","250107000","302567000","361345000","396575000","435235000","537497000","669442000","780160000","752350000","847103000","970047000","1030234000","1214223000","1266529000","1338055000","1471323000","1585908000","1609360000","1651510000","1742338000","",
"American Samoa","ASM","IBRD loans and IDA credits (DOD, current US$)","DT.DOD.MWBG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
