"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Net flows on external debt, total (NFL, current US$)","DT.NFL.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Net flows on external debt, total (NFL, current US$)","DT.NFL.DECT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","142941000","200516000","130829000","123064000","120657000","55300000","95126000","-3230000","36657000","-18736000","-42828000","",
"Angola","AGO","Net flows on external debt, total (NFL, current US$)","DT.NFL.DECT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","880155000","977133000","225647000","906712000","293500000","305407000","-93078000","74014000","418285000","-314371000","-530274000","-733465000","-1024778000","-310876000","486171000","1239484000","2602992000","-2053782000","2078659000","3632021000","952143000","-29439000","2420892000","1791269000","3839979000","4262544000","-717383000","7425994000","",
"Albania","ALB","Net flows on external debt, total (NFL, current US$)","DT.NFL.DECT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","155137000","135813000","176092000","88883000","-96714000","44286000","63185000","71747000","135982000","129773000","77524000","122607000","229817000","-12231000","592895000","297691000","321114000","1409056000","124454000","620280000","808821000","700392000","926190000","163558000","369095000","272549000","",
"Andorra","AND","Net flows on external debt, total (NFL, current US$)","DT.NFL.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Net flows on external debt, total (NFL, current US$)","DT.NFL.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Net flows on external debt, total (NFL, current US$)","DT.NFL.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Net flows on external debt, total (NFL, current US$)","DT.NFL.DECT.CD","","","","","","","","","","","788952000","414861000","649637000","405576000","394159000","211075000","1571717000","2017090000","1475292000","8044499000","6265941000","8919709000","9360726000","-5765940000","-310886000","882439000","-1594651000","1505742000","935474000","-1480877000","-1859209000","2237135000","3412529000","10463683000","6207365000","22003666000","13813575000","19234323000","13834727000","12537711000","6820035000","-6979457000","-11914700000","-232356000","-2090730000","14770743000","-12366637000","-6738933000","1536031000","-4662960000","-2302908000","7383315000","-2842955000","10265896000","3086344000","31271518000","30896277000","",
"Armenia","ARM","Net flows on external debt, total (NFL, current US$)","DT.NFL.DECT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","48726000","84687000","146635000","162717000","144302000","146001000","102797000","20963000","60570000","248867000","230563000","56061000","-38402000","103957000","872837000","523654000","1398157000","1166778000","1088177000","665885000","1334961000","647296000","494282000","1147467000","",
"American Samoa","ASM","Net flows on external debt, total (NFL, current US$)","DT.NFL.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Net flows on external debt, total (NFL, current US$)","DT.NFL.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Net flows on external debt, total (NFL, current US$)","DT.NFL.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Net flows on external debt, total (NFL, current US$)","DT.NFL.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Net flows on external debt, total (NFL, current US$)","DT.NFL.DECT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40000","73375000","207018000","129694000","130814000","175829000","389545000","360307000","-12269000","59794000","91249000","137633000","298894000","584691000","988894000","550793000","45274000","2615836000","153471000","3077349000","-220566000","2099059000","2266613000","2028404000","",
