"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Listed domestic companies, total","CM.MKT.LDOM.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Listed domestic companies, total","CM.MKT.LDOM.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Listed domestic companies, total","CM.MKT.LDOM.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Listed domestic companies, total","CM.MKT.LDOM.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Listed domestic companies, total","CM.MKT.LDOM.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Listed domestic companies, total","CM.MKT.LDOM.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1249","1207","1133","1338","1333","1355","1184","1188","1187","1172",
"United Arab Emirates","ARE","Listed domestic companies, total","CM.MKT.LDOM.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103","104","104","108","107","117","120","125","125","127",
"Argentina","ARG","Listed domestic companies, total","CM.MKT.LDOM.NO","","","","","","","","","","","","","","","","321","308","302","295","295","277","262","247","237","235","226","216","205","193","183","178","169","170","165","156","149","147","136","131","125","122","116","110","106","103","100","101","106","107","101","101","99","101","97","95","93","93","96",
"Armenia","ARM","Listed domestic companies, total","CM.MKT.LDOM.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","Listed domestic companies, total","CM.MKT.LDOM.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Listed domestic companies, total","CM.MKT.LDOM.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Listed domestic companies, total","CM.MKT.LDOM.NO","","","","","","","","","","","","","","","","1319","1229","1185","1116","1011","1007","982","931","930","1009","1028","1162","1427","1393","1258","1089","968","1038","1070","1144","1129","1135","1159","1162","1217","1333","1334","1355","1405","1514","1643","1751","1913","1924","1882","1913","1983","1959","1955","1967","1989","1969","2013",
"Austria","AUT","Listed domestic companies, total","CM.MKT.LDOM.NO","","","","","","","","","","","","","","","","76","74","71","68","67","66","63","62","62","63","64","74","75","80","87","99","103","112","111","111","109","106","101","96","97","97","99","109","104","100","92","96","102","101","97","89","88","84","82","82","79","71","67",
"Azerbaijan","AZE","Listed domestic companies, total","CM.MKT.LDOM.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","2","","","","","","","","","","","","","","","","","","",
"Burundi","BDI","Listed domestic companies, total","CM.MKT.LDOM.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Listed domestic companies, total","CM.MKT.LDOM.NO","","","","","","","","","","","","","","","","290","277","253","239","231","225","218","212","204","197","192","191","192","186","190","182","183","171","165","162","150","143","138","156","278","265","275","256","250","235","222","205","175","171","165","161","151","147","117","113","117","116","116",
"Benin","BEN","Listed domestic companies, total","CM.MKT.LDOM.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Listed domestic companies, total","CM.MKT.LDOM.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
