"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.5556382213548","41.6353944111652","69.9659935458757","74.6720406272248","32.6630109438518","","","5.16435223610411","7.79303559540424","9.50727746905831","52.3705871931319","68.6485839383773","41.9230323702371","34.2987666598682","72.9840385079525","50.9074310652185","41.66307780768","50.9402623424812","84.0566595415688","53.3085719135463","75.000380412119","56.7987807119234","44.2381863568898","30.2373678871961",
"United Arab Emirates","ARE","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.7196376404332","66.2622830488779","47.5988824394209","21.0795572251617","16.0086485540665","17.7165681482458","34.2283241372939","66.6392778436897","27.9212882411214","21.9248270586099","17.977556298591",
"Argentina","ARG","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","28.7087087087087","19.6056589060934","34.0636039130898","28.1928746618119","13.1819256139748","24.966594716826","12.6741158054952","21.6366276586658","23.30302628412","15.0364880918708","10.1528068653791","167.391304347826","12.3854315528774","22.1494758387962","24.4032361035854","84.5112253062057","112.959209684372","306.038972311431","84.4372902869962","70.0421884282209","64.4817672359597","57.4958087742209","21.2402936707374","19.9514870851107","19.9556673855739","7.05213927946412","8.37131536218996","11.2121608508871","11.0479866695524","6.61198556678135","8.48955040602655","8.37533211745139","3.30218015417228","3.9818469126561","5.63176187861392","4.26842992577672","4.2130097868761","5.85700119251026","4.8095444826126","5.32936562028847","5.35915768753725",
"Armenia","ARM","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","5.14905956245665","8.29315161380768","14.3218648887957","11.8517913807299","17.2751307182648","20.2413436879813","25.6953227864393","18.9949770310065","37.2517770517565","29.7609542417923","31.0280359848397","37.2314252607356","31.5359964535922","31.1167697102251","32.6318331694323","45.5021787612731","40.0448653247088","46.3918454500363","50.7874361441056","47.2849325786566","46.4684358955277","57.1959607220442","64.1297026031908","76.5472115594588","72.0150809090484","70.1855207212298","76.2012819614445","78.3809354270694","105.77245103777","122.791177337452","66.6831660030347","77.7823777846838","94.1825035534299","65.302671051665","57.6797555280849","54.5884424089317","63.233662300658","59.7842837827179","53.646",
"Austria","AUT","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","5.1538065091807","6.39982933788432","4.96664295206518","0.487121649749218","4.38402522737324","5.38340806028599","5.32321312427777","4.84208574002438","8.67715865589111","7.63281707489449","17.4230043724302","17.9617419103806","17.4302276952844","19.8363561680983","108.024754199373","219.118152718016","31.7179420515931","24.0892773054781","25.1014363060796","30.4407356477862","42.4622452505672","32.3939513576858","32.7853349505677","694.428462644894","35.7726066266036","32.2889225467526","29.0175703797162","19.3795485335246","21.2938752654919","29.5383820706895","34.3189192173366","43.0409641401728","54.61455246111","128.639287338754","45.1538696941436","38.7509723724046","45.4885520640904","22.293726761601","22.5441676954496","29.6716211216554","33.0278463495497","32.8323154981445","26.2679759573687",
"Azerbaijan","AZE","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burundi","BDI","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","6.40003999955556","7.03187749001335","6.02448857436308","5.78068882144308","7.68880721226586","7.69982129134693","7.42271046864806","12.0765845861787","12.2048314270049","11.6887483754712","10.5953956935183","12.8593168887977","19.3274169355666","14.0135287198238","11.3429045278291","11.1321486670021","9.50737974170904","12.1220062740914","13.5380200993309","15.4440471122902","14.9830969109453","18.415014498497","20.7888484899471","24.1605603722046","27.4592825685822","21.144267892266","22.7779888207522","29.922200786851","23.8287903691687","27.4861479021467","36.9253773540627","34.140438879038","60.0617181132116","114.051712270317","47.4417344853639","39.9730372491653","45.0244362865391","33.6960449074801","30.8038918739165","28.3330126594545","","","",
"Benin","BEN","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.18896789485025","10.5598588096872","7.7903873908484","11.5550883220371","20.5446321891774","49.7058446741626","62.0130764157045","42.675783922853","26.689154656036","","","","6.2298271613918","6.14210284366713","8.10557028934724","12.4706191499582","11.1773033786247","11.624108204197","4.6634359709624","","","","","","",
"Bulgaria","BGR","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.3333333333333","4.55486542443064","7.22394220846233","173.035714285714","","101.240299334812","5.65908869157967","3.1838252382059","85.5231143552311","22.6012970456183","6.62119969004968","16.3394497048806","15.3664646591763","18.0945804200884","31.3105799149516","14.8061690775887","5.62903537085253","5.11431112364364","3.89991821403689","","","","","","",
