"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","6.4","6.58333333333333","6.7","6.7","6.7","6.55","5.89166666666667","4.975","3.99166666666667","4.36666666666667","4.26666666666667","4.35833333333333","4.9","6.16666666666667","6.2","6.5","6.2","5.1","3.1","4.1","4.4","4.5","4.2","3.4","1.9","1.6","1.4","3.2","2.3","1.9","2","",
"Afghanistan","AFG","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125.916666666667","147.125","29.25","36.875","36.5725","39.5784","47.9087916666667","48.6908333333333","26.1725","15.4393455269743","13.3984966156938","4.50032920949549","6.75643368542821","6.53807760064286","7.58936660757563","12.7562991888339","6.30923166027609","3.60364026674955","3.14507073587628","3.52696441746378","3.31462018020741","5.54431812488231","6.33304616150034",
"Albania","ALB","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.5","27.3333333333333","19.8333333333333","15.3","16.7833333333333","27.2758333333333","22.56","12.9458333333333","8.3025","7.725","8.53833333333333","8.37549739428437","6.60669485084465","5.08755087231281","5.22742521887892","5.6590985397927","6.80274238793673","6.77243622651908","6.41754337281697","5.86175264225151","5.42490848079036","4.16420494025281","1.91472967614738","1.39192900282791","0.830833333333333","",
"Andorra","AND","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","115.430014089286","131.715563141723","117.287882703543","79.6136498236847","157.070958318873","126.23854352053","281.314376560859","396.845330881801","630.03114446513","94.6859135585226","175.945564586427","371.846283395348","17235.8149966616","1517.87569734601","61.6758333333333","16.7791666666667","11.3408333333333","8.08333333333333","11.9025","7.35666666666667","6.96666666666667","7.56166666666667","8.04666666666667","8.33787833439748","16.1635974932858","39.2484458175081","10.160700678529","2.61496759139057","3.76232304842149","6.42137358813992","7.97163225634332","11.0493290172212","11.6040351112797","9.16684206720562","10.6791717588966","12.0234954622098","17.8048992450818","20.058528387145","26.5838164541119","18.94669711089","21.5452360061547",
"Armenia","ARM","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.1916666666667","26.0766666666667","24.9358333333333","27.3491666666667","18.0777357591667","14.9016666666667","9.5987677864009","6.87450898516572","4.89601729381373","5.81313993524673","5.83668970684598","6.25430323671206","6.62801860934559","8.65292863099265","8.95025892533692","9.2480433144904","9.56911001362681","10.1602652886801","10.4257850294385","14.1481591743434","11.6156571999545","9.01333497947312",
"American Samoa","ASM","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","11.4166666666667","12","12","7.95833333333333","7.64583333333333","7","7.5","9","5.99536743","5.75261740316282","5.00782550704808","4.18785200662889","4.02228160824124","4.33129095419425","4.3561052363984","4.3443829187024","4.4495482947416","5.17721846072505","4.48930797808922","4.36396949801434","4.85700062575664","4.12193447107937","3.85810817971604","3.8345593131892","3.52392393360455","3.53720155682139","3.48357886848825","3.37030687182617","3.37537690057588","3.16043061576853","3.04434917695378","2.89339395353989","2.46616666666667","1.9275","1.755",
"Australia","AUS","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","12.8375","10.9875","10.6583333333333","11.9791666666667","13.8666666666667","12.725","11.425","15.6875","13.5333333333333","9.45","6.09166666666667","4.92916666666667","4.91666666666667","6.1125","5.7125","4.31666666666667","3.70833333333333","3.47083333333333","4.19583333333333","3.19583333333333","3.65833333333333","3.50833333333333","3.85","3.89166666666667","4.0625","4.52916666666667","4.725","3.07916666666667","4.2125","4.3375","3.91666666666667","3.25","2.90416666666667","2.30416666666667","2.14166666666667","2.00416666666667",
"Austria","AUT","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.65083333333333","2.20583333333333","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.08","12.8991666666667","8.45833333333333","8.65916666666667","9.54333333333333","9.18166666666667","8.52","10.5808333333333","11.5566666666667","12.2241666666667","12.1958333333333","11.64","10.8741666666667","10.215","9.89166666666667","9.17166666666667","8.99833333333333","7.73289026685328","8.42833333333333",
"Burundi","BDI","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","4.5","5.95833333333333","5.33333333333333","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.105","4.8575","4.03916666666667","2.6625","2.87666666666667","3.01166666666667","2.42416666666667","3.58333333333333","3.4","2.59666666666667","1.6475","","","","","","","","","","","","","","",
"Benin","BEN","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.6075","7.82166666666667","7.81333333333333","8.12416666666667","8.57916666666667","8.38666666666667","8.50083333333333","7.9925","7.65416666666667","7.25833333333333","6.99833333333333","6.925","",
"Burkina Faso","BFA","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.6075","7.82166666666667","7.81333333333333","8.12416666666667","8.57916666666667","8.38666666666667","8.50083333333333","7.9925","7.65416666666667","7.25833333333333","6.99833333333333","6.925","",
"Bangladesh","BGD","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","6.75","7","7","7","8.25","12","12","12","12","12","12","12","12","12","12.04","12.05","10.4658333333333","8.17833333333333","6.40333333333333","6.04333333333333","7.28416666666667","8.11416666666667","9.30166666666667","9.4375","8.68666666666667","9.15333333333333","7.9075","7.11","5.80166666666667","5.53416666666667","5.985","6.99333333333333","7.54666666666667","7.81416666666667","7.21083333333333","8.8375","10.2158333333333","11.7216666666667","9.8","8.24416666666667","6.19916666666667","5.60583333333333",
"Bulgaria","BGR","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.91938333333333","2.80316666666667","2.93229166666667","3.04970833333333","3.08435","3.17256666666667","3.68195","4.44464166666667","6.1775","4.076075","3.36826666666667","3.08416666666667","2.41330833333333","1.65581666666667","0.613891666666667","0.173383333333333","0.0463083333333333",
