"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.1663665771484","","","","","","","","","","99.3230972290039","","","","","","","",
"Afghanistan","AFG","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","11.1428003311157","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.1132202148438","","","","","","",
"Angola","AGO","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.1821212768555","","","","","","","","","","","","","70.5851287841797","","","",
"Albania","ALB","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.4980773925781","","","","","","","99.1213226318359","","","98.8562393188477","99.0201873779297","","","","","",
"Andorra","AND","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","",
"Arab World","ARB","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","49.63198","50.30574","51.15696","52.16192","53.26383","53.84867","55.42669","56.96309","58.51252","59.8211","61.24329","62.5936","64.02672","65.67381","66.9842","66.28749","67.54645","68.78021","70.19636","71.4143","72.49646","73.64112","74.70229","75.90603","77.31324","77.51404","78.60287","79.221","78.58339","79.58888","80.45543","77.39328","78.02455","78.48499","79.89321","81.10787","81.47202","81.77224","82.02096","",
"United Arab Emirates","ARE","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","56.276969909668","","","","","","","","","","84.514289855957","","","","","","","","","","","","","","","","","","","","97.0017395019531","","","","","","","","","","","","",
"Argentina","ARG","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","97.3024826049805","","","","","","","","","","","98.5402069091797","","","","","","","","","","99.1276702880859","","","","","","","","","","","","","","99.4800033569336","","",
"Armenia","ARM","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9105682373047","","","","","","","","","","","","99.8616714477539","","","","","","","","","","99.8761901855469","","","","","","",
"American Samoa","ASM","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9014892578125","","","","","","","","100","","99.9457931518555","99.9333267211914","99.9317626953125","99.9176712036133","99.9266967773438","99.9363784790039","99.9201126098633","99.9164810180664","",
"Burundi","BDI","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","21.4868602752686","","","","","","","","","","","48.0112609863281","","","","","","","","","","70.3653030395508","","","","","","","","57.3210296630859","","","","","","74.9589080810547","","","",
"Belgium","BEL","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","18.2551803588867","","","","","","","","","","","","","26.6902904510498","","","","","","","","","","33.2379989624023","","","","30.7865505218506","","","","","","40.9383811950684","","","","","",
"Burkina Faso","BFA","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","6.66406011581421","","","","","","","","","","","","","","","","14.1737499237061","","","","","13.9853401184082","","","","","","","24.8113708496094","","26.4829006195068","26.5341205596924","33.1253204345703","","","","","","","43.9858283996582","","","",
"Bangladesh","BGD","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","27.1510105133057","","","","","","","","","","37.9897499084473","","","","","","","","","","60.2562294006348","","","","","","67.4885711669922","","","","72.6500930786133","","","","","93.5353164672852","",
"Bulgaria","BGR","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.1097717285156","","","","","","","","","","97.6510620117188","","","","","","",
"Bahrain","BHR","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","82.0774230957031","","","","","","","","","","96.5787734985352","","","","","","","","","","97.2506103515625","","","","","","","","","97.5823364257813","","","","","","","",
"Bahamas, The","BHS","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.7354583740234","","","","","","","","","99.8436279296875","","","","","","","","","","","99.1504364013672","","99.6674728393555","","","","",
"Belarus","BLR","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.800537109375","","","","","","","","","","99.8282089233398","","","","","","","","","","99.8473892211914","","","","","","","","",
"Belize","BLZ","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.0163192749023","","","","","","","","","","","","","","","","","","","","","","","","","","",
