"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.8817596435547","","","","","","","","","","98.9657287597656","","","","","","","",
"Afghanistan","AFG","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","45.7960205078125","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.8790702819824","","","","","","",
"Angola","AGO","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.7769317626953","","","","","","","","","","","","","84.8623809814453","","","",
"Albania","ALB","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.3684616088867","","","","","","","98.5371170043945","","","98.7313613891602","99.3759765625","","","","","",
"Andorra","AND","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","",
"Arab World","ARB","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","73.55553","73.7622","74.09481","74.56118","75.09461","75.93092","76.7838","77.63126","78.57281","79.32392","80.09779","80.80573","81.57735","82.90557","83.54907","83.67998","84.13699","84.61501","85.19574","85.63001","85.8797","86.15257","86.39986","86.91691","87.51008","89.14225","89.43195","89.58747","87.40758","87.95495","88.41106","85.97716","86.18881","86.42987","87.1908","87.53785","87.52828","87.53503","87.58367","",
"United Arab Emirates","ARE","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","65.5117416381836","","","","","","","","","","81.0138320922852","","","","","","","","","","","","","","","","","","","","93.6251525878906","","","","","","","","","","","","",
"Argentina","ARG","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","96.4592208862305","","","","","","","","","","","98.0654907226563","","","","","","","","","","98.7079010009766","","","","","","","","","","","","","","99.129997253418","","",
"Armenia","ARM","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9093704223633","","","","","","","","","","","","99.7523498535156","","","","","","","","","","99.8184204101563","","","","","","",
"American Samoa","ASM","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.8703384399414","","","","","","","","100","","99.9567794799805","99.9674530029297","99.9560317993164","99.9550018310547","99.9768676757813","99.9762420654297","99.9636688232422","99.9623794555664","",
"Burundi","BDI","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","40.9319915771484","","","","","","","","","","","59.4978408813477","","","","","","","","","","76.7800216674805","","","","","","","","66.6145095825195","","","","","","85.2900772094727","","","",
"Belgium","BEL","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","45.7106399536133","","","","","","","","","","","","","55.1302185058594","","","","","","","","","","59.205078125","","","","54.8669395446777","","","","","","63.9409217834473","","","","","",
"Burkina Faso","BFA","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","22.3771305084229","","","","","","","","","","","","","","","","26.7887992858887","","","","","25.4782600402832","","","","","","","38.3810882568359","","40.379810333252","39.8218688964844","46.7337417602539","","","","","","","56.9948883056641","","","",
"Bangladesh","BGD","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","44.3621597290039","","","","","","","","","","51.7367286682129","","","","","","","","","","67.1638107299805","","","","","","54.2743301391602","","","","55.7539291381836","","","","","90.9053497314453","",
"Bulgaria","BGR","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.3096694946289","","","","","","","","","","98.0669326782227","","","","","","",
"Bahrain","BHR","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","89.6903762817383","","","","","","","","","","97.2586669921875","","","","","","","","","","96.8270797729492","","","","","","","","","98.6199111938477","","","","","","","",
"Bahamas, The","BHS","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.2854385375977","","","","","","","","","99.7481994628906","","","","","","","","","","","99.7512512207031","","99.6576538085938","","","","",
"Belarus","BLR","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.7319793701172","","","","","","","","","","99.7568664550781","","","","","","","","","","99.8003311157227","","","","","","","","",
