"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.0713577270508","","","","","","","","","","96.7197799682617","","","","","","","",
"Afghanistan","AFG","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","4.98746013641357","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.612060546875","","","","","","",
"Angola","AGO","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.1944885253906","","","","","","","","","","","","","53.4072113037109","","","",
"Albania","ALB","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.2522735595703","","","","","","","94.6818084716797","","","95.6914825439453","96.1360702514648","","","","","",
"Andorra","AND","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","",
"Arab World","ARB","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","31.01895","31.57827","32.19625","32.85947","33.67137","34.13457","35.12616","36.00738","37.03605","37.81384","38.87402","39.90322","40.99125","42.16432","43.30986","43.58525","44.71131","45.78087","47.67156","48.52052","49.938","51.27002","52.76005","53.85793","55.26776","57.63776","58.95416","52.39496","58.70964","59.13446","60.5038","58.9337","60.22807","62.32558","63.69985","64.176","64.81879","65.35713","65.95265","",
"United Arab Emirates","ARE","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","38.124870300293","","","","","","","","","","68.6612777709961","","","","","","","","","","","","","","","","","","","","91.4747467041016","","","","","","","","","","","","",
"Argentina","ARG","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","93.5808868408203","","","","","","","","","","","96.0413589477539","","","","","","","","","","97.1934127807617","","","","","","","","","","","","","","98.129997253418","","",
"Armenia","ARM","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.1501388549805","","","","","","","","","","","","99.1610717773438","","","","","","","","","","99.6903533935547","","","","","","",
"American Samoa","ASM","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.4199981689453","","","","","","","","","","","","","","","","",
"Australia","AUS","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
