"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Persistence to last grade of primary, male (% of cohort)","SE.PRM.PRSL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.3215103149414","","89.532829284668","92.0394515991211","93.462158203125","91.866081237793","","92.134147644043","84.975227355957","85.7763671875","","","","","92.3918914794922","","","","",
"Afghanistan","AFG","Persistence to last grade of primary, male (% of cohort)","SE.PRM.PRSL.MA.ZS","","","","","","","","","","","","","","60.4643096923828","","","65.6698379516602","74.7572784423828","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Persistence to last grade of primary, male (% of cohort)","SE.PRM.PRSL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.2080898284912","36.5502700805664","","","","","","","","",
"Albania","ALB","Persistence to last grade of primary, male (% of cohort)","SE.PRM.PRSL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.8291473388672","","","","","86.1145782470703","","","88.7250289916992","","","92.6314086914063","93.5049591064453","93.189697265625","95.0656661987305","97.8377990722656","98.4688186645508","97.6190872192383","98.3262481689453","95.1202163696289","88.6568603515625","","",
"Andorra","AND","Persistence to last grade of primary, male (% of cohort)","SE.PRM.PRSL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.979621887207","","","","",
"Arab World","ARB","Persistence to last grade of primary, male (% of cohort)","SE.PRM.PRSL.MA.ZS","","","","","","","","","","","","76.8694076538086","77.7413635253906","78.3621063232422","79.4013214111328","80.4816131591797","80.5978393554688","81.1796493530273","81.4062576293945","82.0337295532227","82.598991394043","83.2263031005859","83.1640090942383","85.4669189453125","85.7946090698242","86.544563293457","86.9386367797852","85.8734817504883","84.5126800537109","85.7344131469727","86.3008422851563","85.2458267211914","85.02294921875","85.3901214599609","84.923942565918","84.5981979370117","83.8593978881836","82.8177337646484","82.7315673828125","83.0097732543945","82.9854888916016","82.5849227905273","82.5219573974609","82.6068572998047","80.6507720947266","80.4681625366211","81.4845581054688","82.1001586914063","82.6743316650391","84.3362884521484","84.5384216308594","84.3485107421875","80.2398223876953","79.4926223754883","79.0717315673828","78.899169921875","","",
"United Arab Emirates","ARE","Persistence to last grade of primary, male (% of cohort)","SE.PRM.PRSL.MA.ZS","","","","","","","","","","","","","","","","","","91.3184585571289","86.4260635375977","","","","95.0990219116211","85.597297668457","76.4754486083984","83.5926818847656","78.2711791992188","85.0537872314453","92.9640121459961","95.0887680053711","93.3671417236328","74.1403427124023","83.6026077270508","98.2267913818359","94.9088592529297","76.3396301269531","79.3413467407227","88.4985809326172","96.3171768188477","89.8582992553711","93.6183013916016","93.6249771118164","","93.3530502319336","94.9103012084961","97.0696411132813","96.6442337036133","","","","84.5492935180664","","90.8167037963867","","","","","",
"Argentina","ARG","Persistence to last grade of primary, male (% of cohort)","SE.PRM.PRSL.MA.ZS","","","","","","","","","","","60.5283012390137","","","","58.8943901062012","63.4564094543457","","","","","","","","","","","","","","","","","","","","","","","87.5820388793945","97.4088363647461","91.1738510131836","90.6227111816406","82.2861709594727","97.3456573486328","87.9300765991211","95.8808212280273","95.2816467285156","98.7339401245117","94.6034774780273","96.7308197021484","93.1193313598633","97.4299697875977","94.9498825073242","95.8035125732422","95.034538269043","","","",
"Armenia","ARM","Persistence to last grade of primary, male (% of cohort)","SE.PRM.PRSL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.9348068237305","96.182746887207","98.6285781860352","98.8852920532227","98.0146102905273","","","96.3007965087891","95.9867401123047","94.2086563110352","","90.0380401611328","99.9131011962891","94.889030456543","","",
"American Samoa","ASM","Persistence to last grade of primary, male (% of cohort)","SE.PRM.PRSL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
