"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.3930206298828","","100","99.6348571777344","99.0700302124023","","","","","100","","","","","","","","","",
"Afghanistan","AFG","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","67.0510482788086","","","88.9497680664063","91.8069229125977","","","","","","","91.7139205932617","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.7739295959473","","","","","","","","","",
"Albania","ALB","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.0570831298828","","","","","96.9094772338867","","","","","","98.9542007446289","98.0773315429688","98.5032730102539","97.8637008666992","99.1034469604492","99.5048294067383","100","99.7822494506836","99.0516815185547","98.2862396240234","","",
"Andorra","AND","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","72.4606475830078","74.9640426635742","79.460823059082","75.3929824829102","78.3564376831055","69.9976425170898","77.6231918334961","78.8814468383789","79.7062835693359","82.1019821166992","83.5015869140625","83.3313293457031","86.1579895019531","85.8421783447266","85.8922424316406","86.7875366210938","88.6662521362305","87.0587768554688","89.8379821777344","89.4471969604492","89.5183181762695","89.5562591552734","89.2914886474609","89.4406967163086","89.3276977539063","89.22705078125","90.4218063354492","90.0615921020508","91.8385620117188","92.2275466918945","92.0934219360352","91.8225708007813","91.1018981933594","91.2048416137695","91.3486404418945","91.2808685302734","91.3305435180664","90.8404006958008","90.4199295043945","87.3067398071289","88.3075103759766","87.1220779418945","87.1873626708984","","",
"United Arab Emirates","ARE","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","84.6807632446289","99.5826416015625","85.0663681030273","96.0285568237305","93.4590225219727","","93.4735107421875","","","98.2274017333984","98.5970687866211","94.6190872192383","96.9865875244141","97.5401077270508","99.4176635742188","100","99.1615676879883","97.6171035766602","92.9414901733398","96.0513000488281","98.9933395385742","97.7663497924805","","97.6510620117188","","","98.4664764404297","100","98.0454330444336","96.1412506103516","99.5471420288086","99.0464324951172","100","100","","","95.520378112793","91.7747497558594","98.8908996582031","98.1021575927734","100","","","","",
"Argentina","ARG","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","25.224910736084","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.4127502441406","96.4611282348633","95.4351577758789","95.2687225341797","94.1109237670898","93.4861831665039","91.8362579345703","90.9003677368164","90.0864715576172","90.4735565185547","90.7998199462891","91.9182815551758","92.517463684082","93.3834381103516","93.8269577026367","94.7543334960938","94.9316711425781","","","",
"Armenia","ARM","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.212646484375","98.8174591064453","99.4997711181641","100","98.6837921142578","100","","","","97.7138519287109","","96.8239212036133","100","98.1814193725586","","",
"American Samoa","ASM","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.2879409790039","","","","","","","","","","","","99.8968276977539","99.6988983154297","99.8790512084961","99.9610137939453","100","100","","",
"Azerbaijan","AZE","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.0538330078125","","48.7798194885254","100","","97.6432876586914","96.8927993774414","99.4302673339844","99.1915893554688","98.5288391113281","99.0692901611328","99.654541015625","100","98.7732086181641","100","99.8175888061523","98.3953018188477","99.1575317382813","98.4870910644531","100","98.2916870117188","100","99.7005996704102","","",
"Burundi","BDI","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","10.4078502655029","14.8050804138184","17.8571395874023","18.1566696166992","18.1965599060059","17.8524894714355","12.9448204040527","12.6363897323608","13.1170501708984","13.4732704162598","14.0839395523071","17.8264694213867","18.3563003540039","11.6538600921631","","17.7386302947998","17.8866291046143","","","","","","","","","","","58.7108993530273","60.1161193847656","","","68.3192977905273","61.2740097045898","75.6815490722656","75.2357635498047","72.300651550293","78.7796630859375","79.8685913085938","81.8792495727539","88.1559219360352","","",
"Belgium","BEL","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","93.2310180664063","96.843132019043","93.1368408203125","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","44.4351692199707","65.848258972168","56.915210723877","59.774600982666","42.7863616943359","53.1622695922852","56.6078910827637","60.5043716430664","71.4486083984375","87.4689331054688","","69.7710723876953","54.1200218200684","","","","","","33.9228096008301","","","","","","","","","","","98.4368515014648","","78.0518569946289","","","","","","","","78.9947662353516","","89.7734375","84.8955535888672","87.6846694946289","","","",
"Burkina Faso","BFA","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","22.4860095977783","25.8507900238037","28.6183700561523","29.4495296478271","26.0031890869141","30.6982707977295","","31.5013904571533","30.8006591796875","","","","","","","","","","","","","","41.8197288513184","","","","","62.9355583190918","60.5677795410156","62.1979293823242","","61.9254188537598","","67.9484710693359","65.5332794189453","67.581428527832","74.2228393554688","74.2842864990234","76.0828170776367","","72.8526077270508","69.015510559082","70.6456069946289","77.2483291625977","78.1934814453125","","",
"Bangladesh","BGD","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","99.3999786376953","99.6039810180664","98.5001831054688","99.5002365112305","93.3670272827148","99.8434219360352","98.6014022827148","96.4230270385742","95.1196823120117","98.6830062866211","100","98.0583114624023","","98.7259216308594","","99.6584930419922","98.5981292724609","98.9311828613281","98.6165924072266","98.3531265258789","98.4334716796875","97.8375015258789","97.4036636352539","98.3046035766602","99.1952362060547","99.0459594726563","99.2844924926758","99.7838287353516","100","99.4717330932617","98.9054489135742","","",
"Bahrain","BHR","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","87.1019134521484","86.4462814331055","91.4655227661133","","96.9697036743164","","95.0137023925781","","","97.1349182128906","98.2007598876953","98.717170715332","","","","","","","100","98.5705032348633","98.4140090942383","98.7590637207031","98.57470703125","98.3463592529297","","","","","","","99.7934722900391","100","99.6688079833984","99.7644805908203","100","","",
"Bahamas, The","BHS","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.6820983886719","100","100","","99.3328704833984","","","","","","","","",
"Bosnia and Herzegovina","BIH","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.5293273925781","","","","","99.6421203613281","99.1478271484375","","",
"Belarus","BLR","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","97.1790237426758","99.6896286010742","","97.5375213623047","99.711540222168","100","99.1265411376953","100","100","99.186637878418","99.3902587890625","100","97.4949188232422","","","99.6075592041016","98.1613235473633","97.6036834716797","98.1875076293945","98.0245513916016","97.9147567749023","","",
"Belize","BLZ","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.7955093383789","","","93.9952926635742","93.5812072753906","","","","92.5042572021484","93.6378479003906","","100","94.2223587036133","100","92.9301528930664","94.1731414794922","96.2531204223633","96.2614212036133","94.9602127075195","96.8903884887695","100","95.2165603637695","97.2820816040039","97.2535629272461","95.80419921875","","",
"Bermuda","BMU","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.2264175415039","","","","","","","","","86.8944320678711","","","","","","",
"Bolivia","BOL","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.8328170776367","95.1228713989258","96.8701095581055","96.6362380981445","97.2881927490234","97.5014114379883","","",
"Brazil","BRA","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","72.9600677490234","90.2770919799805","90.7741394042969","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Barbados","BRB","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.7222290039063","100","98.491081237793","100","96.2519226074219","100","100","96.795051574707","98.1886901855469","100","","","","","","","","","",
"Brunei Darussalam","BRN","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","86.5279312133789","","92.8540267944336","77.6849136352539","70.7264022827148","84.6806564331055","","89.1084594726563","92.7045288085938","","100","85.3461303710938","","","","","","","","","","","","","","","","","","","87.3652114868164","97.7226181030273","96.5626525878906","99.8962936401367","100","99.8581619262695","100","99.2810363769531","100","99.2422866821289","100","99.4966888427734","100","","","",
"Bhutan","BTN","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","90.9691619873047","59.5782089233398","","","","","","","","","","","","","","","89.5209579467773","","","","93.1708831787109","92.9529266357422","92.855339050293","92.4664077758789","","","","","95.5502166748047","","","96.2520980834961","97.6237564086914","99.1591186523438","97.7289123535156","95.6406707763672","98.0013732910156","","","","",
"Botswana","BWA","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","53.0216789245605","49.6612014770508","50.7300796508789","58.3517112731934","60.0735893249512","71.1257095336914","87.9335327148438","79.9839172363281","87.7719116210938","85.6954193115234","91.9454193115234","","","","95.5219268798828","96.8404083251953","95.1680068969727","95.8817291259766","100","97.1449584960938","100","98.455078125","98.3033828735352","98.099006652832","","","","","97.3769989013672","98.8603591918945","","","","",
"Central African Republic","CAF","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","38.2298583984375","41.84912109375","37.8344993591309","","","","36.1054000854492","","","52.0268592834473","69.3075180053711","72.9844512939453","","","53.9716186523438","44.7990913391113","56.4120483398438","56.0752105712891","49.6893997192383","54.5547981262207","","","","","","","","","","","","","","73.7433624267578","","","","62.8251686096191","","","80.5436172485352","","","","","","",
"Canada","CAN","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.7113800048828","99.2658233642578","99.1898422241211","98.2736587524414","99.5166091918945","99.7996597290039","98.867431640625","100.056869506836","100.06356048584","100.064010620117","100.030158996582","100.129119873047","100.099258422852","100.084358215332","99.9845428466797","99.6474380493164","99.6331634521484","99.7613296508789","99.7171096801758","99.6322631835938","99.661491394043","99.3321380615234","99.4997711181641","99.6492004394531","99.7526321411133","","",
"Switzerland","CHE","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","99.8863220214844","99.7863693237305","100","100","99.6960678100586","99.4713516235352","99.5429077148438","99.2334823608398","99.3760528564453","99.8124313354492","99.7781829833984","99.8251266479492","99.6795883178711","100","99.8039398193359","100","","",
"Channel Islands","CHI","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","91.9503784179688","91.9605484008789","89.914306640625","89.0958099365234","87.3777008056641","85.7774810791016","91.7237319946289","","","","","","94.0873794555664","","","","","","","","","","","","","","97.9682312011719","","","","","","","","","","","","","","95.6936721801758","96.6837615966797","98.729606628418","99.498176574707","96.7496795654297","96.9825134277344","","",
"China","CHN","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.8269577026367","89.9068603515625","","","","","","","","","","","","98.7923202514648","98.521598815918","98.4172286987305","","97.1589813232422","","","","","",
"Cote d'Ivoire","CIV","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","53.1111106872559","49.8875007629395","","48.270580291748","50.4950294494629","51.1671981811523","57.2591781616211","58.2780990600586","58.6276893615723","","51.5911293029785","48.5631217956543","54.4642601013184","51.161449432373","48.1241188049316","49.4445114135742","","","","","","69.0233535766602","","71.0258331298828","68.5288696289063","63.6006088256836","","69.0723266601563","70.5582427978516","","","","","","71.8427124023438","","70.0419616699219","","","77.2864303588867","","90.3775024414063","94.4113006591797","94.1218109130859","","",
"Cameroon","CMR","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","27.8331203460693","32.2346496582031","34.5625801086426","35.6570816040039","37.1953506469727","32.4634819030762","38.954418182373","37.8977012634277","39.1706809997559","38.8097610473633","44.8802185058594","43.2237586975098","44.2579307556152","43.2934303283691","47.0514984130859","47.3413009643555","","","47.9084815979004","","","","","","","","","31.3790397644043","","","","","","","44.6976585388184","58.9283790588379","49.853759765625","","57.8075904846191","61.679500579834","","","65.0722122192383","63.9558486938477","","",
"Congo, Dem. Rep.","COD","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","50.1332397460938","","","","","","","","","","","","","","","","","","","","29.8710098266602","33.5170288085938","28.7161998748779","","","","","","","","","","","","","","91.6629028320313","","","","75.4365768432617","73.2040786743164","","","","","",
"Congo, Rep.","COG","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","67.988151550293","82.7483062744141","81.2529830932617","85.7713775634766","97.6052169799805","100","98.894401550293","","98.7936706542969","","95.9909896850586","99.4630889892578","","","88.142448425293","","83.6415710449219","","","","74.047492980957","82.0852127075195","","60.8749504089355","","","","","","88.7441635131836","85.0619888305664","87.6254501342773","72.2059631347656","","","70.9340972900391","73.5238876342773","77.0493698120117","","78.1026229858398","","","","","","",
"Colombia","COL","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","55.0228004455566","56.4212684631348","65.2293319702148","58.3202896118164","62.8744201660156","63.5063705444336","","","","","","","","","","96.756721496582","","92.5200119018555","","","","100","99.0819320678711","99.5917587280273","100","100","99.2106323242188","100","100","98.4545135498047","","","","","",
"Comoros","COM","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.4719619750977","99.361701965332","","","","","","","","","","100","","","","",
"Cabo Verde","CPV","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","100","53.2374114990234","48.8118782043457","53.5503005981445","54.832878112793","43.0555610656738","63.8422203063965","","56.3237800598145","","","","","","","","","","","","","","85.4768295288086","85.4288864135742","87.0226516723633","90.7123184204102","97.8014221191406","91.0549697875977","93.4973983764648","91.7784423828125","94.1828765869141","95.6857528686523","94.401969909668","94.0671463012695","95.2438507080078","97.0950393676758","96.4300079345703","","",
"Costa Rica","CRI","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","49.4307403564453","53.4292907714844","","","","","","","","","56.1208610534668","52.8358306884766","","","52.4619102478027","58.2081298828125","58.3815994262695","61.7749786376953","63.1596717834473","","63.4175682067871","66.3689727783203","66.3762893676758","66.6035614013672","68.2178573608398","67.5724182128906","","","","85.5685882568359","83.9393768310547","89.1408004760742","","","","100","","100","97.9477920532227","94.2780838012695","95.1343002319336","97.7216110229492","85.6562118530273","86.3014373779297","84.8172912597656","86.0702667236328","","",
