"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","23","21","18","12","20","31","28","27","27","24","33","36","41","50","58","58","63","64","63","66","68","67","64","62","65","65","65",
"Angola","AGO","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","26","21","30","27","24","28","41","45","16","23","32","35","31","30","28","22","58","54","44","60","51","54","54","55","55","55","52",
"Albania","ALB","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94","78","94","96","99","97","98","99","96","97","97","97","98","97","97","98","97","98","99","98","99","99","99","99","98","99","98","99",
"Andorra","AND","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","89","90","98","96","97","99","99","98","93","96","99","99","99","99","99","96","97","97","98","99",
"Arab World","ARB","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.1332638259962","74.67035430527","74.9627014537348","75.4135472031976","73.5179534439536","76.2575616380705","77.7982695249028","76.2507937939303","78.2187195252742","80.9034880669618","82.5680548564042","83.6846820578755","81.7467602420168","82.204438929817","83.2465486806352","84.1316578755301","83.5444320854093","84.6852785531729","85.650853902218","86.5676743604698","87.4415309252937","87.0506216392878","83.8098853536758","85.3891745957215","84.5138636525639","83.1656704021532","84.2283336853531","84.0315586222546",
"United Arab Emirates","ARE","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85","85","86","90","90","90","90","92","94","94","94","94","94","94","94","94","92","92","92","93","94","95","96","98","99","99","99","97",
"Argentina","ARG","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87","80","81","81","82","85","83","88","84","86","83","83","93","96","98","98","91","91","93","94","94","91","91","94","94","94","92","86",
"Armenia","ARM","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85","85","86","98","86","88","82","91","93","94","94","94","91","90","87","88","89","93","94","95","95","95","93","94","94","94",
"American Samoa","ASM","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99","94","99","99","99","99","99","99","99","99","95","97","98","99","97","99","99","99","99","99","98","99","98","99","99","99","92","95",
"Australia","AUS","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95","93","91","90","88","86","86","77","82","88","90","92","92","93","92","92","92","92","92","92","92","92","92","91","92","93","94","95",
"Austria","AUT","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","90","90","90","90","90","90","90","82","74","81","84","83","84","83","86","83","85","83","83","86","89","92","95","98","93","87","90",
"Azerbaijan","AZE","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58","66","69","74","74","70","73","75","76","77","76","77","77","75","78","79","81","81","81","87","89","93","94","96","97","95",
"Burundi","BDI","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86","83","80","63","48","73","73","74","65","79","80","81","81","82","83","87","92","99","92","94","96","96","96","96","95","94","94","91",
"Belgium","BEL","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93","92","95","97","96","94","95","87","79","87","95","95","95","95","95","97","98","98","99","98","98","98","99","99","99","99","98","98",
"Benin","BEN","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74","69","73","75","81","67","66","66","70","74","78","76","75","73","72","70","74","82","75","79","76","75","80","77","78","82","82","82",
"Burkina Faso","BFA","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66","53","39","39","36","34","37","39","15","15","45","62","69","79","79","82","86","89","93","92","91","91","90","88","91","91","91","91",
"Bangladesh","BGD","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69","74","66","74","84","69","77","78","77","80","82","85","83","87","99","93","94","94","96","97","94","96","94","96","97","97","97","97",
"Bulgaria","BGR","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99","99","98","98","93","96","95","94","95","96","93","94","93","96","95","96","95","95","95","94","94","95","95","95","88","91","92","92",
