"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Net migration","SM.POP.NETM","","","-4323","","","","","-4275","","","","","-3537","","","","","-5470","","","","","-1921","","","","","-5194","","","","","14218","","","","","6926","","","","","6263","","","","","-441","","","","","1253","","","","","1004",
"Afghanistan","AFG","Net migration","SM.POP.NETM","","","-20000","","","","","-20000","","","","","-20000","","","","","-1092462","","","","","-3318301","","","","","-1484185","","","","","2327473","","","","","-379474","","","","","929118","","","","","-777497","","","","","448007","","","","","-299999",
"Angola","AGO","Net migration","SM.POP.NETM","","","-135000","","","","","-226155","","","","","-80955","","","","","11455","","","","","234148","","","","","-151982","","","","","142811","","","","","-126955","","","","","172594","","","","","85286","","","","","87322","","","","","0",
"Albania","ALB","Net migration","SM.POP.NETM","","","-99","","","","","-99","","","","","-99","","","","","-99","","","","","-99","","","","","-99","","","","","-443212","","","","","-179606","","","","","-176774","","","","","-217358","","","","","-93425","","","","","-40000",
"Andorra","AND","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Net migration","SM.POP.NETM","","","-502251","","","","","-841024","","","","","-870418","","","","","1830706","","","","","562853","","","","","-594845","","","","","-510510","","","","","-1852228","","","","","-25472","","","","","4152627","","","","","608774","","","","","-544526",
"United Arab Emirates","ARE","Net migration","SM.POP.NETM","","","37882","","","","","53823","","","","","265100","","","","","387833","","","","","184159","","","","","261351","","","","","368126","","","","","484452","","","","","1161000","","","","","3331000","","","","","480000","","","","","301000",
"Argentina","ARG","Net migration","SM.POP.NETM","","","122001","","","","","130001","","","","","290000","","","","","-230001","","","","","139999","","","","","160002","","","","","29999","","","","","-80000","","","","","-90000","","","","","-84998","","","","","30000","","","","","24002",
"Armenia","ARM","Net migration","SM.POP.NETM","","","70335","","","","","103399","","","","","86404","","","","","17214","","","","","-51230","","","","","-67528","","","","","-496288","","","","","-223873","","","","","-160521","","","","","-183361","","","","","-30535","","","","","-24989",
"American Samoa","ASM","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
