"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73","","","","","74.9","","","","","67.8","","","","","","","53","","","","","","","","",
"Andorra","AND","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80","","","","","","","",
"Arab World","ARB","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.6","","","87","","","","","","","","",
"Argentina","ARG","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9","","","","","100","","","","","99.9","","","","","","","99.2","","100","","","","","","",
"Armenia","ARM","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.1","","","","","79.7","","","","","74.4","","","","","","","","","76","","","","","","",
"American Samoa","ASM","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.2","","","","","87.7","","","","","83.7","","","","","","80.2","","","","79","","","","","",
"Australia","AUS","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.5","","","","","96.6","","","","","99.4","","","","","99.1","","","100","","","","","","","",
"Austria","AUT","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","","","","100","100","","","","","","",
"Azerbaijan","AZE","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.2","","","","","67.5","","","","","69","","","","","93","","","","","","","","","","",
"Burundi","BDI","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","99.8","","","","","100","","","","100","","","100","","","","","","","","",
"Benin","BEN","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.6","","","","","100","","","","","99.9","","","","","","","","","100","","","","","","",
"Bahrain","BHR","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.1","","","","","94.6","","","","","","","","88","","","","","","","",
"Bahamas, The","BHS","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99","","","","","95.9","","","","","93.9","","","","","89","","93","","","","","","","","",
"Bosnia and Herzegovina","BIH","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","","","","","","","","","","","","","","","89","","","","","","",
"Belarus","BLR","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.6","","","","","98.2","","","","","99.7","","","","","","100","","","100","","","","","","",
"Belize","BLZ","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.1","","","","","93.6","","","","","98.7","","","","","","100","","","100","","","","","","",
"Bermuda","BMU","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brazil","BRA","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.6","","","","","82.8","","","","","85.8","","","","","","","93","","93","","","","","","",
"Barbados","BRB","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","95.7","","","","","100","","","100","","","","","","","",
"Brunei Darussalam","BRN","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","","","","92.6","89","","","","","","",
"Bhutan","BTN","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.3","","","","","100","","","","","100","","","","","","100","","100","","","","","","","",
"Central Europe and the Baltics","CEB","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.8199158184667","","","","","","","","","","99.6616636948283","","","","","","","","","","100","","","","","","","",
"Switzerland","CHE","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","99.8","","","","","","","100","100","100","","","","","","",
"Channel Islands","CHI","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93","","","","","94","","","","","96.6","","","","","","97.7","","","100","","","","","","",
"China","CHN","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","0","","","","","0","","","","","","","4","","","","","","","","",
"Cote d'Ivoire","CIV","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.9","","","","","88.1","","","","","93.1","","","","","","98.5","","98","","","","","","","",
"Comoros","COM","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.5","","","","","95.5","","","","","93.2","","","","","","","","90.4","91","","","","","","",
"Caribbean small states","CSS","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.3701201307097","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.5","","","","","98.5","","","","","96.1","","","","","","","99.8","","98","","","","","","",
"Curacao","CUW","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
