"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","5045.01026549915","","","","","4545.61668545007","","","","","4022.37172345192","","","","","3608.17776079932","","","","","3698.14218356668","","","","","4099.0158797527","","","","","3372.37829773358","","","","","2565.06436733898","","","","","2145.13945294531","","","","","1771.43812071718","","","","","1535.98281627776","","1439.34218246402","","","",
"Angola","AGO","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","25229.8774254137","","","","","23070.9454956707","","","","","20860.2484568349","","","","","18201.9700434929","","","","","15445.3757588584","","","","","13192.7673683674","","","","","11412.4045897915","","","","","9808.48209696864","","","","","8422.17926278502","","","","","7048.39537802426","","","","","5897.3189114665","","5497.67600605428","","","",
"Albania","ALB","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","15718.869480208","","","","","13685.4026102998","","","","","11992.1930377518","","","","","10702.0122170034","","","","","9661.39157081297","","","","","8723.55570833489","","","","","8284.47086715004","","","","","8544.34531098082","","","","","8816.75248524259","","","","","9057.18721475332","","","","","9274.57961847344","","9310.84516168334","","","",
"Andorra","AND","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","20533.5068314899","","","","","15203.7768571153","","","","","11735.8322177599","","","","","9630.46596075799","","","","","8068.72219665593","","","","","6513.25972551852","","","","","5359.32617850836","","","","","4906.1824739223","","","","","4505.41763622607","","","","","3816.98777257719","","","","","3828.6566946901","","3983.69160471075","","","",
"Arab World","ARB","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","1212.88153361465","","","","","1055.29994268418","","","","","919.474425040644","","","","","793.364306165755","","","","","675.886572551222","","","","","582.774443556734","","","","","513.655231913994","","","","","454.382563173942","","","","","409.88302057315","","","","","366.037127189803","","","","","303.766960020319","","290.780999871945","","","",
"United Arab Emirates","ARE","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","1333.66526779999","","","","","880.886524197953","","","","","450.775333573747","","","","","200.503397195893","","","","","126.09863435179","","","","","96.1096110892551","","","","","71.885937145812","","","","","55.5553497950008","","","","","42.7687703579347","","","","","24.8177262098517","","","","","16.8530747816993","","16.5364567686859","","","",
"Argentina","ARG","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","13716.8527789921","","","","","12733.1857301281","","","","","11782.2943508458","","","","","10863.6751999223","","","","","10071.053698134","","","","","9321.18978092427","","","","","8676.23502862905","","","","","8148.69265528471","","","","","7706.64700943827","","","","","7305.43816817239","","","","","6936.40426637322","","6793.61814026332","","","",
"Armenia","ARM","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1992.2679439179","","","","","2189.21536146789","","","","","2260.78868201524","","","","","2338.5165506557","","","","","2380.00889684037","","2360.11038393515","","","",
"American Samoa","ASM","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","909.981800363993","","","","","820.707070707071","","","","","751.705793916965","","","","","713.550600343053","","","","","717.756183745583","","","","","766.452944211069","","","","","759.933944203312","","","","","668.904925455691","","","","","602.786729418311","","","","","569.046081789431","","","","","537.317751118551","","525.916561314791","","","",
"Australia","AUS","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","45801.5267175573","","","","","41698.4490211035","","","","","37337.7855354026","","","","","34667.4182638106","","","","","32415.3379891949","","","","","30251.0467968937","","","","","28122.3206630466","","","","","26570.1787546579","","","","","25036.384176191","","","","","23622.5009122511","","","","","21633.5293322297","","20932.4843140387","","","",
"Austria","AUT","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","7714.03213301123","","","","","7455.60728090207","","","","","7290.36779375311","","","","","7267.02896109233","","","","","7261.55048625983","","","","","7261.12291813704","","","","","7014.67175991355","","","","","6902.57492399951","","","","","6805.28243345021","","","","","6630.11104712719","","","","","6524.32487768967","","6435.49133689259","","","",
"Azerbaijan","AZE","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1099.29558385261","","","","","1035.30762606449","","","","","993.031039103274","","","","","945.660913847552","","","","","872.976394460112","","851.067935567183","","","",
"Burundi","BDI","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","3476.55519687981","","","","","3110.6767020519","","","","","2838.56280687022","","","","","2632.6849670548","","","","","2321.51024626008","","","","","2016.9471680137","","","","","1777.02755576219","","","","","1645.9162869961","","","","","1492.23422618681","","","","","1267.07065984531","","","","","1079.43272912998","","1017.00501122648","","","",
"Belgium","BEL","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","1301.43685135574","","","","","1252.48004094775","","","","","1235.69744565892","","","","","1220.7083404287","","","","","1217.49503845407","","","","","1215.77664724058","","","","","1194.60540093048","","","","","1178.63777956429","","","","","1161.35194915988","","","","","1129.33736130326","","","","","1078.33705329663","","1070.56284931016","","","",
"Benin","BEN","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","4115.2329141922","","","","","3765.57366321221","","","","","3384.1870410607","","","","","2999.90767274444","","","","","2622.39053047141","","","","","2271.09210645557","","","","","1931.80430709837","","","","","1639.69944786703","","","","","1411.84972326375","","","","","1218.24418841341","","","","","1058.67310230277","","1001.29176358782","","","",
"Burkina Faso","BFA","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","2519.99566157547","","","","","2339.50131938516","","","","","2145.85901568932","","","","","1953.4500663001","","","","","1746.23563983122","","","","","1535.61276416071","","","","","1344.50339583912","","","","","1171.99813305385","","","","","1016.83057975612","","","","","877.068592587676","","","","","754.320020932682","","710.793605609742","","","",
"Bangladesh","BGD","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","2057.60764467475","","","","","1761.13421337154","","","","","1553.3125722013","","","","","1401.38464276757","","","","","1220.82616422547","","","","","1067.68286756109","","","","","944.058356544731","","","","","847.767996419028","","","","","768.663889466953","","","","","713.610012984236","","","","","674.256643128025","","658.698386017693","","","",
"Bulgaria","BGR","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","2620.75895681813","","","","","2527.00708741254","","","","","2448.63692544484","","","","","2385.22983904355","","","","","2354.93145635578","","","","","2340.78248345652","","","","","2458.96917202058","","","","","2526.44708873893","","","","","2679.54173711628","","","","","2783.17551844596","","","","","2874.39391351195","","2907.00169353613","","","",
"Bahrain","BHR","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","23.1021577415331","","","","","20.4016056063612","","","","","17.4554340948266","","","","","13.1937000082461","","","","","10.3640367923306","","","","","8.90922171266424","","","","","7.6469115080283","","","","","6.72348007328593","","","","","5.44108125166633","","","","","3.86141012905798","","","","","3.07640955317459","","2.99312255265464","","","",
"Bahamas, The","BHS","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","5781.15837896319","","","","","4586.88543925981","","","","","3936.14449024117","","","","","3551.29850693264","","","","","3177.84587447509","","","","","2876.00711606332","","","","","2630.25393222963","","","","","2439.27936718124","","","","","2264.22173846945","","","","","2044.82250940618","","","","","1881.52317364577","","1831.65039550565","","","",
"Bosnia and Herzegovina","BIH","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8374.31242177095","","","","","9460.5337180084","","","","","9401.96360672036","","","","","9406.46528881823","","","","","9730.82616084645","","9955.12621697913","","","",
"Belarus","BLR","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3328.11276429131","","","","","3360.68004349115","","","","","3446.33668601075","","","","","3556.13085850333","","","","","3592.37339129029","","3588.57570591242","","","",
"Belize","BLZ","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","156699.252443933","","","","","135413.33901253","","","","","120015.729453401","","","","","111395.805502632","","","","","100726.072607261","","","","","87540.1560348784","","","","","78531.4717703546","","","","","68860.9514182829","","","","","58198.5156708847","","","","","51138.2105647656","","","","","45322.1107154419","","43389.9924366068","","","",
"Bermuda","BMU","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","79075.6460818994","","","","","71628.7577071717","","","","","64600.816971518","","","","","57989.8224517868","","","","","52012.088054837","","","","","46947.0350820421","","","","","42556.4314406074","","","","","38559.9785537912","","","","","35073.1422357481","","","","","32145.5065559887","","","","","29641.554979371","","28734.6554809485","","","",
"Brazil","BRA","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","73929.2135028672","","","","","64189.9483643401","","","","","56528.8257368184","","","","","50155.993468008","","","","","44593.2847838157","","","","","40071.2127954256","","","","","36625.5390524323","","","","","33787.904496008","","","","","31423.6353953276","","","","","29634.6105909827","","","","","28225.8289489935","","27721.037902102","","","",
"Barbados","BRB","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","343.95879373651","","","","","338.093406755951","","","","","331.34388939741","","","","","321.564087722683","","","","","315.15791381219","","","","","310.545745329198","","","","","305.129222225613","","","","","299.687201483452","","","","","294.683178747449","","","","","289.69762810067","","","","","284.106042580393","","282.301462674453","","","",
"Brunei Darussalam","BRN","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","94955.0918271594","","","","","75559.5854001102","","","","","59828.3980770449","","","","","48634.5144845028","","","","","41236.5132344951","","","","","35771.0986356482","","","","","31026.0874643656","","","","","27240.2720181516","","","","","24505.0696664716","","","","","22674.8900934739","","","","","21263.3959394418","","20645.9009385384","","","",
"Bhutan","BTN","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","404761.701873834","","","","","351043.152441413","","","","","298699.86951532","","","","","254470.647480473","","","","","220392.065885628","","","","","189834.085009702","","","","","178731.009830206","","","","","153190.330475041","","","","","133575.418165267","","","","","113544.059462151","","","","","103590.197179956","","100457.46785361","","","",
"Botswana","BWA","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","4356.98206375717","","","","","3790.54700752108","","","","","3230.865535415","","","","","2690.8061879573","","","","","2230.71339143722","","","","","1898.26261514149","","","","","1648.54073235048","","","","","1465.5280328034","","","","","1348.3502092471","","","","","1253.6473302013","","","","","1148.70184725616","","1106.71856561896","","","",
"Central African Republic","CAF","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","90578.4881872161","","","","","82043.3805829502","","","","","74198.1469407473","","","","","66810.1742892653","","","","","58292.3082265743","","","","","51175.1409312569","","","","","45545.4748955604","","","","","40087.4645929601","","","","","36083.4187222273","","","","","32976.285139623","","","","","31400.2088002537","","31226.5247402662","","","",
"Canada","CAN","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","153110.561942624","","","","","139623.750734862","","","","","129582.968814926","","","","","119768.02824004","","","","","113086.262995","","","","","107344.632768362","","","","","99931.2858453084","","","","","95040.5506349376","","","","","90874.3064855558","","","","","86657.9372224361","","","","","82013.1022405548","","80201.8317085286","","","",
