"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","10","14","21","",
"Andorra","AND","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Patent applications, residents","IP.PAT.RESD","","","","","","","176","180","","170","160","175","189","214","209","142","","","149","165","162","171","","193","","","","","","549","","","","702","703","795","902","","777","809","1124","831","991","874","932","982","","1027","","","1551","1688","","2161","2184","2905","2910","",
"United Arab Emirates","ARE","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","20","18","29","15","","",
"Argentina","ARG","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","1830","1982","1081","1824","1756","1686","1616","1715","1704","1574","1314","1269","954","951","1102","1182","","","","","","955","943","503","787","694","676","1097","824","861","899","1062","691","718","792","786","1054","1020","937","801","640","552","688","735","643","509","546","884","",
"Armenia","ARM","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","184","154","187","162","62","75","109","119","140","200","151","","206","192","135","226","116","136","121","137","125","121","113","125","",
"American Samoa","ASM","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Patent applications, residents","IP.PAT.RESD","","","","3978","3972","4123","4445","4058","4201","4070","3984","4391","4606","4651","4300","4311","4320","4364","4558","4744","6582","6341","6603","6930","7170","","","","","","","","","","","1784","1797","1760","1862","1858","1928","2187","2364","2418","2559","2555","2837","2718","2821","2494","2409","2383","2627","3061","1988","2291","2620","",
"Austria","AUT","Patent applications, residents","IP.PAT.RESD","","","","2586","2623","2714","2547","2593","2486","2422","2267","2252","2373","2280","2365","2525","2551","2385","2303","2446","2327","2390","2233","2345","2324","2269","2210","2249","2212","2105","2025","2076","2117","2190","1989","1728","1909","1910","1957","2028","1961","1815","1932","2120","2248","2270","2271","2385","2298","2263","2424","2154","2258","2162","2092","2205","2078","",
"Azerbaijan","AZE","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","221","165","","","","","203","234","246","270","281","246","287","226","264","254","193","144","156","168","184","144","",
"Burundi","BDI","Patent applications, residents","IP.PAT.RESD","","","","","","1","1","","","1","","","1","","","","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Patent applications, residents","IP.PAT.RESD","","","","","","1766","1671","1607","1466","1456","1339","1359","1342","1242","1109","1060","1038","1073","1000","853","865","806","914","805","869","771","794","548","636","681","643","625","675","809","744","732","776","792","690","591","577","571","601","519","514","517","490","454","575","669","620","636","755","715","889","949","1054","",
"Benin","BEN","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","4","2","","","1","2","1","","","","","2","","","","","","","",
"Bangladesh","BGD","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","19","","30","27","27","31","34","39","40","40","62","40","16","23","24","32","32","36","72","36","39","70","22","46","32","49","70","59","43","58","48","50","22","29","60","55","66","37","67","60","44","41","77","",
"Bulgaria","BGR","Patent applications, residents","IP.PAT.RESD","","","","788","947","1029","1084","1169","1435","1365","1908","2014","2071","2168","2336","2481","2371","2559","2949","3431","3297","3673","3628","3811","3843","2","1","3","6","63","198","422","329","412","319","368","316","394","274","282","231","283","289","278","263","261","243","211","249","242","243","262","245","282","218","280","230","",
"Bahrain","BHR","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","3","3","6","8","6","",
"Bahamas, The","BHS","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","1","","2","4","6","3","1","","2","3","","3","3","1","","4","","2","1","2","","","","","","","","","","","","","","","","","","","","3","1","1","2","3","",
"Bosnia and Herzegovina","BIH","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","31","52","","32","50","66","55","","59","","56","43","2","7","41","","60","",
"Belarus","BLR","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","828","683","624","698","752","910","993","994","930","895","1082","1065","1166","1188","1405","1510","1753","1759","1725","1681","1489","652","543","455","",
"Belize","BLZ","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","",
"Bermuda","BMU","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","20","20","21","32","16","20","25","21","26","28","15","8","12","18","11","4","5","","","","","","","","26","28","17","","","","","","","","","","","","","","","","","","","9","","12","",
"Brazil","BRA","Patent applications, residents","IP.PAT.RESD","","","","","","10003","2360","2824","2763","","3839","3426","2840","2495","3421","","","1645","","1958","2149","2171","2116","2302","2062","1954","1855","2451","2338","2323","2389","2319","2100","2429","2269","2707","2611","2756","2491","2816","3179","3439","3481","3866","4044","4054","3956","4194","4280","4271","4228","4695","4798","4959","4659","4641","5200","",
"Barbados","BRB","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","4","","","","","","","3","","","","","","","","","","","","","","","","","","","2","","","","3","1","","","","","3","1","","","",
"Brunei Darussalam","BRN","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","20","26","","","",
"Bhutan","BTN","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","","","","",
"Botswana","BWA","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","5","8","4","","1","",
"Central African Republic","CAF","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Patent applications, residents","IP.PAT.RESD","1506","1310","1613","1703","1715","1734","1854","1655","1591","1785","1814","1986","1970","1942","1936","1782","1854","1883","1838","1796","1648","2164","2000","2017","2026","2092","2161","2527","2772","3031","2549","2182","2807","3623","2480","2431","2583","3344","3809","4061","4187","3963","3959","3929","5231","5183","5522","4998","5061","5067","4550","4754","4709","4567","4198","4277","4078","",
"Central Europe and the Baltics","CEB","Patent applications, residents","IP.PAT.RESD","","","","5837","4961","6605","8381","8795","9568","9753","8697","11129","11423","11588","12713","12438","13738","13396","13819","14316","13665","12648","13178","14420","15248","12231","12728","13735","15163","13882","9533","8086","7048","8147","7664","7676","7025","6882","6411","5863","6060","6212","6589","5888","6099","5561","5585","5994","6280","6947","7648","8262","7943","7919","7218","8044","7518","",
"Switzerland","CHE","Patent applications, residents","IP.PAT.RESD","4874","4821","","5108","5188","5721","5581","5591","5928","5850","5927","6141","6139","5517","5396","5834","5693","5542","4555","4441","4049","3712","3845","3817","3393","3191","3199","3298","3236","3247","2987","2949","3068","2999","3033","2890","2504","2408","2025","1916","2083","1859","1827","1831","1742","1643","1740","1692","1594","1684","1622","1597","1480","1525","1480","1477","1462","",
"Channel Islands","CHI","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Patent applications, residents","IP.PAT.RESD","","","","145","","188","243","201","197","75","166","195","147","184","288","258","230","200","132","148","140","92","96","96","105","122","96","108","111","135","169","151","178","155","219","171","176","161","207","204","241","246","391","329","382","361","291","403","531","343","328","339","336","340","452","443","386","",
"China","CHN","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","4065","3494","3975","4780","4749","5832","7372","10022","12084","11191","10011","11628","12672","13751","15626","25346","30038","39806","56769","65786","93485","122318","153060","194579","229096","293066","415829","535313","704936","801135","968252","1204981","",
"Cote d'Ivoire","CIV","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","","","","","",
"Cameroon","CMR","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","2","","1","2","7","1","11","2","4","3","11","3","8","6","6","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","Patent applications, residents","IP.PAT.RESD","","","","96","110","117","140","41","136","151","152","1","114","76","50","69","67","69","55","45","43","39","","82","69","72","81","52","85","90","","85","120","138","124","141","87","80","161","68","75","65","54","82","76","99","142","128","126","128","133","183","213","251","260","321","545","",
"Comoros","COM","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
