"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Trademark applications, direct nonresident","IP.TMK.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1848","","","574","","","","","","","","","","491","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Trademark applications, direct nonresident","IP.TMK.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Trademark applications, direct nonresident","IP.TMK.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1883","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Trademark applications, direct nonresident","IP.TMK.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","1254","2068","2380","2337","2299","2502","2470","2118","2212","2582","3062","3274","3523","3808","3243","3079","3122","2183","2564","2592","2520","2609","",
"Andorra","AND","Trademark applications, direct nonresident","IP.TMK.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2285","7139","1906","915","892","978","485","601","539","502","637","812","696","542","689","578","438","","705","863","767","",
"Arab World","ARB","Trademark applications, direct nonresident","IP.TMK.NRES","","","","","3706","4470","","5457","5362","5898","5208","4929","6641","5982","6126","5213","5746","5133","6512","5893","5948","","","","","13155","14247","","","15802","","","","","","","","","","","26273","22178","19158","","24508","27993","32851","34928","29363","","29296","54915","52960","56725","70816","64844","55747","",
"United Arab Emirates","ARE","Trademark applications, direct nonresident","IP.TMK.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12851","12668","13454","13329","14990","13578","",
"Argentina","ARG","Trademark applications, direct nonresident","IP.TMK.NRES","","","","","","","","6550","6856","9226","8231","4033","4213","4060","3482","2689","2630","3311","4198","5276","6818","7075","5161","4484","","","7216","7611","8165","8237","14475","9703","10596","10650","13551","17788","14279","17410","19439","19342","18947","12996","12091","19373","16748","19754","19428","17890","23303","18410","19454","20148","15772","15004","14352","14070","15319","",
"Armenia","ARM","Trademark applications, direct nonresident","IP.TMK.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","465","3393","3884","2433","2605","2192","2376","2436","1940","2146","2569","2603","2855","3540","3252","2836","3042","3276","3390","3369","3164","3020","2745","",
"American Samoa","ASM","Trademark applications, direct nonresident","IP.TMK.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Trademark applications, direct nonresident","IP.TMK.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","622","763","665","694","917","850","865","908","821","585","643","624","638","571","629","706","675","",
