"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Trademark applications, direct resident","IP.TMK.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","","","177","","","","","","","","","","89","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Trademark applications, direct resident","IP.TMK.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Trademark applications, direct resident","IP.TMK.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Trademark applications, direct resident","IP.TMK.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","4","26","36","27","17","32","54","106","132","128","147","186","148","216","213","286","274","","377","420","509","662","",
"Andorra","AND","Trademark applications, direct resident","IP.TMK.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","164","504","498","226","728","600","240","258","202","304","239","259","325","243","259","225","182","","191","190","224","",
"Arab World","ARB","Trademark applications, direct resident","IP.TMK.RESD","","","","","1377","1675","","2048","1978","2400","1996","2713","2034","2118","2075","1953","1421","1662","1839","1996","2463","","","","","","","","","","","","","","","","","","","","14169","11045","","","","","","","","","26594","29122","","30598","45476","45294","","",
"United Arab Emirates","ARE","Trademark applications, direct resident","IP.TMK.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3208","4130","5293","6992","6425","5199","",
"Argentina","ARG","Trademark applications, direct resident","IP.TMK.RESD","","","","","","","","24729","25367","31504","26153","15975","17187","18075","20533","24978","25390","26579","21266","21635","18498","22667","19455","23879","","","51434","46106","37092","33368","52578","34654","26749","27037","36316","43096","33693","42784","52569","45377","42900","27587","30721","61843","59683","59264","58283","53669","66326","65273","68974","57346","44398","40291","44134","52208","55739","",
"Armenia","ARM","Trademark applications, direct resident","IP.TMK.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","44","61","574","791","510","407","388","695","1600","963","945","882","939","1115","1266","1102","1122","1167","1342","1340","1261","",
"American Samoa","ASM","Trademark applications, direct resident","IP.TMK.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Trademark applications, direct resident","IP.TMK.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","",
"Australia","AUS","Trademark applications, direct resident","IP.TMK.RESD","","","","","","","","","4310","","","","","5263","4478","5130","5544","6268","6476","9918","7997","8782","9681","8036","9251","11397","12364","13809","15071","14242","12826","12624","14856","10039","12484","14575","14772","16022","18928","23858","27301","24970","26439","30401","36773","38192","40239","40004","38391","38472","39641","40154","41181","39675","41682","47085","47059","",
"Austria","AUT","Trademark applications, direct resident","IP.TMK.RESD","1751","1855","1788","1935","1899","1758","1796","1621","1806","1822","1595","1685","1663","1821","1722","1862","2176","1931","3853","3928","4194","3457","4062","3377","3727","5425","2530","3030","3533","3712","3788","3605","3655","3798","3877","4290","5035","5372","6251","6709","7840","7548","7276","7475","7343","7572","7656","7850","7254","6386","5913","5695","5863","5741","5656","5267","5122","",
"Azerbaijan","AZE","Trademark applications, direct resident","IP.TMK.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53","28","","","","","591","485","671","1040","1597","1776","1626","1834","1655","1532","1916","899","1117","1015","856","1030","",
