"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.6750030517578","86.6520004272461","86.6110000610352","86.5530014038086","86.4800033569336","86.3960037231445","86.3899993896484","86.4059982299805","86.4369964599609","86.4769973754883","86.5220031738281","86.6360015869141","86.7600021362305","86.8850021362305","87.0019989013672","87.1019973754883","87.0009994506836","86.8929977416992","86.7789993286133","86.6600036621094","86.5449981689453","86.5319976806641","86.5410003662109","86.5739974975586","86.6330032348633","86.7149963378906","86.7170028686523","86.7119979858398",
"Angola","AGO","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.5810012817383","81.6669998168945","81.6630020141602","81.7699966430664","81.5449981689453","81.2559967041016","81.2020034790039","81.1309967041016","81.0289993286133","80.9219970703125","80.7979965209961","80.8320007324219","80.9189987182617","80.8580017089844","80.7389984130859","80.556999206543","80.5339965820313","80.4410018920898","80.3929977416992","80.4410018920898","80.4520034790039","80.5550003051758","80.5739974975586","80.5149993896484","80.4189987182617","80.2829971313477","80.1790008544922","80.0920028686523",
"Albania","ALB","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.4160003662109","74.8479995727539","74.8270034790039","74.6309967041016","74.2799987792969","73.6800003051758","73.6589965820313","74.1259994506836","74.0630035400391","73.7890014648438","73.5999984741211","73.0599975585938","72.5960006713867","71.0339965820313","69.4570007324219","67.9020004272461","66.5100021362305","65.2190017700195","64.0100021362305","64.2919998168945","62.984001159668","64.411003112793","66.1169967651367","62.6459999084473","63.8819999694824","65.161003112793","65.0530014038086","64.8629989624023",
"Andorra","AND","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.3408638052319","76.3264139706538","76.1405635729118","76.1453547847338","76.2500385191788","75.9952998882018","75.5727898811347","75.2907009792215","74.8418469657764","75.0308115178241","74.7915423536067","74.1405790760199","73.8781984348809","73.7173367367417","73.5982039584872","73.7398807721461","73.7846920164544","73.9499928488627","74.2183838334178","74.3351195209139","74.7943852066143","74.7723473133156","74.7116110391691","74.8939412700185","74.4256625148269","74.2231582726388","74.131394703888","74.1236053273692",
"United Arab Emirates","ARE","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.129997253418","90.1780014038086","90.5220031738281","91.1630020141602","91.6729965209961","92.1490020751953","91.3430023193359","90.8759994506836","90.838996887207","91.1169967651367","91.4980010986328","90.7239990234375","90.5869979858398","90.9440002441406","91.6569976806641","92.5400009155273","91.5210037231445","91.286003112793","91.536003112793","92.1669998168945","93.2630004882813","93.0719985961914","92.8960037231445","92.8539962768555","93.0080032348633","93.2949981689453","92.5510025024414","91.9710006713867",
"Argentina","ARG","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.4869995117188","75.4749984741211","75.4329986572266","75.2839965820313","75.2099990844727","75.0410003662109","75.0429992675781","75.1709976196289","75.2779998779297","75.3089981079102","75.3850021362305","75.3479995727539","75.1859970092773","75.3939971923828","75.5910034179688","75.6190032958984","75.6549987792969","75.1019973754883","74.5370025634766","74.5609970092773","74.0339965820313","74.5019989013672","74.1029968261719","73.9240036010742","73.4749984741211","73.4390029907227","73.3820037841797","73.2409973144531",
"Armenia","ARM","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.4509963989258","70.4130020141602","70.2490005493164","69.9729995727539","69.6100006103516","69.1760025024414","68.6740036010742","68.1689987182617","67.6579971313477","67.1350021362305","66.6060028076172","66.3160018920898","66.0490036010742","65.8499984741211","65.786003112793","65.8870010375977","66.1449966430664","66.5380020141602","66.7799987792969","67.7210006713867","71.6449966430664","70.9229965209961","70.536003112793","70.5879974365234","70.802001953125","70.1800003051758","70.3339996337891","70.5790023803711",
"American Samoa","ASM","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
