"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6339095","6306301","4552153","3374576","2731169","2679133","2674236","2676674","2667115","2601691","3587336","3809767","2510294","2136043","2414401","2166149","2107519","3057661","2833128","2887123","3054709","2664436","2586152","2556502","2596270","2666305","2501445","2624225",
"Angola","AGO","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","407760","381636","300492","323831","282577","246657","249687","267696","319430","353478","433760","470625","435421","329583","228838","215827","206501","186155","171393","141021","134858","128664","19258","10286","9484","11869","8404","8267",
"Albania","ALB","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1822","3540","4353","4744","5019","5803","5785","5379","5353","6288","6802","7626","10761","10385","10470","12722","14080","15340","15006","15711","14772","13551","12568","10103","10158","10408","11065","12163",
"Andorra","AND","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","3","1","2","3","2","1","10","10","3","9","10","9","6","6","6","6","7","5","7","5","2","",
"Arab World","ARB","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2212498","2408680","2614885","1906599","2001784","2005056","2035564","1864336","1806135","1817001","1672735","1873008","1896002","1831115","1880608","1797793","3023683","3722824","3328247","3029306","3034372","3205416","3359110","4804384","6200005","7077207","7703491","8566301",
"United Arab Emirates","ARE","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","7","7","15","18","31","20","71","30","265","308","256","414","424","486","584","90","90","99","112","132",
"Argentina","ARG","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","334","198","113","98","469","330","217","159","142","586","609","659","771","784","796","856","894","1171","1047","608","557","518","447","388","318","194","128","111",
"Armenia","ARM","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","195003","200116","201842","201442","203231","203690","193150","193231","5786","7207","13249","13162","13424","13965","14918","15436","16336","18000","17547","16487","15935","11998","11848","11214","10719","10766",
"American Samoa","ASM","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
