"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Energy imports, net (% of energy use)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Energy imports, net (% of energy use)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Energy imports, net (% of energy use)","EG.IMP.CONS.ZS","","","","","","","","","","","","-136.789917179727","-153.693308526423","-182.757279174801","-187.075366914788","-176.525498954844","-173.974390517597","-166.830016687007","-130.490939691978","-145.520957591765","-147.653491946298","-124.340308114205","-129.536934935785","-177.162712311364","-203.69559765004","-215.487057463691","-263.269770887141","-331.783550046493","-403.089252529376","-394.395232764759","-387.018022299596","-397.266037863952","-440.718544685688","-386.724353281047","-418.093192540974","-472.406507849653","-507.334018380659","-520.232164701751","-542.370708114417","-519.352405948731","-504.159001757244","-475.111255280346","-550.714185301334","-501.436655943393","-555.809535409895","-735.864294703601","-759.628788823642","-858.188815303372","-885.245940803771","-764.549421482873","-703.772381443532","-619.053894591281","-589.506131357009","-594.546142867359","-540.997471229649","","","",
"Albania","ALB","Energy imports, net (% of energy use)","EG.IMP.CONS.ZS","","","","","","","","","","","","-41.6994116955347","-53.6342346880178","-72.518525326366","-49.2182729217977","-47.1951746887382","-41.3904654424333","-37.4069647498638","-34.8533228785624","-50.5439748153341","-12.2582455738246","-0.076429152845332","1.12902956141801","0.851841942518857","-2.26409505682723","-3.81586152482845","-3.31119577155409","-2.51956377512792","0.420610677858244","-0.656852072641821","7.9650583526857","-2.78362383080424","-3.37625065068072","-0.0977559707408288","9.33073227807364","6.63591634528518","6.29130250916267","8.69985703820492","18.4129029358224","40.2496724312441","45.0024091494141","51.6887842055878","53.0441009170166","49.0146346811438","46.0038161805316","47.7661709472783","42.3770038434083","47.9983914429519","45.2193265320444","41.6672458370863","23.7139849400341","33.2602886181185","16.2978686080168","12.3207053334506","13.7979708979656","","","",
"Andorra","AND","Energy imports, net (% of energy use)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Energy imports, net (% of energy use)","EG.IMP.CONS.ZS","","","","","","","","","","","","-1481.61059120808","-1539.19239761458","-1585.90027525407","-1463.65316924015","-1237.54297266148","-1291.04691608947","-1206.38528765262","-1024.31373160755","-970.372436480121","-795.301246142261","-570.328685432789","-376.905420928709","-307.489604264415","-307.037588467588","-256.996265248202","-302.588818955331","-275.802577186675","-296.353549669979","-300.579712831073","-331.876805392999","-317.169768141152","-308.63151764619","-300.617570248482","-282.05385730437","-279.416241489503","-270.325424116402","-276.436690553554","-291.77000116161","-282.560631079468","-296.436645893175","-267.794144286181","-238.098005637259","-256.861651116822","-258.618606259193","-255.422584345803","-238.909089657922","-224.676770107057","-214.992896087809","-182.798546833642","-178.609565845771","-186.096075188892","-180.638024912416","-178.499291141439","-164.539204700971","","","",
"United Arab Emirates","ARE","Energy imports, net (% of energy use)","EG.IMP.CONS.ZS","","","","","","","","","","","","-5116.127119649","-5588.7293218204","-5734.55040638071","-6106.88421843755","-4258.01668326115","-3842.63742265398","-2365.80416743967","-1883.33713113701","-1612.65153059072","-1147.41413330214","-829.979227888895","-634.534010189252","-611.182982924691","-432.410423816868","-362.228359601674","-369.883003129503","-363.066417957467","-371.659482382113","-393.384174845835","-439.553111532586","-441.926854026259","-499.196571731654","-458.344879858301","-412.653231500643","-394.967458765432","-379.016629771755","-376.872349469631","-376.628531178432","-341.434733998228","-388.166374977984","-285.944906952115","-271.816526365869","-313.704278904143","-306.340317757657","-294.154192845882","-300.816708967335","-265.599187761877","-212.820850154585","-179.80683983111","-181.459592298821","-191.249161744695","-183.354428506649","-187.524243326506","-183.843970434642","","","",
"Argentina","ARG","Energy imports, net (% of energy use)","EG.IMP.CONS.ZS","","","","","","","","","","","","9.18357827656254","9.45419844939678","14.2269567324563","14.9553402347754","14.7438301022275","16.5450567208518","14.3631993894218","12.8437011264304","11.5558254911682","7.16871495328276","3.37339318668341","2.65154295803259","-0.408500726777424","0.894509008040107","-2.91730390549549","2.2690060431293","6.38149384011144","3.31958234521684","-1.57735494330777","-5.10971172102555","-5.7546208283955","-8.78136796092807","-14.0666302905832","-17.1698296019328","-24.2004455481205","-29.5064679435146","-32.7760339001579","-32.9714806525567","-32.320275667854","-34.6525633697612","-45.5351093725045","-45.6221260182281","-41.4171825248214","-29.824428220494","-26.5428025479915","-18.1588190091663","-12.6699465762139","-6.23159275095422","-7.35451320564135","-1.07204129175496","3.21790919768797","6.14144796059768","12.6885776303415","13.0293607429001","","","",
"Armenia","ARM","Energy imports, net (% of energy use)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.0705002296298","98.1804916179142","93.3084975367967","82.5109211533322","77.0682903970392","84.3189820864285","57.650767805508","70.3727555097466","70.4979784178239","64.1211544062544","68.0725205996227","69.5860141742844","60.1836090595818","64.5125697992698","63.8140498530854","65.4283630828704","66.4505059427263","70.7846830848914","73.2174260977361","68.1066449039644","64.6512304078486","67.3442167531802","72.706661599216","72.0464797313162","71.3413045219602","","","",
"American Samoa","ASM","Energy imports, net (% of energy use)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
