"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Net barter terms of trade index (2000 = 100)","TT.PRI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","92.84546382","89.10559388","95.99264648","101.7244124","115.625706","119.6119744","121.1499036","133.9361307","97.07394609","101.1534795","110.4083022","112.3737747","117.4692356","112.4210064","99.23053139","99.90304699","",
"Afghanistan","AFG","Net barter terms of trade index (2000 = 100)","TT.PRI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","117.3189983","115.2290669","108.3264217","117.8307417","116.1250329","122.8432345","125.1214305","128.556538","139.4793987","145.4629422","144.9023904","141.14419","141.0918281","142.845162","152.3432121","161.3224535","",
"Angola","AGO","Net barter terms of trade index (2000 = 100)","TT.PRI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","118.8679245","85.29411765","84.93150685","106.6666667","121.3114754","94.25287356","63.57615894","66.66666667","61.70212766","68.57142857","80.76923077","86.53846154","68.31683168","44.32989691","60","100","92.60376932","96.1446408","107.983982","126.642746","221.6033829","262.4188496","296.0316467","432.9259946","171.7854117","216.1052783","280.7405689","275.9005101","267.9034311","244.829444","148.8227782","132.0681348","",
"Albania","ALB","Net barter terms of trade index (2000 = 100)","TT.PRI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","98.9248793","98.87665295","94.36286596","92.29563395","91.42887877","91.45084598","91.03417513","90.27902587","90.49338659","94.47751488","93.94748893","95.41573988","94.90548368","93.24694871","92.29086879","93.12582235","",
"Andorra","AND","Net barter terms of trade index (2000 = 100)","TT.PRI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","99.67694199","100.8013359","98.98042414","95.08673556","99.66368285","109.6990167","107.5912252","104.3109078","107.8131898","102.5487049","96.68225482","96.060978","95.42049084","95.94709863","103.0976999","103.8334638","",
"Arab World","ARB","Net barter terms of trade index (2000 = 100)","TT.PRI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Net barter terms of trade index (2000 = 100)","TT.PRI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100.3305466","120.547566","118.0194394","141.0291245","172.7552692","180.788069","214.3145117","263.5248625","260.4339565","256.6492492","292.4228326","324.5667682","332.3969332","361.9109828","286.4445882","289.6917605","",
"Argentina","ARG","Net barter terms of trade index (2000 = 100)","TT.PRI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","106.25","86.81318681","79.06976744","83.90804598","83.72093023","94.11764706","91.30434783","82.17821782","75","69.09090909","63.55932203","92.07920792","93.26923077","96.07843137","97.24770642","91.59663866","100","100","95.19230769","91","100","96.91343357","99.11600133","106.6500182","115.6177296","112.337147","117.7245905","124.1361767","139.4774343","141.8540964","145.2731558","162.9591231","168.6250717","157.6726407","153.6270567","146.9251721","156.4956253","",
"Armenia","ARM","Net barter terms of trade index (2000 = 100)","TT.PRI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","98.60889606","100.444586","99.67908779","106.7189946","102.1332885","114.4106239","114.2084784","117.8849793","114.2045646","130.3936354","127.9647215","120.7841698","116.9903153","115.702652","118.6091567","123.0265823","",
"American Samoa","ASM","Net barter terms of trade index (2000 = 100)","TT.PRI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","103.1412033","102.4204519","113.9963189","119.4718256","108.7582537","172.1401678","169.4374876","149.3098313","150.8712087","154.0277553","133.4045594","134.4197518","134.8324755","137.5953406","158.1249663","170.144948","",
"Antigua and Barbuda","ATG","Net barter terms of trade index (2000 = 100)","TT.PRI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","92.97593861","93.73602048","89.24248669","85.7119455","80.79105597","81.85143588","82.94784535","84.78384736","79.18679886","71.64261844","64.82734756","63.70253327","57.08292139","56.12148486","57.99384855","57.69218098","",
"Australia","AUS","Net barter terms of trade index (2000 = 100)","TT.PRI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","104.0752706","105.8494738","105.923505","116.1755043","131.0849232","145.5161198","152.391242","174.6305017","162.9756368","178.9001645","200.4326852","181.9911309","176.9916008","165.0740497","148.3021277","146.8687703","",
"Austria","AUT","Net barter terms of trade index (2000 = 100)","TT.PRI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","99.0794943","99.33820144","98.68444639","97.46515343","95.91930131","94.78314213","95.32281583","92.813504","94.61589957","92.25883781","89.63671225","88.64406455","89.07165741","88.88568006","89.84064892","90.46308743","",
"Azerbaijan","AZE","Net barter terms of trade index (2000 = 100)","TT.PRI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","87.15822792","90.1569416","95.95971396","111.6168636","136.6577534","150.4208815","153.2171807","190.1140263","127.1707283","155.5284442","191.664911","198.2508986","197.614627","184.7259448","114.5609143","99.96439779","",
