"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.9366899697247","","","","","56.1366281955921","","","","","56.0920276862492","","","","","43.2340322030349","","","","","46.5368091435579","50.4839603472515","50.6539453617603","50.968831121497","49.0360908734167","62.0802341527162","62.8548565825039","",
"Angola","AGO","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.8147564545222","","","","","36.3456562720198","","","","","39.7048202203433","","","","","35.4044650501357","","","","","30.921715863044","31.8006567835796","33.4070499097688","33.507051079736","35.3310484211815","35.7884691059713","36.2404791658913","",
"Albania","ALB","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.7960061376657","","","","","15.0726038392926","","","","","14.3208450870944","","","","","12.1558143148977","","","","","15.3356900899994","14.6461352462332","14.5629919954282","15.6359167040846","16.7488618336665","14.7365481994145","14.6340083732708","",
"Andorra","AND","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.5762452470783","","","","","11.3639956838158","","","","","11.0597732638153","","","","","11.2191339555671","","","","","11.1158084175128","11.2306663454442","11.2544324145142","10.9426841670833","10.6676945415292","10.9089344728875","10.8794724208596","",
"Arab World","ARB","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.1923247947451","","","","","51.8248561342099","","","","","52.9039833003832","","","","","52.7630046665188","","","","","63.7917252177336","63.1485673857683","63.8013928405267","63.3915413152589","62.9946142267713","81.9366296204055","83.1514632879047","",
"United Arab Emirates","ARE","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.3774593411282","","","","","73.257916805876","","","","","74.1805100969404","","","","","65.8445595726268","","","","","72.8048547667537","71.6963504902863","73.5298881526038","69.4726950357522","65.9241219978433","102.926239919924","105.123735935796","",
"Argentina","ARG","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.9125692533209","","","","","16.0588224487956","","","","","15.6036429329597","","","","","14.8203242631716","","","","","14.2241785959247","14.0618591475357","14.0758542794382","13.5772090922804","13.6436465424937","14.117202971858","14.1481671684957","",
"Armenia","ARM","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.7321876682443","","","","","17.132886537474","","","","","18.5638976260417","","","","","21.3093617783427","","","","","25.7208275538577","25.8609024010809","24.0359165394623","24.6651848658997","25.0687021535658","27.1320370732378","26.9728933161846","",
"American Samoa","ASM","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.31076892896456","","","","","4.29555652920884","","","","","4.34494254759871","","","","","4.30313346686327","","","","","3.36869142821559","3.2551836375306","3.37727082760239","3.4578848068701","3.63414013891537","3.79037850092118","3.76341150774918","",
"Antigua and Barbuda","ATG","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.2754752610263","","","","","17.3840399226772","","","","","17.2611862889919","","","","","16.3213316183546","","","","","13.3742182936907","13.6134418718955","13.7110439848134","14.0147650993294","13.7684183865025","15.5176956406633","15.6859425733665","",
"Australia","AUS","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.71709803999302","","","","","6.7440107168433","","","","","6.80234129581913","","","","","6.60836577807983","","","","","5.93756128130729","5.88091894260968","5.98177615708128","6.02823790925321","5.93305520509483","6.10983797881447","6.12680642067615","",
"Austria","AUT","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.268755333992","","","","","16.6158724805295","","","","","15.2687951059028","","","","","15.3075744695526","","","","","15.1477554984761","14.9339580744579","15.2474473239802","15.9436221168834","16.4660670312478","15.0322885797681","14.9651883082137","",
"Azerbaijan","AZE","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.745664478346","","","","","22.9941599416493","","","","","23.8569804732697","","","","","21.1598075797156","","","","","26.2238224235431","25.2281306545143","24.6810450004213","26.5519092952348","28.368978731634","32.6592249482423","32.9776200805629","",
